Wavelength,Spectra,,,
186.94,2.41E-06,,,
186.98,2.91E-05,,,
187.03,5.74E-04,,,
187.07,5.64E-03,,,
187.11,5.06E-02,,,
187.15,4.15E-01,,,
187.2,5.06E+00,,,
187.24,3.39E+01,,,
187.28,2.07E+02,,,
187.32,1.15E+03,,,
187.37,8.71E+03,,,
187.41,3.97E+04,,,
187.45,1.65E+05,,,
187.49,6.26E+05,,,
187.54,2.93E+06,,,
187.58,9.06E+06,,,
187.62,2.57E+07,,,
187.66,6.63E+07,,,
187.71,1.92E+08,,,
187.75,4.04E+08,,,
187.79,7.79E+08,,,
187.83,1.37E+09,,,
187.88,2.45E+09,,,
187.92,3.51E+09,,,
187.96,4.61E+09,,,
188,5.53E+09,,,
188.05,6.10E+09,,,
188.09,5.96E+09,,,
188.13,5.33E+09,,,
188.17,4.35E+09,,,
188.22,2.97E+09,,,
188.26,1.97E+09,,,
188.3,1.20E+09,,,
188.34,6.67E+08,,,
188.39,2.81E+08,,,
188.43,1.28E+08,,,
188.47,5.28E+07,,,
188.51,2.00E+07,,,
188.56,5.21E+06,,,
188.6,1.61E+06,,,
188.64,4.53E+05,,,
188.69,8.18E+04,,,
188.73,1.88E+04,,,
188.77,3.95E+03,,,
188.81,7.57E+02,,,
188.86,8.53E+01,,,
188.9,1.62E+01,,,
188.94,1.36E+01,,,
188.98,4.28E+01,,,
189.03,1.89E+02,,,
189.07,5.61E+02,,,
189.11,1.53E+03,,,
189.15,3.81E+03,,,
189.2,1.05E+04,,,
189.24,2.15E+04,,,
189.28,4.00E+04,,,
189.32,6.83E+04,,,
189.37,1.18E+05,,,
189.41,1.64E+05,,,
189.45,2.10E+05,,,
189.49,2.45E+05,,,
189.54,2.63E+05,,,
189.58,2.51E+05,,,
189.62,2.20E+05,,,
189.66,1.76E+05,,,
189.71,1.18E+05,,,
189.75,7.70E+04,,,
189.79,4.61E+04,,,
189.83,2.53E+04,,,
189.88,1.05E+04,,,
189.92,4.72E+03,,,
189.96,1.94E+03,,,
190,7.27E+02,,,
190.05,1.88E+02,,,
190.09,5.79E+01,,,
190.13,1.63E+01,,,
190.17,4.18E+00,,,
190.22,6.76E-01,,,
190.26,1.42E-01,,,
190.3,2.74E-02,,,
190.34,4.86E-03,,,
190.39,1.00E-03,,,
190.43,3.37E-03,,,
190.47,1.94E-02,,,
190.51,1.05E-01,,,
190.56,7.59E-01,,,
190.6,3.36E+00,,,
190.64,1.36E+01,,,
190.68,5.06E+01,,,
190.73,2.31E+02,,,
190.77,7.04E+02,,,
190.81,1.97E+03,,,
190.85,5.04E+03,,,
190.9,1.44E+04,,,
190.94,3.04E+04,,,
190.98,5.85E+04,,,
191.02,1.03E+05,,,
191.07,1.86E+05,,,
191.11,2.70E+05,,,
191.15,3.58E+05,,,
191.19,4.36E+05,,,
191.24,4.93E+05,,,
191.28,4.93E+05,,,
191.32,4.52E+05,,,
191.36,3.79E+05,,,
191.41,2.70E+05,,,
191.45,1.86E+05,,,
191.49,1.17E+05,,,
191.53,6.80E+04,,,
191.58,3.04E+04,,,
191.62,1.44E+04,,,
191.66,6.28E+03,,,
191.7,2.51E+03,,,
191.75,7.04E+02,,,
191.79,2.31E+02,,,
191.83,6.93E+01,,,
191.87,1.91E+01,,,
191.92,3.36E+00,,,
191.96,7.59E-01,,,
192,1.57E-01,,,
192.04,2.98E-02,,,
192.09,3.31E-03,,,
192.13,5.15E-04,,,
192.17,7.35E-05,,,
192.21,9.62E-06,,,
192.26,6.69E-07,,,
192.3,7.19E-08,,,
192.34,7.08E-09,,,
192.38,6.39E-10,,,
192.43,2.79E-11,,,
198.17,1.13E-10,,,
198.21,1.27E-09,,,
198.25,1.31E-08,,,
198.29,1.24E-07,,,
198.34,1.86E-06,,,
198.38,1.48E-05,,,
198.42,1.08E-04,,,
198.46,7.32E-04,,,
198.51,7.13E-03,,,
198.55,4.02E-02,,,
198.59,2.10E-01,,,
198.63,1.01E+00,,,
198.68,6.40E+00,,,
198.72,2.56E+01,,,
198.76,9.48E+01,,,
198.8,3.24E+02,,,
198.85,1.34E+03,,,
198.89,3.82E+03,,,
198.93,1.00E+04,,,
198.97,2.43E+04,,,
199.02,6.56E+04,,,
199.06,1.33E+05,,,
199.1,2.48E+05,,,
199.14,4.27E+05,,,
199.19,7.51E+05,,,
199.23,1.08E+06,,,
199.27,1.43E+06,,,
199.31,1.75E+06,,,
199.36,2.01E+06,,,
199.4,2.05E+06,,,
199.44,1.93E+06,,,
199.48,1.68E+06,,,
199.53,1.26E+06,,,
199.57,9.09E+05,,,
199.61,6.08E+05,,,
199.65,3.75E+05,,,
199.7,1.83E+05,,,
199.74,9.43E+04,,,
199.78,4.48E+04,,,
199.82,1.96E+04,,,
199.87,6.25E+03,,,
199.91,2.28E+03,,,
199.95,7.71E+02,,,
199.99,2.40E+02,,,
200.04,4.98E+01,,,
200.08,1.29E+01,,,
200.12,3.10E+00,,,
200.16,7.02E-01,,,
200.21,2.32E-01,,,
200.25,7.11E-01,,,
200.29,3.19E+00,,,
200.33,1.35E+01,,,
200.38,7.36E+01,,,
200.42,2.61E+02,,,
200.46,8.56E+02,,,
200.5,2.60E+03,,,
200.55,9.28E+03,,,
200.59,2.35E+04,,,
200.63,5.51E+04,,,
200.67,1.19E+05,,,
200.72,2.81E+05,,,
200.76,5.08E+05,,,
200.8,8.52E+05,,,
200.84,1.32E+06,,,
200.89,2.04E+06,,,
200.93,2.66E+06,,,
200.97,3.20E+06,,,
201.01,3.57E+06,,,
201.06,3.68E+06,,,
201.1,3.48E+06,,,
201.14,3.07E+06,,,
201.18,2.53E+06,,,
201.23,1.83E+06,,,
201.27,1.32E+06,,,
201.31,9.10E+05,,,
201.35,5.98E+05,,,
201.4,3.32E+05,,,
201.44,1.97E+05,,,
201.48,1.12E+05,,,
201.52,6.02E+04,,,
201.57,2.56E+04,,,
201.61,1.21E+04,,,
201.65,5.31E+03,,,
201.69,2.18E+03,,,
201.74,6.46E+02,,,
201.78,2.25E+02,,,
201.82,7.23E+01,,,
201.86,2.16E+01,,,
201.91,4.26E+00,,,
201.95,1.07E+00,,,
201.99,2.47E-01,,,
202.03,5.29E-02,,,
202.08,6.89E-03,,,
202.12,1.23E-03,,,
