Wavelength,Spectra,,,
169.02,6.04E-09,,,
169.06,1.02E-07,,,
169.1,1.53E-06,,,
169.14,2.06E-05,,,
169.18,2.48E-04,,,
169.22,2.67E-03,,,
169.26,2.58E-02,,,
169.3,2.24E-01,,,
169.35,2.84E+00,,,
169.39,1.91E+01,,,
169.43,1.16E+02,,,
169.47,6.24E+02,,,
169.51,3.02E+03,,,
169.55,1.31E+04,,,
169.59,5.08E+04,,,
169.63,1.76E+05,,,
169.67,5.48E+05,,,
169.72,1.94E+06,,,
169.76,4.69E+06,,,
169.8,1.02E+07,,,
169.84,1.98E+07,,,
169.88,3.46E+07,,,
169.92,5.41E+07,,,
169.96,7.61E+07,,,
170,9.68E+07,,,
170.04,1.12E+08,,,
170.09,1.21E+08,,,
170.13,1.23E+08,,,
170.17,1.25E+08,,,
170.21,1.34E+08,,,
170.25,1.51E+08,,,
170.29,1.77E+08,,,
170.33,2.06E+08,,,
170.37,2.30E+08,,,
170.41,2.41E+08,,,
170.46,2.28E+08,,,
170.5,1.97E+08,,,
170.54,1.54E+08,,,
170.58,1.09E+08,,,
170.62,6.92E+07,,,
170.66,3.96E+07,,,
170.7,2.03E+07,,,
170.74,9.38E+06,,,
170.78,3.88E+06,,,
170.83,1.10E+06,,,
170.87,3.56E+05,,,
170.91,1.03E+05,,,
170.95,2.67E+04,,,
170.99,6.20E+03,,,
171.03,1.29E+03,,,
171.07,2.41E+02,,,
171.11,4.02E+01,,,
171.15,6.01E+00,,,
171.19,8.05E-01,,,
171.24,5.59E-02,,,
171.28,5.84E-03,,,
171.32,5.47E-04,,,
171.36,4.59E-05,,,
171.4,3.45E-06,,,
171.44,2.32E-07,,,
171.48,1.40E-08,,,
175.92,3.15E-08,,,
175.96,4.49E-07,,,
176,5.77E-06,,,
176.04,6.70E-05,,,
176.09,1.24E-03,,,
176.13,1.15E-02,,,
176.17,9.57E-02,,,
176.21,7.20E-01,,,
176.25,4.89E+00,,,
176.29,3.00E+01,,,
176.33,1.66E+02,,,
176.37,8.29E+02,,,
176.41,3.74E+03,,,
176.45,1.53E+04,,,
176.5,7.65E+04,,,
176.54,2.48E+05,,,
176.58,7.24E+05,,,
176.62,1.91E+06,,,
176.66,4.55E+06,,,
176.7,9.79E+06,,,
176.74,1.90E+07,,,
176.78,3.34E+07,,,
176.82,5.29E+07,,,
176.87,8.13E+07,,,
176.91,1.02E+08,,,
176.95,1.16E+08,,,
176.99,1.19E+08,,,
177.03,1.11E+08,,,
177.07,9.24E+07,,,
177.11,6.98E+07,,,
177.15,4.76E+07,,,
177.19,2.93E+07,,,
177.24,1.39E+07,,,
177.28,7.02E+06,,,
177.32,3.66E+06,,,
177.36,2.78E+06,,,
177.4,3.83E+06,,,
177.44,6.71E+06,,,
177.48,1.15E+07,,,
177.52,1.81E+07,,,
177.56,2.58E+07,,,
177.61,3.49E+07,,,
177.65,3.96E+07,,,
177.69,4.06E+07,,,
177.73,3.76E+07,,,
177.77,3.15E+07,,,
177.81,2.39E+07,,,
177.85,1.63E+07,,,
177.89,1.01E+07,,,
177.93,5.63E+06,,,
177.98,2.37E+06,,,
178.02,1.07E+06,,,
178.06,4.70E+05,,,
178.1,2.37E+05,,,
178.14,1.79E+05,,,
178.18,1.94E+05,,,
178.22,2.29E+05,,,
178.26,2.56E+05,,,
178.3,2.62E+05,,,
178.35,2.35E+05,,,
178.39,1.94E+05,,,
178.43,1.47E+05,,,
178.47,1.06E+05,,,
178.51,7.90E+04,,,
178.55,6.90E+04,,,
178.59,7.47E+04,,,
178.63,9.10E+04,,,
178.67,1.11E+05,,,
178.72,1.29E+05,,,
178.76,1.32E+05,,,
178.8,1.22E+05,,,
178.84,1.02E+05,,,
178.88,7.78E+04,,,
178.92,5.34E+04,,,
178.96,3.32E+04,,,
179,1.87E+04,,,
179.04,9.49E+03,,,
179.08,4.37E+03,,,
179.13,1.44E+03,,,
179.17,5.28E+02,,,
179.21,1.76E+02,,,
179.25,5.28E+01,,,
179.29,1.44E+01,,,
179.33,3.53E+00,,,
179.37,7.87E-01,,,
179.41,1.59E-01,,,
179.45,2.90E-02,,,
179.5,3.22E-03,,,
179.54,7.71E-04,,,
179.58,4.91E-04,,,
179.62,5.16E-04,,,
179.66,5.50E-04,,,
179.7,5.52E-04,,,
179.74,5.38E-04,,,
179.78,5.47E-04,,,
179.82,6.77E-04,,,
179.87,1.92E-03,,,
179.91,1.02E-02,,,
179.95,7.38E-02,,,
179.99,5.42E-01,,,
180.03,3.71E+00,,,
180.07,2.32E+01,,,
180.11,1.32E+02,,,
180.15,6.83E+02,,,
180.19,3.20E+03,,,
180.24,1.93E+04,,,
180.28,7.27E+04,,,
180.32,2.49E+05,,,
180.36,7.75E+05,,,
180.4,2.20E+06,,,
180.44,5.66E+06,,,
180.48,1.33E+07,,,
180.52,2.85E+07,,,
180.56,5.57E+07,,,
