Wavelength,Spectra,,
354.67,3.94E-07,,
354.71,1.51E-06,,
354.75,5.65E-06,,
354.79,2.06E-05,,
354.84,1.00E-04,,
354.88,3.46E-04,,
354.92,1.16E-03,,
354.96,3.82E-03,,
355.01,1.63E-02,,
355.05,5.03E-02,,
355.09,1.52E-01,,
355.13,4.48E-01,,
355.18,1.67E+00,,
355.22,4.65E+00,,
355.26,1.26E+01,,
355.3,3.35E+01,,
355.35,1.09E+02,,
355.39,2.73E+02,,
355.43,6.66E+02,,
355.47,1.59E+03,,
355.52,4.53E+03,,
355.56,1.02E+04,,
355.6,2.23E+04,,
355.64,4.77E+04,,
355.69,1.19E+05,,
355.73,2.41E+05,,
355.77,4.75E+05,,
355.81,9.13E+05,,
355.86,1.99E+06,,
355.9,3.62E+06,,
355.94,6.42E+06,,
355.98,1.11E+07,,
356.03,2.12E+07,,
356.07,3.46E+07,,
356.11,5.51E+07,,
356.15,8.55E+07,,
356.2,1.43E+08,,
356.24,2.10E+08,,
356.28,3.00E+08,,
356.32,4.19E+08,,
356.37,6.13E+08,,
356.41,8.08E+08,,
356.45,1.04E+09,,
356.49,1.30E+09,,
356.54,1.67E+09,,
356.58,1.98E+09,,
356.62,2.28E+09,,
356.66,2.57E+09,,
356.71,2.88E+09,,
356.75,3.07E+09,,
356.79,3.19E+09,,
356.83,3.23E+09,,
356.88,3.17E+09,,
356.92,3.03E+09,,
356.96,2.83E+09,,
357.01,2.50E+09,,
357.05,2.21E+09,,
357.09,1.90E+09,,
357.13,1.59E+09,,
357.18,1.23E+09,,
357.22,9.78E+08,,
357.26,7.56E+08,,
357.3,5.70E+08,,
357.35,3.86E+08,,
357.39,2.75E+08,,
357.43,1.91E+08,,
357.47,1.29E+08,,
357.52,7.68E+07,,
357.56,4.91E+07,,
357.6,3.07E+07,,
357.64,1.87E+07,,
357.69,9.69E+06,,
357.73,5.58E+06,,
357.77,3.13E+06,,
357.81,1.71E+06,,
357.86,7.78E+05,,
357.9,4.04E+05,,
357.94,2.07E+05,,
357.98,1.10E+05,,
358.03,6.61E+04,,
358.07,7.46E+04,,
358.11,1.24E+05,,
358.15,2.38E+05,,
358.2,5.43E+05,,
358.24,1.03E+06,,
358.28,1.92E+06,,
358.32,3.48E+06,,
358.37,7.07E+06,,
358.41,1.21E+07,,
358.45,2.03E+07,,
358.49,3.31E+07,,
358.54,5.90E+07,,
358.58,9.10E+07,,
358.62,1.37E+08,,
358.66,2.01E+08,,
358.71,3.14E+08,,
358.75,4.36E+08,,
358.79,5.91E+08,,
358.83,7.81E+08,,
358.88,1.07E+09,,
358.92,1.34E+09,,
358.96,1.63E+09,,
359,1.94E+09,,
359.05,2.33E+09,,
359.09,2.62E+09,,
359.13,2.87E+09,,
359.17,3.07E+09,,
359.22,3.23E+09,,
359.26,3.27E+09,,
359.3,3.23E+09,,
359.34,3.11E+09,,
359.39,2.87E+09,,
359.43,2.62E+09,,
359.47,2.33E+09,,
359.51,2.02E+09,,
359.56,1.63E+09,,
359.6,1.34E+09,,
359.64,1.07E+09,,
359.68,8.34E+08,,
359.73,5.91E+08,,
359.77,4.36E+08,,
359.81,3.14E+08,,
359.85,2.21E+08,,
359.9,1.38E+08,,
359.94,9.21E+07,,
359.98,6.10E+07,,
360.02,4.09E+07,,
360.07,2.75E+07,,
360.11,2.43E+07,,
360.15,2.73E+07,,
360.19,3.66E+07,,
360.24,5.92E+07,,
360.28,8.86E+07,,
360.32,1.31E+08,,
360.36,1.90E+08,,
360.41,2.93E+08,,
360.45,4.03E+08,,
360.49,5.41E+08,,
360.53,7.09E+08,,
360.58,9.60E+08,,
360.62,1.19E+09,,
360.66,1.44E+09,,
360.7,1.70E+09,,
360.75,2.02E+09,,
360.79,2.26E+09,,
360.83,2.46E+09,,
360.87,2.61E+09,,
360.92,2.73E+09,,
360.96,2.74E+09,,
361,2.69E+09,,
361.04,2.58E+09,,
361.09,2.36E+09,,
361.13,2.14E+09,,
361.17,1.89E+09,,
361.21,1.63E+09,,
361.26,1.31E+09,,
361.3,1.07E+09,,
361.34,8.54E+08,,
361.38,6.64E+08,,
361.43,4.68E+08,,
361.47,3.45E+08,,
361.51,2.47E+08,,
361.55,1.73E+08,,
361.6,1.07E+08,,
361.64,7.11E+07,,
361.68,4.59E+07,,
361.72,2.90E+07,,
361.77,1.58E+07,,
361.81,9.40E+06,,
361.85,5.48E+06,,
361.89,3.11E+06,,
361.94,1.48E+06,,
361.98,7.99E+05,,
362.02,4.20E+05,,
362.06,2.16E+05,,
362.11,9.43E+04,,
362.15,5.35E+04,,
362.19,4.21E+04,,
362.23,5.46E+04,,
362.28,1.13E+05,,
362.32,2.19E+05,,
362.36,4.22E+05,,
362.4,7.95E+05,,
362.45,1.70E+06,,
362.49,3.04E+06,,
362.53,5.31E+06,,
362.57,9.05E+06,,
362.62,1.70E+07,,
362.66,2.75E+07,,
362.7,4.33E+07,,
362.74,6.66E+07,,
362.79,1.10E+08,,
362.83,1.60E+08,,
362.87,2.28E+08,,
362.91,3.16E+08,,
362.96,4.60E+08,,
363,6.04E+08,,
363.04,7.74E+08,,
363.08,9.68E+08,,
363.13,1.24E+09,,
363.17,1.47E+09,,
363.21,1.70E+09,,
363.25,1.92E+09,,
363.3,2.15E+09,,
363.34,2.30E+09,,
363.38,2.40E+09,,
363.42,2.45E+09,,
363.47,2.42E+09,,
363.51,2.33E+09,,
363.55,2.20E+09,,
363.59,2.02E+09,,
363.64,1.75E+09,,
363.68,1.53E+09,,
363.72,1.30E+09,,
363.77,1.02E+09,,
363.81,8.20E+08,,
363.85,6.44E+08,,
363.89,4.93E+08,,
363.94,3.42E+08,,
363.98,2.48E+08,,
364.02,1.75E+08,,
364.06,1.21E+08,,
364.11,7.38E+07,,
364.15,4.83E+07,,
364.19,3.09E+07,,
364.23,1.93E+07,,
364.28,1.03E+07,,
364.32,6.08E+06,,
364.36,3.51E+06,,
364.4,1.97E+06,,
364.45,9.29E+05,,
364.49,4.95E+05,,
364.53,2.57E+05,,
364.57,1.31E+05,,
364.62,5.40E+04,,
364.66,2.60E+04,,
364.7,1.22E+04,,
364.74,5.57E+03,,
364.79,2.03E+03,,
364.83,8.79E+02,,
364.87,3.72E+02,,
364.91,1.54E+02,,
364.96,4.92E+01,,
365,1.92E+01,,
365.04,7.34E+00,,
365.08,2.73E+00,,
365.13,7.69E-01,,
365.17,2.71E-01,,
365.21,9.35E-02,,
365.25,3.14E-02,,
365.3,7.77E-03,,
365.34,2.47E-03,,
365.38,7.69E-04,,
365.42,2.33E-04,,
365.47,5.07E-05,,
365.51,1.46E-05,,
365.55,4.08E-06,,
365.59,1.12E-06,,
367.17,2.91E-08,,
367.21,1.07E-07,,
367.25,3.80E-07,,
367.29,1.32E-06,,
367.34,6.10E-06,,
