Wavelength,Spectra,,
174.74,6.57E-06,,
174.78,9.46E-05,,
174.82,1.23E-03,,
174.87,2.61E-02,,
174.91,2.69E-01,,
174.95,2.49E+00,,
174.99,2.08E+01,,
175.04,2.55E+02,,
175.08,1.69E+03,,
175.12,1.01E+04,,
175.17,8.13E+04,,
175.21,3.84E+05,,
175.25,1.64E+06,,
175.29,6.29E+06,,
175.34,2.93E+07,,
175.38,8.91E+07,,
175.42,2.45E+08,,
175.46,6.05E+08,,
175.51,1.62E+09,,
175.55,3.18E+09,,
175.59,5.63E+09,,
175.63,8.97E+09,,
175.68,1.39E+10,,
175.72,1.75E+10,,
175.76,1.99E+10,,
175.8,2.05E+10,,
175.85,1.83E+10,,
175.89,1.49E+10,,
175.93,1.09E+10,,
175.97,7.20E+09,,
176.02,3.71E+09,,
176.06,1.94E+09,,
176.1,9.16E+08,,
176.14,3.90E+08,,
176.19,1.16E+08,,
176.23,3.90E+07,,
176.27,1.19E+07,,
176.31,3.25E+06,,
176.36,5.58E+05,,
176.4,1.21E+05,,
176.44,2.37E+04,,
176.48,4.18E+03,,
176.53,4.14E+02,,
176.57,5.78E+01,,
176.61,7.29E+00,,
176.65,8.28E-01,,
176.7,4.72E-02,,
176.74,4.25E-03,,
176.78,3.45E-04,,
176.82,2.53E-05,,
176.87,8.31E-07,,
180.01,4.33E-07,,
180.05,6.18E-06,,
180.1,1.49E-04,,
180.14,1.71E-03,,
180.18,1.78E-02,,
180.22,1.68E-01,,
180.27,2.42E+00,,
180.31,1.83E+01,,
180.35,1.26E+02,,
180.39,7.82E+02,,
180.44,6.71E+03,,
180.48,3.35E+04,,
180.52,1.52E+05,,
180.56,6.26E+05,,
180.61,3.20E+06,,
180.65,1.06E+07,,
180.69,3.16E+07,,
180.73,8.60E+07,,
180.78,2.62E+08,,
180.82,5.71E+08,,
180.86,1.13E+09,,
180.9,2.03E+09,,
180.95,3.68E+09,,
180.99,5.30E+09,,
181.03,6.93E+09,,
181.07,8.22E+09,,
181.12,8.87E+09,,
181.16,8.45E+09,,
181.2,7.30E+09,,
181.24,5.72E+09,,
181.29,3.68E+09,,
181.33,2.31E+09,,
181.37,1.32E+09,,
181.41,6.84E+08,,
181.46,2.62E+08,,
181.5,1.09E+08,,
181.54,4.10E+07,,
181.58,1.40E+07,,
181.63,3.20E+06,,
181.67,8.78E+05,,
181.71,2.19E+05,,
181.75,4.94E+04,,
181.8,6.71E+03,,
181.84,1.22E+03,,
181.88,2.00E+02,,
181.93,1.83E+01,,
181.97,2.42E+00,,
182.01,2.90E-01,,
182.05,3.15E-02,,
182.1,1.72E-03,,
182.14,1.89E-04,,
182.18,4.54E-04,,
182.22,4.47E-03,,
182.27,7.04E-02,,
182.31,5.74E-01,,
182.35,4.25E+00,,
182.39,2.86E+01,,
182.44,2.72E+02,,
182.48,1.48E+03,,
182.52,7.30E+03,,
182.56,3.28E+04,,
182.61,1.87E+05,,
182.65,6.79E+05,,
182.69,2.24E+06,,
182.73,6.70E+06,,
182.78,2.31E+07,,
182.82,5.58E+07,,
182.86,1.22E+08,,
182.9,2.45E+08,,
182.95,5.07E+08,,
182.99,8.17E+08,,
183.03,1.20E+09,,
183.07,1.59E+09,,
183.12,1.99E+09,,
183.16,2.14E+09,,
183.2,2.09E+09,,
183.24,1.86E+09,,
183.29,1.40E+09,,
183.33,1.00E+09,,
183.37,6.52E+08,,
183.41,3.86E+08,,
183.46,1.75E+08,,
183.5,8.36E+07,,
183.54,3.63E+07,,
183.58,1.43E+07,,
183.63,3.92E+06,,
183.67,1.25E+06,,
183.71,3.61E+05,,
183.75,9.50E+04,,
183.8,1.57E+04,,
183.84,3.32E+03,,
183.88,6.41E+02,,
183.92,1.13E+02,,
183.97,1.12E+01,,
184.01,1.58E+00,,
184.05,2.03E-01,,
184.09,2.38E-02,,
184.14,1.42E-03,,
184.18,1.34E-04,,
184.22,1.15E-05,,
184.26,8.99E-07,,
188.86,1.40E-05,,
188.9,1.64E-04,,
188.94,1.76E-03,,
188.98,1.72E-02,,
189.03,2.64E-01,,
189.07,2.12E+00,,
189.11,1.56E+01,,
189.15,1.05E+02,,
189.2,1.00E+03,,
189.24,5.53E+03,,
189.28,2.79E+04,,
189.32,1.29E+05,,
189.37,7.68E+05,,
189.41,2.90E+06,,
189.45,1.00E+07,,
189.49,3.18E+07,,
189.54,1.19E+08,,
189.58,3.07E+08,,
189.62,7.30E+08,,
189.66,1.59E+09,,
189.71,3.69E+09,,
189.75,6.57E+09,,
189.79,1.07E+10,,
189.83,1.59E+10,,
189.88,2.32E+10,,
189.92,2.83E+10,,
189.96,3.16E+10,,
190,3.23E+10,,
190.05,2.93E+10,,
190.09,2.45E+10,,
190.13,1.88E+10,,
190.17,1.32E+10,,
190.22,7.48E+09,,
190.26,4.30E+09,,
190.3,2.26E+09,,
190.34,1.09E+09,,
190.39,3.85E+08,,
190.43,1.52E+08,,
190.47,5.47E+07,,
190.51,1.81E+07,,
190.56,3.99E+06,,
190.6,1.08E+06,,
190.64,2.67E+05,,
190.68,6.05E+04,,
190.73,8.35E+03,,
190.77,1.55E+03,,
190.81,2.63E+02,,
190.85,4.09E+01,,
190.9,3.52E+00,,
190.94,4.48E-01,,
190.98,5.22E-02,,
191.02,5.57E-03,,
191.07,3.00E-04,,
191.11,2.62E-05,,
191.15,2.09E-06,,
213.85,4.81E-08,,
213.9,7.55E-07,,
213.94,6.33E-06,,
213.98,4.95E-05,,
214.02,3.61E-04,,
214.07,3.93E-03,,
214.11,2.45E-02,,
214.15,1.43E-01,,
214.19,7.78E-01,,
214.24,5.86E+00,,
214.28,2.73E+01,,
214.32,1.19E+02,,
