Wavelength,Spectra,,
200.63,3.11E-09,,
200.67,3.41E-08,,
200.72,6.09E-07,,
200.76,5.60E-06,,
200.8,4.76E-05,,
200.84,3.74E-04,,
200.89,4.40E-03,,
200.93,2.90E-02,,
200.97,1.77E-01,,
201.01,9.93E-01,,
201.06,7.71E+00,,
201.1,3.64E+01,,
201.14,1.59E+02,,
201.18,6.39E+02,,
201.23,3.27E+03,,
201.27,1.10E+04,,
201.31,3.45E+04,,
201.35,9.95E+04,,
201.4,3.35E+05,,
201.44,8.11E+05,,
201.48,1.81E+06,,
201.52,3.75E+06,,
201.57,8.32E+06,,
201.61,1.44E+07,,
201.65,2.31E+07,,
201.69,3.42E+07,,
201.74,5.00E+07,,
201.78,6.21E+07,,
201.82,7.13E+07,,
201.86,7.56E+07,,
201.91,7.28E+07,,
201.95,6.48E+07,,
201.99,5.32E+07,,
202.03,4.04E+07,,
202.08,2.57E+07,,
202.12,1.63E+07,,
202.16,9.62E+06,,
202.21,4.44E+06,,
202.25,2.19E+06,,
202.29,9.99E+05,,
202.33,4.21E+05,,
202.38,1.28E+05,,
202.42,4.52E+04,,
202.46,1.48E+04,,
202.5,4.46E+03,,
202.55,8.94E+02,,
202.59,2.26E+02,,
202.63,5.29E+01,,
202.67,1.14E+01,,
202.72,1.51E+00,,
202.76,2.74E-01,,
202.8,4.59E-02,,
202.84,7.11E-03,,
202.89,6.18E-04,,
202.93,8.03E-05,,
202.97,9.63E-06,,
203.01,1.07E-06,,
203.06,6.13E-08,,
203.1,5.70E-09,,
203.95,2.02E-08,,
203.99,2.05E-07,,
204.03,1.93E-06,,
204.08,2.86E-05,,
204.12,2.27E-04,,
204.16,1.67E-03,,
204.2,1.14E-02,,
204.25,1.13E-01,,
204.29,6.47E-01,,
204.33,3.44E+00,,
204.37,1.70E+01,,
204.42,1.12E+02,,
204.46,4.67E+02,,
204.5,1.80E+03,,
204.54,6.43E+03,,
204.59,2.84E+04,,
204.63,8.54E+04,,
204.67,2.38E+05,,
204.71,6.16E+05,,
204.76,1.82E+06,,
204.8,3.96E+06,,
204.84,7.99E+06,,
204.88,1.50E+07,,
204.93,2.94E+07,,
204.97,4.65E+07,,
205.01,6.79E+07,,
205.05,9.21E+07,,
205.1,1.21E+08,,
205.14,1.38E+08,,
205.18,1.46E+08,,
205.22,1.44E+08,,
205.27,1.26E+08,,
205.31,1.04E+08,,
205.35,7.98E+07,,
205.39,5.67E+07,,
205.44,3.32E+07,,
205.48,1.99E+07,,
205.52,1.10E+07,,
205.56,5.68E+06,,
205.61,2.22E+06,,
205.65,9.63E+05,,
205.69,3.87E+05,,
205.73,1.44E+05,,
205.78,3.76E+04,,
205.82,1.18E+04,,
205.86,3.43E+03,,
205.9,9.25E+02,,
205.95,1.62E+02,,
205.99,3.67E+01,,
206.03,7.72E+00,,
206.07,1.51E+00,,
206.12,1.76E-01,,
206.16,2.89E-02,,
206.2,4.40E-03,,
206.24,6.22E-04,,
206.29,4.84E-05,,
206.33,5.76E-06,,
206.37,6.36E-07,,
206.41,6.50E-08,,
213.98,2.62E-06,,
214.02,2.38E-05,,
214.07,3.43E-04,,
214.11,2.67E-03,,
214.15,1.94E-02,,
214.19,1.32E-01,,
214.24,1.32E+00,,
214.28,7.65E+00,,
214.32,4.15E+01,,
214.36,2.10E+02,,
214.41,1.45E+03,,
214.45,6.29E+03,,
214.49,2.55E+04,,
214.53,9.62E+04,,
214.58,4.60E+05,,
214.62,1.49E+06,,
214.66,4.49E+06,,
214.7,1.26E+07,,
214.75,4.18E+07,,
214.79,1.01E+08,,
214.83,2.27E+08,,
214.87,4.77E+08,,
214.92,1.10E+09,,
214.96,1.97E+09,,
215,3.31E+09,,
215.04,5.18E+09,,
215.09,8.23E+09,,
215.13,1.10E+10,,
215.17,1.38E+10,,
215.21,1.61E+10,,
215.26,1.78E+10,,
215.3,1.78E+10,,
215.34,1.66E+10,,
215.38,1.45E+10,,
215.43,1.10E+10,,
215.47,8.23E+09,,
215.51,5.73E+09,,
215.56,3.31E+09,,
215.6,1.97E+09,,
215.64,1.10E+09,,
215.68,5.68E+08,,
215.73,2.27E+08,,
215.77,1.01E+08,,
215.81,4.19E+07,,
215.85,1.64E+07,,
215.9,5.27E+06,,
215.94,3.99E+06,,
215.98,7.92E+06,,
216.02,2.09E+07,,
216.07,6.76E+07,,
216.11,1.61E+08,,
216.15,3.59E+08,,
216.19,7.46E+08,,
216.24,1.69E+09,,
216.28,3.02E+09,,
216.32,5.03E+09,,
216.36,7.83E+09,,
216.41,1.24E+10,,
216.45,1.65E+10,,
216.49,2.06E+10,,
216.53,2.40E+10,,
216.58,2.64E+10,,
216.62,2.64E+10,,
216.66,2.46E+10,,
216.7,2.15E+10,,
216.75,1.64E+10,,
216.79,1.23E+10,,
216.83,8.57E+09,,
216.87,5.59E+09,,
216.92,2.98E+09,,
216.96,1.67E+09,,
217,8.72E+08,,
217.04,4.26E+08,,
217.09,1.58E+08,,
217.13,6.61E+07,,
217.17,2.59E+07,,
217.21,9.45E+06,,
217.26,2.44E+06,,
217.3,7.65E+05,,
217.34,2.24E+05,,
217.38,6.12E+04,,
217.43,1.10E+04,,
217.47,2.58E+03,,
217.51,5.65E+02,,
217.55,1.16E+02,,
217.6,1.45E+01,,
217.64,2.54E+00,,
217.68,4.17E-01,,
217.72,6.38E-02,,
217.77,5.55E-03,,
217.81,7.30E-04,,
217.85,8.96E-05,,
217.89,1.03E-05,,
223.97,7.49E-10,,
224.02,1.04E-08,,
224.06,7.93E-08,,
224.1,5.68E-07,,
224.14,3.82E-06,,
224.19,3.79E-05,,
224.23,2.22E-04,,
224.27,1.22E-03,,
224.31,6.25E-03,,
224.36,4.44E-02,,
224.4,1.98E-01,,
224.44,8.32E-01,,
224.48,3.28E+00,,
224.53,1.66E+01,,
224.57,5.69E+01,,
224.61,1.83E+02,,
224.65,5.50E+02,,
224.7,2.00E+03,,
224.74,5.22E+03,,
224.78,1.28E+04,,
224.82,2.96E+04,,
224.87,7.68E+04,,
224.91,1.54E+05,,
224.95,2.89E+05,,
224.99,5.09E+05,,
225.04,9.47E+05,,
225.08,1.45E+06,,
225.12,2.08E+06,,
225.16,2.81E+06,,
225.21,3.74E+06,,
225.25,4.37E+06,,
225.29,4.81E+06,,
225.33,4.96E+06,,
225.38,4.72E+06,,
225.42,4.23E+06,,
225.46,3.56E+06,,
225.5,2.81E+06,,
225.55,1.91E+06,,
225.59,1.31E+06,,
225.63,8.43E+05,,
225.67,5.09E+05,,
225.72,2.48E+05,,
225.76,1.30E+05,,
225.8,6.40E+04,,
225.84,2.96E+04,,
225.89,1.03E+04,,
225.93,4.13E+03,,
225.97,1.56E+03,,
226.01,5.50E+02,,
226.06,1.37E+02,,
226.1,4.21E+01,,
226.14,1.21E+01,,
226.18,3.28E+00,,
226.23,5.85E-01,,
226.27,1.37E-01,,
226.31,3.02E-02,,
226.35,6.28E-03,,
226.4,1.07E-03,,
226.44,1.64E-03,,
226.48,7.74E-03,,
226.52,3.73E-02,,
226.57,2.46E-01,,
226.61,1.03E+00,,
226.65,4.09E+00,,
226.69,1.52E+01,,
226.74,7.20E+01,,
226.78,2.33E+02,,
226.82,7.09E+02,,
226.86,2.03E+03,,
226.91,6.92E+03,,
226.95,1.72E+04,,
226.99,4.03E+04,,
227.03,8.86E+04,,
227.08,2.18E+05,,
227.12,4.16E+05,,
227.16,7.49E+05,,
227.2,1.27E+06,,
227.25,2.24E+06,,
227.29,3.30E+06,,
227.33,4.56E+06,,
227.37,5.93E+06,,
227.42,7.56E+06,,
227.46,8.58E+06,,
227.5,9.22E+06,,
227.54,9.47E+06,,
227.59,9.64E+06,,
227.63,1.05E+07,,
227.67,1.35E+07,,
227.71,2.11E+07,,
227.76,4.35E+07,,
227.8,7.91E+07,,
227.84,1.40E+08,,
227.88,2.34E+08,,
227.93,4.11E+08,,
227.97,6.03E+08,,
228.01,8.33E+08,,
228.05,1.08E+09,,
228.1,1.38E+09,,
228.14,1.55E+09,,
228.18,1.65E+09,,
228.22,1.65E+09,,
228.27,1.52E+09,,
228.31,1.32E+09,,
228.35,1.08E+09,,
228.39,8.33E+08,,
228.44,5.51E+08,,
228.48,3.70E+08,,
228.52,2.33E+08,,
228.56,1.38E+08,,
228.61,6.60E+07,,
228.65,3.41E+07,,
228.69,1.66E+07,,
228.73,7.57E+06,,
228.78,2.61E+06,,
228.82,1.04E+06,,
228.86,3.88E+05,,
228.9,1.37E+05,,
228.95,3.39E+04,,
228.99,1.04E+04,,
229.03,2.99E+03,,
229.08,5.80E+02,,
229.12,1.46E+02,,
229.16,3.43E+01,,
229.2,7.62E+00,,
229.25,1.06E+00,,
229.29,2.06E-01,,
229.33,3.74E-02,,
229.37,6.39E-03,,
229.42,6.44E-04,,
229.46,9.70E-05,,
229.5,2.10E-05,,
229.54,4.86E-05,,
229.59,4.18E-04,,
229.63,2.25E-03,,
229.67,1.14E-02,,
229.71,5.44E-02,,
229.76,3.53E-01,,
229.8,1.47E+00,,
229.84,5.77E+00,,
229.88,2.13E+01,,
229.93,1.01E+02,,
229.97,3.25E+02,,
230.01,9.87E+02,,
230.05,2.83E+03,,
230.1,9.67E+03,,
230.14,2.42E+04,,
230.18,5.70E+04,,
230.22,1.26E+05,,
230.27,3.14E+05,,
230.31,6.09E+05,,
230.35,1.11E+06,,
230.39,1.91E+06,,
230.44,3.45E+06,,
230.48,5.17E+06,,
230.52,7.31E+06,,
230.56,9.72E+06,,
230.61,1.28E+07,,
230.65,1.48E+07,,
230.69,1.62E+07,,
230.73,1.67E+07,,
230.78,1.60E+07,,
230.82,1.44E+07,,
230.86,1.22E+07,,
230.9,9.72E+06,,
230.95,6.74E+06,,
230.99,4.70E+06,,
231.03,3.09E+06,,
231.07,1.91E+06,,
231.12,9.61E+05,,
231.16,5.19E+05,,
231.2,2.64E+05,,
231.24,1.26E+05,,
231.29,4.64E+04,,
231.33,1.99E+04,,
231.37,9.73E+03,,
231.41,1.03E+04,,
231.46,3.40E+04,,
231.5,1.03E+05,,
231.54,2.98E+05,,
231.58,8.18E+05,,
231.63,2.66E+06,,
231.67,6.37E+06,,
231.71,1.44E+07,,
231.75,3.07E+07,,
231.8,7.28E+07,,
