Wavelength,Spectra
251.1,4.71E-09
251.14,3.17E-08
251.18,2.02E-07
251.23,1.92E-06
251.27,1.10E-05
251.31,5.95E-05
251.35,3.07E-04
251.4,2.23E-03
251.44,1.03E-02
251.48,4.51E-02
251.52,1.88E-01
251.57,1.05E+00
251.61,3.91E+00
251.65,1.39E+01
251.69,4.67E+01
251.74,1.99E+02
251.78,6.00E+02
251.82,1.72E+03
251.86,4.69E+03
251.91,1.53E+04
251.95,3.72E+04
251.99,8.62E+04
252.03,1.90E+05
252.08,4.75E+05
252.12,9.35E+05
252.16,1.75E+06
252.2,3.11E+06
252.25,5.97E+06
252.29,9.49E+06
252.33,1.44E+07
252.37,2.06E+07
252.42,3.03E+07
252.46,3.89E+07
252.5,4.76E+07
252.54,5.53E+07
252.59,6.22E+07
252.63,6.46E+07
252.67,6.38E+07
252.71,5.99E+07
252.76,5.16E+07
252.8,4.33E+07
252.84,3.46E+07
252.88,2.62E+07
252.93,1.73E+07
252.97,1.17E+07
253.01,7.57E+06
253.05,4.64E+06
253.1,2.35E+06
253.14,1.29E+06
253.18,6.71E+05
253.22,3.32E+05
253.27,1.29E+05
253.31,5.70E+04
253.35,2.40E+04
253.39,9.62E+03
253.44,2.86E+03
253.48,1.02E+03
253.52,3.48E+02
253.56,1.13E+02
253.61,2.56E+01
253.65,7.40E+00
253.69,2.04E+00
253.73,5.32E-01
253.78,9.29E-02
253.82,2.20E-02
253.86,6.49E-03
253.9,8.60E-03
253.95,4.70E-02
253.99,1.90E-01
254.03,7.35E-01
254.07,2.71E+00
254.12,1.29E+01
254.16,4.24E+01
254.2,1.33E+02
254.24,3.97E+02
254.29,1.46E+03
254.33,3.89E+03
254.37,9.90E+03
254.41,2.40E+04
254.46,6.77E+04
254.5,1.47E+05
254.54,3.03E+05
254.58,5.96E+05
254.63,1.30E+06
254.67,2.28E+06
254.71,3.82E+06
254.75,6.10E+06
254.8,1.02E+07
254.84,1.46E+07
254.88,1.98E+07
254.92,2.57E+07
254.97,3.31E+07
255.01,3.83E+07
255.05,4.23E+07
255.09,4.44E+07
255.14,4.41E+07
255.18,4.14E+07
255.22,3.71E+07
255.26,3.16E+07
255.31,2.42E+07
255.35,1.84E+07
255.39,1.34E+07
255.43,9.26E+06
255.48,5.45E+06
255.52,3.38E+06
255.56,1.99E+06
255.6,1.12E+06
255.65,5.06E+05
255.69,2.54E+05
255.73,1.22E+05
255.77,5.54E+04
255.82,1.93E+04
255.86,7.88E+03
255.9,3.06E+03
255.95,8.74E+02
255.99,3.04E+02
256.03,1.00E+02
256.07,3.16E+01
256.12,6.96E+00
256.16,1.96E+00
256.2,5.27E-01
256.24,1.35E-01
256.29,2.28E-02
256.33,5.22E-03
256.37,1.14E-03
256.41,2.36E-04
256.46,3.08E-05
256.5,5.71E-06
256.54,1.01E-06
256.58,1.70E-07
256.63,1.71E-08
275.93,2.52E-08
275.97,1.38E-07
276.01,7.27E-07
276.05,3.67E-06
276.1,2.62E-05
276.14,1.21E-04
276.18,5.33E-04
276.23,3.21E-03
276.27,1.29E-02
276.31,4.98E-02
276.35,1.84E-01
276.4,8.92E-01
276.44,3.01E+00
276.48,9.71E+00
276.52,3.01E+01
276.57,1.17E+02
276.61,3.30E+02
276.65,8.95E+02
276.69,2.33E+03
276.74,7.24E+03
276.78,1.71E+04
276.82,3.89E+04
276.86,8.48E+04
276.91,2.12E+05
276.95,4.20E+05
276.99,7.99E+05
277.03,1.46E+06
277.08,2.92E+06
277.12,4.86E+06
277.16,7.75E+06
277.2,1.19E+07
277.25,1.91E+07
277.29,2.66E+07
277.33,3.55E+07
277.37,4.56E+07
277.42,5.87E+07
277.46,6.86E+07
277.5,7.69E+07
277.54,8.27E+07
277.59,8.54E+07
277.63,8.37E+07
277.67,7.86E+07
277.71,7.09E+07
277.76,5.87E+07
277.8,4.82E+07
277.84,3.80E+07
277.88,2.87E+07
277.93,1.91E+07
277.97,1.31E+07
278.01,8.66E+06
278.05,5.48E+06
278.1,2.92E+06
278.14,1.69E+06
278.18,9.33E+05
278.22,4.95E+05
278.27,2.12E+05
278.31,1.02E+05
278.35,4.75E+04
278.39,2.11E+04
278.44,7.24E+03
278.48,2.93E+03
278.52,1.14E+03
278.56,4.25E+02
278.61,1.17E+02
278.65,3.97E+01
278.69,1.29E+01
278.73,4.05E+00
278.78,8.92E-01
278.82,2.54E-01
278.86,6.94E-02
278.9,1.82E-02
278.95,3.21E-03
278.99,7.67E-04
279.03,1.76E-04
279.07,3.86E-05
279.12,5.47E-06
279.16,1.09E-06
279.2,2.10E-07
279.24,3.87E-08
287.45,2.18E-08
287.49,1.12E-07
287.53,5.53E-07
287.58,3.86E-06
287.62,1.75E-05
287.66,7.64E-05
287.7,3.21E-04
287.75,1.83E-03
287.79,7.04E-03
287.83,2.61E-02
287.87,9.32E-02
287.92,4.33E-01
287.96,1.42E+00
288,4.47E+00
288.04,1.36E+01
288.09,5.15E+01
288.13,1.43E+02
288.17,3.84E+02
