Wavelength,Spectra
348.8,8.25E-07
348.84,3.21E-06
348.88,1.22E-05
348.93,6.19E-05
348.97,2.21E-04
349.01,7.70E-04
349.05,2.61E-03
349.1,1.16E-02
349.14,3.71E-02
349.18,1.16E-01
349.22,3.51E-01
349.27,1.36E+00
349.31,3.89E+00
349.35,1.09E+01
349.39,2.95E+01
349.44,9.93E+01
349.48,2.55E+02
349.52,6.37E+02
349.56,1.55E+03
349.61,4.55E+03
349.65,1.05E+04
349.69,2.34E+04
349.73,5.10E+04
349.78,1.30E+05
349.82,2.68E+05
349.86,5.37E+05
349.9,1.05E+06
349.95,2.33E+06
349.99,4.30E+06
350.03,7.71E+06
350.07,1.35E+07
350.12,2.61E+07
350.16,4.31E+07
350.2,6.92E+07
350.25,1.21E+08
350.29,1.83E+08
350.33,2.70E+08
350.37,3.89E+08
350.42,5.91E+08
350.46,8.02E+08
350.5,1.06E+09
350.54,1.37E+09
350.59,1.81E+09
350.63,2.20E+09
350.67,2.60E+09
350.71,3.00E+09
350.76,3.46E+09
350.8,3.76E+09
350.84,3.99E+09
350.88,4.12E+09
350.93,4.14E+09
350.97,4.03E+09
351.01,3.83E+09
351.05,3.54E+09
351.1,3.10E+09
351.14,2.70E+09
351.18,2.30E+09
351.22,1.90E+09
351.27,1.45E+09
351.31,1.13E+09
351.35,8.62E+08
351.39,6.39E+08
351.44,4.24E+08
351.48,2.97E+08
351.52,2.02E+08
351.56,1.34E+08
351.61,7.76E+07
351.65,4.86E+07
351.69,2.97E+07
351.73,1.77E+07
351.78,8.89E+06
351.82,4.98E+06
351.86,2.72E+06
351.9,1.45E+06
351.95,6.36E+05
351.99,3.20E+05
352.03,1.56E+05
352.07,7.46E+04
352.12,2.85E+04
352.16,1.28E+04
352.2,5.61E+03
352.24,2.40E+03
352.29,7.98E+02
352.33,3.21E+02
352.37,1.26E+02
352.41,4.82E+01
352.46,1.40E+01
352.5,5.04E+00
352.54,1.77E+00
352.58,6.06E-01
352.63,1.53E-01
352.67,4.94E-02
352.71,1.55E-02
352.75,4.76E-03
352.8,1.05E-03
352.84,3.03E-04
352.88,8.53E-05
352.92,2.34E-05
352.97,4.49E-06
353.01,1.16E-06
354.71,1.93E-06
354.75,7.31E-06
354.79,2.70E-05
354.84,1.34E-04
354.88,4.66E-04
354.92,1.59E-03
354.96,5.27E-03
355.01,2.28E-02
355.05,7.15E-02
355.09,2.19E-01
355.13,6.52E-01
355.18,2.47E+00
355.22,6.96E+00
355.26,1.91E+01
355.3,5.13E+01
355.35,1.70E+02
355.39,4.31E+02
355.43,1.06E+03
355.47,2.57E+03
355.52,7.43E+03
355.56,1.69E+04
355.6,3.76E+04
355.64,8.14E+04
355.69,2.07E+05
355.73,4.23E+05
355.77,8.43E+05
355.81,1.64E+06
355.86,3.64E+06
355.9,6.70E+06
355.94,1.20E+07
355.98,2.10E+07
356.03,4.08E+07
356.07,6.75E+07
356.11,1.09E+08
356.15,1.71E+08
356.2,2.90E+08
356.24,4.31E+08
356.28,6.25E+08
356.32,8.83E+08
356.37,1.31E+09
356.41,1.75E+09
356.45,2.28E+09
356.49,2.90E+09
356.54,3.77E+09
356.58,4.52E+09
356.62,5.29E+09
356.66,6.04E+09
356.71,6.87E+09
356.75,7.41E+09
356.79,7.79E+09
356.83,7.99E+09
356.88,7.96E+09
356.92,7.71E+09
356.96,7.29E+09
357.01,6.56E+09
357.05,5.85E+09
357.09,5.10E+09
357.13,4.33E+09
357.18,3.41E+09
357.22,2.74E+09
357.26,2.14E+09
357.3,1.63E+09
357.35,1.13E+09
357.39,8.12E+08
357.43,5.71E+08
357.47,3.92E+08
357.52,2.36E+08
357.56,1.53E+08
357.6,9.67E+07
357.64,5.96E+07
357.69,3.14E+07
357.73,1.83E+07
357.77,1.04E+07
357.81,5.77E+06
357.86,2.66E+06
357.9,1.39E+06
357.94,7.11E+05
357.98,3.54E+05
358.03,1.43E+05
358.07,6.73E+04
358.11,3.09E+04
358.15,1.38E+04
358.2,4.88E+03
358.24,2.06E+03
358.28,8.51E+02
358.32,3.42E+02
358.37,1.06E+02
358.41,4.02E+01
358.45,1.49E+01
358.49,5.39E+00
358.54,1.46E+00
358.58,4.98E-01
358.62,1.66E-01
358.66,5.38E-02
358.71,1.27E-02
358.75,3.91E-03
358.79,1.17E-03
358.83,3.42E-04
358.88,7.08E-05
358.92,1.95E-05
358.96,5.25E-06
359,1.38E-06
363.68,1.21E-06
363.72,4.49E-06
363.77,2.23E-05
363.81,7.82E-05
363.85,2.68E-04
363.89,8.95E-04
363.94,3.92E-03
363.98,1.24E-02
364.02,3.84E-02
364.06,1.16E-01
364.11,4.46E-01
364.15,1.28E+00
364.19,3.57E+00
364.23,9.75E+00
364.28,3.31E+01
364.32,8.55E+01
364.36,2.16E+02
364.4,5.32E+02
364.45,1.59E+03
364.49,3.71E+03
364.53,8.47E+03
364.57,1.89E+04
364.62,4.96E+04
364.66,1.05E+05
364.7,2.16E+05
364.74,4.34E+05
364.79,1.01E+06
364.83,1.92E+06
364.87,3.57E+06
364.91,6.50E+06
364.96,1.33E+07
365,2.28E+07
365.04,3.84E+07
365.08,6.31E+07
365.13,1.13E+08
365.17,1.76E+08
365.21,2.68E+08
365.25,3.98E+08
365.3,6.29E+08
365.34,8.85E+08
365.38,1.21E+09
365.42,1.63E+09
365.47,2.27E+09
365.51,2.88E+09
365.55,3.57E+09
365.59,4.33E+09
365.64,5.31E+09
365.68,6.10E+09
365.72,6.83E+09
365.76,7.47E+09
365.81,8.08E+09
365.85,8.37E+09
365.89,8.48E+09
365.93,8.37E+09
365.98,7.98E+09
366.02,7.47E+09
366.06,6.83E+09
366.1,6.10E+09
366.15,5.12E+09
366.19,4.33E+09
366.23,3.57E+09
366.27,2.88E+09
366.32,2.13E+09
366.36,1.63E+09
366.4,1.21E+09
366.44,8.85E+08
366.49,5.76E+08
366.53,3.98E+08
366.57,2.69E+08
366.61,1.79E+08
366.66,1.07E+08
366.7,7.30E+07
366.74,5.55E+07
