Wavelength,Spectra,,
252.8,2.76E-05,,
252.84,1.76E-04,,
252.88,1.07E-03,,
252.93,9.57E-03,,
252.97,5.21E-02,,
253.01,2.70E-01,,
253.05,1.33E+00,,
253.1,9.12E+00,,
253.14,4.03E+01,,
253.18,1.69E+02,,
253.22,6.75E+02,,
253.27,3.56E+03,,
253.31,1.27E+04,,
253.35,4.33E+04,,
253.39,1.40E+05,,
253.44,5.68E+05,,
253.48,1.65E+06,,
253.52,4.54E+06,,
253.56,1.19E+07,,
253.61,3.71E+07,,
253.65,8.71E+07,,
253.69,1.95E+08,,
253.73,4.14E+08,,
253.78,9.91E+08,,
253.82,1.89E+09,,
253.86,3.41E+09,,
253.9,5.88E+09,,
253.95,1.08E+10,,
253.99,1.67E+10,,
254.03,2.45E+10,,
254.07,3.42E+10,,
254.12,4.85E+10,,
254.16,6.06E+10,,
254.2,7.20E+10,,
254.24,8.15E+10,,
254.29,8.87E+10,,
254.33,8.98E+10,,
254.37,8.66E+10,,
254.41,7.94E+10,,
254.46,6.65E+10,,
254.5,5.45E+10,,
254.54,4.26E+10,,
254.58,3.16E+10,,
254.63,2.04E+10,,
254.67,1.35E+10,,
254.71,8.57E+09,,
254.75,5.16E+09,,
254.8,2.55E+09,,
254.84,1.38E+09,,
254.88,7.05E+08,,
254.92,3.44E+08,,
254.97,1.31E+08,,
255.01,5.72E+07,,
255.05,2.38E+07,,
255.09,9.40E+06,,
255.14,2.75E+06,,
255.18,9.73E+05,,
255.22,3.28E+05,,
255.26,1.05E+05,,
255.31,2.36E+04,,
255.35,6.77E+03,,
255.39,1.85E+03,,
255.43,4.80E+02,,
255.48,8.30E+01,,
255.52,1.93E+01,,
255.56,4.26E+00,,
255.6,8.97E-01,,
255.65,1.19E-01,,
255.69,2.25E-02,,
255.73,4.03E-03,,
255.77,6.87E-04,,
255.82,7.02E-05,,
255.86,1.07E-05,,
259.43,1.35E-05,,
259.47,8.31E-05,,
259.52,7.57E-04,,
259.56,4.20E-03,,
259.6,2.23E-02,,
259.64,1.13E-01,,
259.69,8.00E-01,,
259.73,3.64E+00,,
259.77,1.58E+01,,
259.81,6.54E+01,,
259.86,3.62E+02,,
259.9,1.35E+03,,
259.94,4.79E+03,,
259.98,1.62E+04,,
260.03,7.00E+04,,
260.07,2.14E+05,,
260.11,6.22E+05,,
260.15,1.73E+06,,
260.2,5.80E+06,,
260.24,1.45E+07,,
260.28,3.46E+07,,
260.32,7.86E+07,,
260.37,2.06E+08,,
260.41,4.21E+08,,
260.45,8.22E+08,,
260.49,1.53E+09,,
260.54,3.12E+09,,
260.58,5.24E+09,,
260.62,8.38E+09,,
260.66,1.28E+10,,
260.71,2.03E+10,,
260.75,2.79E+10,,
260.79,3.65E+10,,
260.83,4.56E+10,,
260.88,5.65E+10,,
260.92,6.35E+10,,
260.96,6.81E+10,,
261,6.98E+10,,
261.05,6.72E+10,,
261.09,6.19E+10,,
261.13,5.44E+10,,
261.17,4.56E+10,,
261.22,3.43E+10,,
261.26,2.59E+10,,
261.3,1.86E+10,,
261.34,1.28E+10,,
261.39,7.48E+09,,
261.43,4.62E+09,,
261.47,2.72E+09,,
261.51,1.53E+09,,
261.56,6.99E+08,,
261.6,3.54E+08,,
261.64,1.71E+08,,
261.68,7.86E+07,,
261.73,2.79E+07,,
261.77,1.16E+07,,
261.81,4.58E+06,,
261.85,1.73E+06,,
261.9,4.78E+05,,
261.94,1.62E+05,,
261.98,5.26E+04,,
262.02,1.62E+04,,
262.07,3.50E+03,,
262.11,9.74E+02,,
262.15,2.58E+02,,
262.19,6.54E+01,,
262.24,1.10E+01,,
262.28,2.50E+00,,
262.32,5.43E-01,,
262.36,1.13E-01,,
262.41,1.48E-02,,
262.45,2.75E-03,,
262.49,4.89E-04,,
262.53,8.31E-05,,
262.58,8.48E-06,,
263.09,4.32E-06,,
263.13,2.66E-05,,
263.17,1.56E-04,,
263.22,1.34E-03,,
263.26,7.07E-03,,
263.3,3.58E-02,,
263.34,1.73E-01,,
263.39,1.16E+00,,
263.43,5.07E+00,,
263.47,2.11E+01,,
263.51,8.42E+01,,
263.56,4.44E+02,,
263.6,1.59E+03,,
263.64,5.47E+03,,
263.68,1.79E+04,,
263.73,7.42E+04,,
263.77,2.20E+05,,
263.81,6.21E+05,,
263.85,1.68E+06,,
263.9,5.44E+06,,
263.94,1.33E+07,,
263.98,3.09E+07,,
264.02,6.86E+07,,
264.07,1.75E+08,,
264.11,3.51E+08,,
264.15,6.72E+08,,
264.19,1.23E+09,,
264.24,2.46E+09,,
264.28,4.07E+09,,
264.32,6.42E+09,,
264.36,9.68E+09,,
264.41,1.52E+10,,
264.45,2.07E+10,,
264.49,2.69E+10,,
264.53,3.34E+10,,
264.58,4.10E+10,,
264.62,4.60E+10,,
264.66,4.93E+10,,
264.7,5.04E+10,,
264.75,4.86E+10,,
264.79,4.49E+10,,
264.83,3.96E+10,,
264.87,3.34E+10,,
264.92,2.53E+10,,
264.96,1.92E+10,,
265,1.40E+10,,
265.04,9.68E+09,,
265.09,5.75E+09,,
265.13,3.60E+09,,
265.17,2.15E+09,,
265.21,1.23E+09,,
265.26,5.74E+08,,
265.3,2.96E+08,,
265.34,1.46E+08,,
265.38,6.86E+07,,
265.43,2.51E+07,,
265.47,1.07E+07,,
265.51,4.32E+06,,
265.55,1.68E+06,,
265.6,4.81E+05,,
265.64,1.68E+05,,
265.68,5.62E+04,,
265.72,1.79E+04,,
265.77,4.04E+03,,
265.81,1.16E+03,,
265.85,3.20E+02,,
265.89,8.42E+01,,
265.94,1.49E+01,,
265.98,3.53E+00,,
266.02,7.99E-01,,
266.06,1.73E-01,,
266.11,2.40E-02,,
266.15,4.68E-03,,
266.19,8.74E-04,,
