Wavelength,Spectra
213,1.91E-06
213.05,2.94E-05
213.09,2.42E-04
213.13,1.86E-03
213.17,1.33E-02
213.22,1.42E-01
213.26,8.67E-01
213.3,4.95E+00
213.34,2.64E+01
213.39,1.93E+02
213.43,8.80E+02
213.47,3.74E+03
213.51,1.48E+04
213.56,7.50E+04
213.6,2.54E+05
213.64,8.02E+05
213.68,2.36E+06
213.73,8.26E+06
213.77,2.08E+07
213.81,4.89E+07
213.85,1.07E+08
213.9,2.59E+08
213.94,4.84E+08
213.98,8.45E+08
214.02,1.38E+09
214.07,2.30E+09
214.11,3.20E+09
214.15,4.15E+09
214.19,5.03E+09
214.24,5.80E+09
214.28,6.00E+09
214.32,5.80E+09
214.36,5.22E+09
214.41,4.15E+09
214.45,3.20E+09
214.49,2.30E+09
214.53,1.54E+09
214.58,8.45E+08
214.62,4.84E+08
214.66,2.59E+08
214.7,1.29E+08
214.75,4.89E+07
214.79,2.08E+07
214.83,8.26E+06
214.87,3.06E+06
214.92,8.02E+05
214.96,2.54E+05
215,7.50E+04
215.04,2.07E+04
215.09,3.74E+03
215.13,8.80E+02
215.17,1.93E+02
215.21,3.96E+01
215.26,4.95E+00
215.3,8.67E-01
215.34,1.42E-01
215.38,2.16E-02
215.43,1.86E-03
215.47,2.42E-04
215.51,2.94E-05
215.56,1.91E-06
224.53,5.29E-08
224.57,4.39E-07
224.61,3.43E-06
224.65,2.51E-05
224.7,2.77E-04
224.74,1.76E-03
224.78,1.05E-02
224.82,5.89E-02
224.87,4.66E-01
224.91,2.27E+00
224.95,1.04E+01
224.99,4.46E+01
225.04,2.53E+02
225.08,9.43E+02
225.12,3.30E+03
225.16,1.09E+04
225.21,4.41E+04
225.25,1.26E+05
225.29,3.39E+05
225.33,8.54E+05
225.38,2.49E+06
225.42,5.44E+06
225.46,1.12E+07
225.5,2.16E+07
225.55,4.51E+07
225.59,7.56E+07
225.63,1.19E+08
225.67,1.76E+08
225.72,2.64E+08
225.76,3.39E+08
225.8,4.09E+08
225.84,4.63E+08
225.89,4.96E+08
225.93,4.89E+08
225.97,4.52E+08
226.01,3.92E+08
226.06,3.01E+08
226.1,2.27E+08
226.14,1.61E+08
226.18,1.07E+08
226.23,5.89E+07
226.27,3.40E+07
226.31,1.85E+07
226.35,9.40E+06
226.4,3.71E+06
226.44,1.64E+06
226.48,6.82E+05
226.52,2.66E+05
226.57,7.52E+04
226.61,2.55E+04
226.65,8.12E+03
226.69,2.43E+03
226.74,4.92E+02
226.78,1.28E+02
226.82,3.12E+01
226.86,7.14E+00
226.91,1.04E+00
226.95,2.06E-01
226.99,3.85E-02
227.03,6.76E-03
227.08,7.03E-04
227.12,1.07E-04
227.16,1.53E-05
227.2,2.06E-06
227.25,1.54E-07
236.9,1.46E-07
236.94,1.06E-06
236.98,7.30E-06
237.03,7.52E-05
237.07,4.56E-04
237.11,2.62E-03
237.15,1.42E-02
237.2,1.08E-01
237.24,5.18E-01
237.28,2.34E+00
237.32,9.97E+00
237.37,5.65E+01
237.41,2.12E+02
237.45,7.54E+02
237.49,2.53E+03
237.54,1.06E+04
237.58,3.15E+04
237.62,8.80E+04
237.66,2.33E+05
237.71,7.25E+05
237.75,1.69E+06
237.79,3.73E+06
237.83,7.77E+06
237.88,1.80E+07
237.92,3.32E+07
237.96,5.79E+07
238,9.58E+07
238.05,1.67E+08
238.09,2.46E+08
238.13,3.46E+08
238.17,4.66E+08
238.22,6.36E+08
238.26,7.84E+08
238.3,9.35E+08
238.34,1.08E+09
238.39,1.26E+09
238.43,1.37E+09
238.47,1.46E+09
238.51,1.51E+09
238.56,1.49E+09
238.6,1.42E+09
238.64,1.29E+09
238.68,1.13E+09
238.73,8.82E+08
238.77,6.86E+08
238.81,5.06E+08
238.85,3.54E+08
238.9,2.10E+08
238.94,1.30E+08
238.98,7.58E+07
239.02,4.19E+07
239.07,1.85E+07
239.11,9.03E+06
239.15,4.17E+06
239.19,1.82E+06
239.24,5.96E+05
239.28,2.29E+05
239.32,8.32E+04
239.36,2.86E+04
239.41,6.95E+03
239.45,2.11E+03
239.49,6.03E+02
239.53,1.63E+02
239.58,2.94E+01
239.62,7.01E+00
239.66,1.58E+00
239.7,3.37E-01
239.75,4.51E-02
239.79,8.46E-03
239.83,1.50E-03
239.87,2.52E-04
