Wavelength,Spectra,,,
189.89,9.56E-08,,,
189.94,2.37E-06,,,
189.98,2.66E-05,,,
190.03,4.84E-04,,,
190.08,7.66E-03,,,
190.12,6.34E-02,,,
190.17,7.86E-01,,,
190.21,5.35E+00,,,
190.26,5.20E+01,,,
190.31,4.41E+02,,,
190.35,2.21E+03,,,
190.4,1.47E+04,,,
190.44,6.08E+04,,,
190.49,3.17E+05,,,
190.54,1.45E+06,,,
190.58,4.41E+06,,,
190.63,1.58E+07,,,
190.67,3.96E+07,,,
190.72,1.11E+08,,,
190.77,2.73E+08,,,
190.81,5.07E+08,,,
190.86,9.77E+08,,,
190.9,1.50E+09,,,
190.95,2.27E+09,,,
191,3.00E+09,,,
191.04,3.40E+09,,,
191.09,3.54E+09,,,
191.13,3.31E+09,,,
191.18,2.71E+09,,,
191.23,1.93E+09,,,
191.27,1.34E+09,,,
191.32,7.52E+08,,,
191.37,3.69E+08,,,
191.41,1.90E+08,,,
191.46,7.31E+07,,,
191.5,3.10E+07,,,
191.55,9.37E+06,,,
191.6,2.48E+06,,,
191.64,7.77E+05,,,
191.69,1.61E+05,,,
191.73,4.16E+04,,,
191.78,6.77E+03,,,
191.83,9.63E+02,,,
191.87,1.84E+02,,,
191.92,2.05E+01,,,
191.96,3.21E+00,,,
192.01,2.81E-01,,,
192.06,2.14E-02,,,
192.1,2.48E-03,,,
192.15,1.48E-04,,,
192.19,1.41E-05,,,
192.24,6.10E-07,,,
193.67,9.27E-11,,,
193.71,1.07E-09,,,
193.76,2.02E-08,,,
193.81,3.33E-07,,,
193.85,2.86E-06,,,
193.9,3.73E-05,,,
193.94,2.64E-04,,,
193.99,2.72E-03,,,
194.04,2.45E-02,,,
194.08,1.30E-01,,,
194.13,9.22E-01,,,
194.18,5.75E+00,,,
194.22,2.26E+01,,,
194.27,1.11E+02,,,
194.31,3.62E+02,,,
194.36,1.41E+03,,,
194.41,4.79E+03,,,
194.45,1.16E+04,,,
194.5,3.11E+04,,,
194.54,6.24E+04,,,
194.59,1.32E+05,,,
194.64,2.46E+05,,,
194.68,3.66E+05,,,
194.73,5.37E+05,,,
194.77,6.63E+05,,,
194.82,7.66E+05,,,
194.87,7.76E+05,,,
194.91,7.14E+05,,,
194.96,5.70E+05,,,
195,4.34E+05,,,
195.05,2.74E+05,,,
195.1,1.51E+05,,,
195.14,8.56E+04,,,
195.19,3.74E+04,,,
195.23,1.75E+04,,,
195.28,6.02E+03,,,
195.33,1.82E+03,,,
195.37,6.33E+02,,,
195.42,1.51E+02,,,
195.47,3.14E+01,,,
195.51,8.16E+00,,,
195.56,1.34E+00,,,
195.6,2.89E-01,,,
195.65,3.75E-02,,,
195.7,4.27E-03,,,
195.74,6.82E-04,,,
195.79,6.13E-05,,,
195.83,8.11E-06,,,
195.88,5.74E-07,,,
195.93,3.57E-08,,,
195.97,3.51E-09,,,
196.02,1.72E-10,,,
199.52,9.40E-13,,,
199.57,2.03E-11,,,
199.61,2.00E-10,,,
199.66,3.11E-09,,,
199.7,2.56E-08,,,
199.75,3.20E-07,,,
199.8,3.53E-06,,,
199.84,2.20E-05,,,
199.89,1.95E-04,,,
199.93,1.02E-03,,,
199.98,7.18E-03,,,
200.03,4.48E-02,,,
200.07,1.77E-01,,,
200.12,8.86E-01,,,
200.16,2.93E+00,,,
200.21,1.17E+01,,,
200.26,4.14E+01,,,
200.3,1.04E+02,,,
200.35,2.94E+02,,,
200.39,6.18E+02,,,
200.44,1.40E+03,,,
200.49,2.80E+03,,,
200.53,4.46E+03,,,
200.58,7.15E+03,,,
200.62,9.58E+03,,,
200.67,1.24E+04,,,
200.72,1.44E+04,,,
200.76,1.52E+04,,,
200.81,1.53E+04,,,
200.86,1.50E+04,,,
200.9,1.51E+04,,,
200.95,1.58E+04,,,
200.99,1.66E+04,,,
201.04,1.74E+04,,,
201.09,1.71E+04,,,
201.13,1.58E+04,,,
201.18,1.29E+04,,,
201.22,1.01E+04,,,
201.27,6.73E+03,,,
201.32,3.95E+03,,,
201.36,2.36E+03,,,
201.41,1.11E+03,,,
201.45,5.55E+02,,,
201.5,2.09E+02,,,
201.55,6.95E+01,,,
201.59,2.64E+01,,,
201.64,7.02E+00,,,
201.68,2.23E+00,,,
201.73,4.75E-01,,,
201.78,8.94E-02,,,
201.82,2.15E-02,,,
201.87,3.24E-03,,,
201.91,6.53E-04,,,
201.96,7.88E-05,,,
202.01,8.41E-06,,,
202.05,1.28E-06,,,
202.1,1.10E-07,,,
202.14,1.40E-08,,,
202.19,9.56E-10,,,
202.24,5.77E-11,,,
208.46,3.29E-12,,,
208.5,3.20E-11,,,
208.55,4.95E-10,,,
208.59,4.08E-09,,,
208.64,5.15E-08,,,
208.69,5.80E-07,,,
208.73,3.71E-06,,,
208.78,3.40E-05,,,
208.82,1.85E-04,,,
208.87,1.38E-03,,,
208.92,9.22E-03,,,
208.96,3.88E-02,,,
209.01,2.11E-01,,,
209.06,1.02E+00,,,
209.1,3.34E+00,,,
209.15,1.32E+01,,,
209.19,3.66E+01,,,
209.24,1.18E+02,,,
209.29,3.40E+02,,,
209.33,7.30E+02,,,
209.38,1.71E+03,,,
209.42,3.13E+03,,,
209.47,5.99E+03,,,
209.52,1.03E+04,,,
209.56,1.46E+04,,,
209.61,2.05E+04,,,
209.65,2.51E+04,,,
209.7,2.94E+04,,,
209.75,3.16E+04,,,
209.79,3.17E+04,,,
209.84,3.02E+04,,,
209.88,2.82E+04,,,
209.93,2.52E+04,,,
209.98,2.20E+04,,,
210.02,1.93E+04,,,
210.07,1.58E+04,,,
210.11,1.32E+04,,,
210.16,1.04E+04,,,
210.21,8.78E+03,,,
210.25,8.40E+03,,,
210.3,8.98E+03,,,
210.34,1.00E+04,,,
210.39,1.15E+04,,,
210.44,1.25E+04,,,
210.48,1.27E+04,,,
210.53,1.19E+04,,,
210.58,1.01E+04,,,
210.62,8.28E+03,,,
210.67,5.86E+03,,,
210.71,4.11E+03,,,
210.76,2.40E+03,,,
210.81,1.26E+03,,,
210.85,6.94E+02,,,
210.9,2.98E+02,,,
210.94,1.40E+02,,,
210.99,4.94E+01,,,
211.04,1.56E+01,,,
211.08,5.70E+00,,,
211.13,1.47E+00,,,
211.17,4.57E-01,,,
211.22,9.63E-02,,,
211.27,1.81E-02,,,
211.31,4.39E-03,,,
211.36,6.75E-04,,,
211.4,1.39E-04,,,
211.45,1.75E-05,,,
211.5,1.96E-06,,,
211.54,3.14E-07,,,
211.59,2.88E-08,,,
211.63,3.93E-09,,,
211.68,2.94E-10,,,
211.73,1.97E-11,,,
211.77,1.73E-12,,,
218.59,2.27E-12,,,
218.64,3.38E-11,,,
218.68,2.71E-10,,,
218.73,3.35E-09,,,
218.78,3.72E-08,,,
218.82,2.37E-07,,,
218.87,2.19E-06,,,
218.91,1.20E-05,,,
218.96,9.22E-05,,,
219.01,6.37E-04,,,
219.05,2.78E-03,,,
219.1,1.59E-02,,,
219.14,5.99E-02,,,
219.19,2.85E-01,,,
219.24,1.23E+00,,,
219.28,3.65E+00,,,
219.33,1.30E+01,,,
219.37,3.34E+01,,,
219.42,9.89E+01,,,
219.47,2.64E+02,,,
219.51,5.38E+02,,,
219.56,1.19E+03,,,
219.6,2.09E+03,,,
219.65,3.85E+03,,,
219.7,6.39E+03,,,
219.74,8.90E+03,,,
219.79,1.23E+04,,,
219.83,1.47E+04,,,
219.88,1.68E+04,,,
219.93,1.74E+04,,,
219.97,1.65E+04,,,
220.02,1.41E+04,,,
220.07,1.09E+04,,,
220.11,8.24E+03,,,
220.16,5.28E+03,,,
220.2,3.44E+03,,,
220.25,1.83E+03,,,
220.3,8.78E+02,,,
220.34,4.53E+02,,,
220.39,1.81E+02,,,
220.43,8.03E+01,,,
220.48,2.66E+01,,,
220.53,7.92E+00,,,
220.57,2.80E+00,,,
220.62,6.92E-01,,,
220.66,2.10E-01,,,
220.71,4.33E-02,,,
220.76,8.02E-03,,,
220.8,1.93E-03,,,
220.85,2.98E-04,,,
220.89,6.19E-05,,,
220.94,7.91E-06,,,
220.99,9.11E-07,,,
221.03,1.50E-07,,,
221.08,1.44E-08,,,
221.12,2.04E-09,,,
221.17,1.62E-10,,,
221.22,1.16E-11,,,
222.41,1.04E-12,,,
222.46,1.53E-11,,,
222.51,2.03E-10,,,
222.55,1.50E-09,,,
222.6,1.66E-08,,,
222.65,1.67E-07,,,
222.69,9.82E-07,,,
222.74,8.24E-06,,,
222.78,4.20E-05,,,
222.83,2.95E-04,,,
222.88,1.87E-03,,,
222.92,7.62E-03,,,
222.97,4.04E-02,,,
223.01,1.43E-01,,,
223.06,6.31E-01,,,
223.11,2.53E+00,,,
223.15,7.15E+00,,,
223.2,2.39E+01,,,
223.24,5.85E+01,,,
223.29,1.64E+02,,,
223.34,4.14E+02,,,
223.38,8.10E+02,,,
223.43,1.71E+03,,,
223.47,2.90E+03,,,
223.52,5.13E+03,,,
223.57,8.20E+03,,,
223.61,1.11E+04,,,
223.66,1.48E+04,,,
223.7,1.74E+04,,,
223.75,1.94E+04,,,
223.8,1.96E+04,,,
223.84,1.84E+04,,,
223.89,1.55E+04,,,
223.93,1.26E+04,,,
223.98,8.90E+03,,,
224.03,5.68E+03,,,
224.07,3.69E+03,,,
224.12,1.97E+03,,,
224.17,9.49E+02,,,
224.21,4.93E+02,,,
224.26,1.99E+02,,,
224.3,8.94E+01,,,
224.35,3.01E+01,,,
224.4,9.17E+00,,,
224.44,3.30E+00,,,
224.49,8.40E-01,,,
224.53,2.62E-01,,,
224.58,5.57E-02,,,
224.63,1.07E-02,,,
224.67,2.67E-03,,,
224.72,4.30E-04,,,
224.76,9.27E-05,,,
224.81,1.25E-05,,,
224.86,1.52E-06,,,
224.9,2.61E-07,,,
224.95,2.66E-08,,,
224.99,3.97E-09,,,
225.04,2.84E-09,,,
225.09,3.39E-08,,,
225.13,2.54E-07,,,
225.18,2.88E-06,,,
225.22,1.87E-05,,,
225.27,1.78E-04,,,
225.32,1.54E-03,,,
225.36,8.05E-03,,,
225.41,5.83E-02,,,
225.46,3.83E-01,,,
225.5,1.61E+00,,,
225.55,8.87E+00,,,
225.59,3.24E+01,,,
225.64,1.50E+02,,,
225.69,6.29E+02,,,
225.73,1.85E+03,,,
225.78,6.50E+03,,,
225.82,1.66E+04,,,
225.87,4.89E+04,,,
225.92,1.31E+05,,,
225.96,2.69E+05,,,
226.01,6.04E+05,,,
226.05,1.08E+06,,,
226.1,2.03E+06,,,
226.15,3.47E+06,,,
226.19,4.97E+06,,,
226.24,7.12E+06,,,
226.28,8.86E+06,,,
226.33,1.07E+07,,,
226.38,1.17E+07,,,
226.42,1.17E+07,,,
226.47,1.07E+07,,,
226.51,9.27E+06,,,
226.56,7.12E+06,,,
226.61,4.97E+06,,,
226.65,3.47E+06,,,
226.7,2.03E+06,,,
226.75,1.08E+06,,,
226.79,6.04E+05,,,
226.84,2.69E+05,,,
226.88,1.31E+05,,,
226.93,5.02E+04,,,
226.98,2.14E+04,,,
227.02,2.01E+04,,,
227.07,4.74E+04,,,
227.11,1.12E+05,,,
227.16,3.13E+05,,,
227.21,7.98E+05,,,
227.25,1.58E+06,,,
227.3,3.38E+06,,,
227.34,5.80E+06,,,
227.39,1.05E+07,,,
227.44,1.72E+07,,,
227.48,2.38E+07,,,
227.53,3.31E+07,,,
227.57,4.04E+07,,,
227.62,4.80E+07,,,
227.67,5.31E+07,,,
227.71,5.52E+07,,,
227.76,5.59E+07,,,
227.8,5.59E+07,,,
227.85,5.57E+07,,,
227.9,5.57E+07,,,
227.94,5.53E+07,,,
227.99,5.33E+07,,,
228.03,4.99E+07,,,
228.08,4.33E+07,,,
228.13,3.47E+07,,,
228.17,2.73E+07,,,
228.22,1.86E+07,,,
228.27,1.16E+07,,,
228.31,7.39E+06,,,
228.36,3.88E+06,,,
228.4,2.16E+06,,,
228.45,9.53E+05,,,
228.5,3.82E+05,,,
228.54,1.72E+05,,,
228.59,5.79E+04,,,
228.63,2.26E+04,,,
228.68,6.42E+03,,,
228.73,1.65E+03,,,
228.77,5.22E+02,,,
228.82,1.13E+02,,,
228.86,3.10E+01,,,
228.91,5.66E+00,,,
228.96,9.87E-01,,,
229,4.45E-01,,,
229.05,1.51E+00,,,
229.09,5.94E+00,,,
229.14,3.10E+01,,,
229.19,1.48E+02,,,
229.23,4.80E+02,,,
229.28,1.93E+03,,,
229.32,5.48E+03,,,
229.37,1.85E+04,,,
229.42,5.71E+04,,,
229.46,1.31E+05,,,
229.51,3.41E+05,,,
229.56,8.07E+05,,,
229.6,1.50E+06,,,
229.65,3.01E+06,,,
229.69,4.90E+06,,,
229.74,8.30E+06,,,
229.79,1.29E+07,,,
229.83,1.72E+07,,,
229.88,2.28E+07,,,
229.92,2.72E+07,,,
229.97,3.19E+07,,,
230.02,3.55E+07,,,
230.06,3.76E+07,,,
230.11,3.95E+07,,,
230.15,4.06E+07,,,
230.2,4.17E+07,,,
230.25,4.24E+07,,,
230.29,4.27E+07,,,
230.34,4.30E+07,,,
230.38,4.31E+07,,,
230.43,4.33E+07,,,
230.48,4.32E+07,,,
230.52,4.25E+07,,,
230.57,4.02E+07,,,
230.61,3.70E+07,,,
230.66,3.15E+07,,,
230.71,2.47E+07,,,
230.75,1.92E+07,,,
230.8,1.30E+07,,,
230.85,7.98E+06,,,
230.89,5.07E+06,,,
230.94,2.64E+06,,,
230.98,1.47E+06,,,
231.03,6.47E+05,,,
231.08,2.60E+05,,,
231.12,1.17E+05,,,
231.17,3.97E+04,,,
231.21,1.56E+04,,,
231.26,4.47E+03,,,
231.31,1.16E+03,,,
231.35,3.71E+02,,,
231.4,8.16E+01,,,
231.44,2.27E+01,,,
231.49,4.22E+00,,,
231.54,7.13E-01,,,
231.58,1.61E-01,,,
231.63,2.29E-02,,,
231.67,4.51E-03,,,
231.72,5.44E-04,,,
231.77,5.96E-05,,,
231.81,9.53E-06,,,
231.86,1.11E-06,,,
231.9,1.56E-06,,,
231.95,1.33E-05,,,
232,1.12E-04,,,
232.04,5.81E-04,,,
232.09,4.16E-03,,,
232.13,1.89E-02,,,
232.18,1.15E-01,,,
232.23,6.37E-01,,,
232.27,2.35E+00,,,
232.32,1.11E+01,,,
232.37,4.77E+01,,,
232.41,1.44E+02,,,
232.46,5.24E+02,,,
232.5,1.38E+03,,,
232.55,4.29E+03,,,
232.6,1.22E+04,,,
232.64,2.62E+04,,,
232.69,6.29E+04,,,
232.73,1.19E+05,,,
232.78,2.43E+05,,,
232.83,4.54E+05,,,
232.87,7.01E+05,,,
232.92,1.11E+06,,,
232.96,1.51E+06,,,
233.01,2.06E+06,,,
233.06,2.57E+06,,,
233.1,2.90E+06,,,
233.15,3.16E+06,,,
233.19,3.22E+06,,,
233.24,3.14E+06,,,
233.29,2.93E+06,,,
233.33,2.71E+06,,,
233.38,2.41E+06,,,
233.42,2.16E+06,,,
233.47,1.88E+06,,,
233.52,1.65E+06,,,
233.56,1.53E+06,,,
233.61,1.51E+06,,,
233.66,1.67E+06,,,
233.7,1.93E+06,,,
233.75,2.36E+06,,,
233.79,2.72E+06,,,
233.84,3.09E+06,,,
233.89,3.25E+06,,,
233.93,3.19E+06,,,
233.98,2.88E+06,,,
234.02,2.49E+06,,,
234.07,1.91E+06,,,
234.12,1.35E+06,,,
234.16,9.82E+05,,,
234.21,6.64E+05,,,
234.25,5.47E+05,,,
234.3,5.97E+05,,,
234.35,8.86E+05,,,
234.39,1.31E+06,,,
234.44,2.06E+06,,,
234.48,2.82E+06,,,
234.53,3.87E+06,,,
234.58,4.86E+06,,,
234.62,5.46E+06,,,
234.67,5.81E+06,,,
234.71,5.73E+06,,,
234.76,5.19E+06,,,
234.81,4.29E+06,,,
234.85,3.45E+06,,,
234.9,2.42E+06,,,
234.95,1.55E+06,,,
234.99,1.02E+06,,,
235.04,5.54E+05,,,
235.08,3.19E+05,,,
235.13,1.47E+05,,,
235.18,6.22E+04,,,
235.22,2.92E+04,,,
235.27,1.05E+04,,,
235.31,4.32E+03,,,
235.36,1.32E+03,,,
235.41,3.66E+02,,,
235.45,1.23E+02,,,
235.5,2.90E+01,,,
235.54,8.57E+00,,,
235.59,1.72E+00,,,
235.64,3.15E-01,,,
235.68,7.58E-02,,,
235.73,1.18E-02,,,
235.77,2.49E-03,,,
235.82,3.29E-04,,,
235.87,3.97E-05,,,
235.91,6.84E-06,,,
235.96,7.00E-07,,,
236,1.06E-07,,,
236.05,9.41E-09,,,
236.1,2.38E-09,,,
236.14,1.68E-08,,,
236.19,1.80E-07,,,
236.24,1.75E-06,,,
236.28,1.02E-05,,,
236.33,8.46E-05,,,
236.37,4.32E-04,,,
236.42,3.07E-03,,,
236.47,1.99E-02,,,
236.51,8.34E-02,,,
236.56,4.61E-01,,,
236.6,1.70E+00,,,
236.65,8.02E+00,,,
236.7,3.46E+01,,,
236.74,1.05E+02,,,
236.79,3.85E+02,,,
236.83,1.03E+03,,,
236.88,3.22E+03,,,
236.93,9.24E+03,,,
236.97,2.02E+04,,,
237.02,4.94E+04,,,
237.06,9.48E+04,,,
237.11,1.98E+05,,,
237.16,3.78E+05,,,
237.2,5.95E+05,,,
237.25,9.68E+05,,,
237.29,1.34E+06,,,
237.34,1.86E+06,,,
237.39,2.37E+06,,,
237.43,2.69E+06,,,
237.48,2.91E+06,,,
237.52,2.91E+06,,,
237.57,2.69E+06,,,
237.62,2.27E+06,,,
237.66,1.86E+06,,,
237.71,1.34E+06,,,
237.76,8.86E+05,,,
237.8,5.98E+05,,,
237.85,3.44E+05,,,
237.89,2.19E+05,,,
237.94,1.48E+05,,,
237.99,1.68E+05,,,
238.03,2.54E+05,,,
238.08,4.76E+05,,,
238.12,7.70E+05,,,
238.17,1.31E+06,,,
238.22,2.05E+06,,,
238.26,2.76E+06,,,
238.31,3.69E+06,,,
238.35,4.37E+06,,,
238.4,4.98E+06,,,
238.45,5.21E+06,,,
238.49,5.06E+06,,,
238.54,4.51E+06,,,
238.58,3.87E+06,,,
238.63,2.94E+06,,,
238.68,2.05E+06,,,
238.72,1.44E+06,,,
238.77,8.60E+05,,,
238.81,5.33E+05,,,
238.86,2.71E+05,,,
238.91,1.26E+05,,,
238.95,6.41E+04,,,
239,2.55E+04,,,
239.05,9.26E+03,,,
239.09,3.87E+03,,,
239.14,1.20E+03,,,
239.18,4.43E+02,,,
239.23,1.17E+02,,,
239.28,2.85E+01,,,
239.32,8.61E+00,,,
239.37,1.79E+00,,,
239.41,4.76E-01,,,
239.46,8.41E-02,,,
239.51,1.36E-02,,,
239.55,2.98E-03,,,
239.6,4.12E-04,,,
239.64,7.95E-05,,,
239.69,9.38E-06,,,
239.74,1.01E-06,,,
239.78,1.61E-07,,,
239.83,1.48E-08,,,
239.87,2.07E-09,,,
239.92,3.24E-10,,,
239.97,3.94E-09,,,
240.01,2.73E-08,,,
240.06,2.84E-07,,,
240.1,1.74E-06,,,
240.15,1.55E-05,,,
240.2,1.27E-04,,,
240.24,6.41E-04,,,
240.29,4.50E-03,,,
240.34,2.89E-02,,,
240.38,1.21E-01,,,
240.43,6.66E-01,,,
240.47,2.45E+00,,,
240.52,1.16E+01,,,
240.57,5.03E+01,,,
240.61,1.53E+02,,,
240.66,5.68E+02,,,
240.7,1.53E+03,,,
240.75,4.86E+03,,,
240.8,1.42E+04,,,
240.84,3.15E+04,,,
240.89,7.89E+04,,,
240.93,1.55E+05,,,
240.98,3.32E+05,,,
241.03,6.53E+05,,,
241.07,1.06E+06,,,
241.12,1.78E+06,,,
241.16,2.55E+06,,,
241.21,3.69E+06,,,
241.26,4.91E+06,,,
241.3,5.80E+06,,,
241.35,6.65E+06,,,
241.39,7.01E+06,,,
241.44,7.02E+06,,,
241.49,6.63E+06,,,
241.53,6.19E+06,,,
241.58,5.68E+06,,,
241.62,5.46E+06,,,
241.67,5.50E+06,,,
241.72,5.90E+06,,,
241.76,6.41E+06,,,
241.81,7.17E+06,,,
241.86,7.97E+06,,,
241.9,8.61E+06,,,
241.95,9.39E+06,,,
241.99,1.00E+07,,,
242.04,1.08E+07,,,
242.09,1.16E+07,,,
242.13,1.23E+07,,,
242.18,1.31E+07,,,
242.22,1.38E+07,,,
242.27,1.47E+07,,,
242.32,1.54E+07,,,
242.36,1.57E+07,,,
242.41,1.57E+07,,,
242.45,1.51E+07,,,
242.5,1.39E+07,,,
242.55,1.23E+07,,,
242.59,1.09E+07,,,
242.64,9.24E+06,,,
242.68,8.19E+06,,,
242.73,7.21E+06,,,
242.78,6.48E+06,,,
242.82,5.95E+06,,,
242.87,5.24E+06,,,
242.91,4.58E+06,,,
242.96,3.66E+06,,,
243.01,2.73E+06,,,
243.05,2.04E+06,,,
243.1,1.32E+06,,,
243.15,7.83E+05,,,
243.19,4.89E+05,,,
243.24,2.58E+05,,,
243.28,1.63E+05,,,
243.33,1.48E+05,,,
243.38,2.93E+05,,,
243.42,6.29E+05,,,
243.47,1.63E+06,,,
243.51,3.32E+06,,,
243.56,7.49E+06,,,
243.61,1.56E+07,,,
243.65,2.63E+07,,,
243.7,4.70E+07,,,
243.74,7.05E+07,,,
243.79,1.08E+08,,,
243.84,1.53E+08,,,
243.88,1.90E+08,,,
243.93,2.31E+08,,,
243.97,2.55E+08,,,
244.02,2.66E+08,,,
244.07,2.56E+08,,,
244.11,2.34E+08,,,
244.16,1.94E+08,,,
244.2,1.57E+08,,,
244.25,1.12E+08,,,
244.3,7.33E+07,,,
244.34,4.93E+07,,,
244.39,2.81E+07,,,
244.44,1.53E+07,,,
244.48,9.91E+06,,,
244.53,8.12E+06,,,
244.57,1.05E+07,,,
244.62,1.89E+07,,,
244.67,3.53E+07,,,
244.71,5.60E+07,,,
244.76,9.30E+07,,,
244.8,1.31E+08,,,
244.85,1.88E+08,,,
244.9,2.47E+08,,,
244.94,2.90E+08,,,
244.99,3.29E+08,,,
245.03,3.42E+08,,,
245.08,3.34E+08,,,
245.13,3.00E+08,,,
245.17,2.59E+08,,,
245.22,2.00E+08,,,
245.26,1.53E+08,,,
245.31,1.02E+08,,,
245.36,6.23E+07,,,
245.4,3.96E+07,,,
245.45,2.09E+07,,,
245.49,1.18E+07,,,
245.54,5.33E+06,,,
245.59,2.23E+06,,,
245.63,1.04E+06,,,
245.68,3.74E+05,,,
245.72,1.55E+05,,,
245.77,4.80E+04,,,
245.82,1.36E+04,,,
245.86,4.70E+03,,,
245.91,1.15E+03,,,
245.96,2.59E+02,,,
246,7.41E+01,,,
246.05,1.44E+01,,,
246.09,3.64E+00,,,
246.14,6.08E-01,,,
246.19,9.33E-02,,,
246.23,1.96E-02,,,
246.28,2.60E-03,,,
246.32,4.84E-04,,,
246.37,5.51E-05,,,
246.42,5.77E-06,,,
246.46,8.94E-07,,,
246.51,8.06E-08,,,
250.1,3.06E-09,,,
250.15,3.19E-08,,,
250.19,1.97E-07,,,
250.24,1.87E-06,,,
250.29,1.58E-05,,,
250.33,8.27E-05,,,
250.38,6.10E-04,,,
250.42,2.85E-03,,,
250.47,1.84E-02,,,
250.52,1.10E-01,,,
250.56,4.34E-01,,,
250.61,2.27E+00,,,
250.65,8.07E+00,,,
250.7,3.70E+01,,,
250.75,1.58E+02,,,
250.79,4.80E+02,,,
250.84,1.81E+03,,,
250.88,4.97E+03,,,
250.93,1.65E+04,,,
250.98,5.12E+04,,,
251.02,1.21E+05,,,
251.07,3.31E+05,,,
251.11,7.06E+05,,,
251.16,1.71E+06,,,
251.21,3.86E+06,,,
251.25,7.04E+06,,,
251.3,1.40E+07,,,
251.35,2.59E+07,,,
251.39,4.03E+07,,,
251.44,6.53E+07,,,
251.48,9.12E+07,,,
251.53,1.30E+08,,,
251.58,1.71E+08,,,
251.62,2.02E+08,,,
251.67,2.32E+08,,,
251.71,2.46E+08,,,
251.76,2.48E+08,,,
251.81,2.32E+08,,,
251.85,2.10E+08,,,
251.9,1.76E+08,,,
251.94,1.49E+08,,,
251.99,1.23E+08,,,
252.04,1.17E+08,,,
252.08,1.33E+08,,,
252.13,1.91E+08,,,
252.17,2.76E+08,,,
252.22,4.42E+08,,,
252.27,6.81E+08,,,
252.31,9.22E+08,,,
252.36,1.26E+09,,,
252.4,1.55E+09,,,
252.45,1.86E+09,,,
252.5,2.08E+09,,,
252.54,2.16E+09,,,
252.59,2.13E+09,,,
252.64,1.96E+09,,,
252.68,1.76E+09,,,
252.73,1.49E+09,,,
252.77,1.30E+09,,,
252.82,1.13E+09,,,
252.87,1.08E+09,,,
252.91,1.11E+09,,,
252.96,1.22E+09,,,
253,1.34E+09,,,
253.05,1.49E+09,,,
253.1,1.59E+09,,,
253.14,1.63E+09,,,
253.19,1.63E+09,,,
253.23,1.60E+09,,,
253.28,1.54E+09,,,
253.33,1.49E+09,,,
253.37,1.46E+09,,,
253.42,1.44E+09,,,
253.46,1.42E+09,,,
253.51,1.37E+09,,,
253.56,1.27E+09,,,
253.6,1.16E+09,,,
253.65,9.88E+08,,,
253.69,8.32E+08,,,
253.74,6.35E+08,,,
253.79,4.54E+08,,,
253.83,3.32E+08,,,
253.88,2.14E+08,,,
253.92,1.46E+08,,,
253.97,8.96E+07,,,
254.02,5.82E+07,,,
254.06,4.50E+07,,,
254.11,3.72E+07,,,
254.16,3.39E+07,,,
254.2,3.21E+07,,,
254.25,2.93E+07,,,
254.29,2.62E+07,,,
254.34,2.14E+07,,,
254.39,1.63E+07,,,
254.43,1.24E+07,,,
254.48,8.22E+06,,,
254.52,5.60E+06,,,
254.57,3.23E+06,,,
254.62,1.73E+06,,,
254.66,9.90E+05,,,
254.71,4.65E+05,,,
254.75,2.51E+05,,,
254.8,1.51E+05,,,
254.85,2.20E+05,,,
254.89,4.65E+05,,,
254.94,1.29E+06,,,
254.98,2.81E+06,,,
255.03,6.98E+06,,,
255.08,1.61E+07,,,
255.12,2.97E+07,,,
255.17,5.95E+07,,,
255.21,9.84E+07,,,
255.26,1.72E+08,,,
255.31,2.79E+08,,,
255.35,3.88E+08,,,
255.4,5.47E+08,,,
255.45,7.15E+08,,,
255.49,8.38E+08,,,
255.54,9.55E+08,,,
255.58,1.00E+09,,,
255.63,9.95E+08,,,
255.68,9.15E+08,,,
255.72,8.09E+08,,,
255.77,6.48E+08,,,
255.81,5.14E+08,,,
255.86,3.59E+08,,,
255.91,2.32E+08,,,
255.95,1.55E+08,,,
256,8.72E+07,,,
256.04,5.21E+07,,,
256.09,2.56E+07,,,
256.14,1.16E+07,,,
256.18,5.88E+06,,,
256.23,2.37E+06,,,
256.27,1.15E+06,,,
256.32,5.88E+05,,,
256.37,6.03E+05,,,
256.41,9.30E+05,,,
256.46,1.86E+06,,,
256.5,3.31E+06,,,
256.55,6.75E+06,,,
256.6,1.34E+07,,,
256.64,2.26E+07,,,
256.69,4.15E+07,,,
256.74,7.21E+07,,,
256.78,1.07E+08,,,
256.83,1.65E+08,,,
256.87,2.22E+08,,,
256.92,3.01E+08,,,
256.97,3.80E+08,,,
257.01,4.33E+08,,,
257.06,4.78E+08,,,
257.1,4.89E+08,,,
257.15,4.71E+08,,,
257.2,4.20E+08,,,
257.24,3.63E+08,,,
257.29,2.83E+08,,,
257.33,2.20E+08,,,
