Wavelength,Spectra,,
189.71,2.99E-06,,
189.75,3.57E-05,,
189.79,3.91E-04,,
189.83,3.93E-03,,
189.88,6.19E-02,,
189.92,5.10E-01,,
189.96,3.85E+00,,
190,2.66E+01,,
190.05,2.63E+02,,
190.09,1.49E+03,,
190.13,7.74E+03,,
190.17,3.68E+04,,
190.22,2.28E+05,,
190.26,8.91E+05,,
190.3,3.19E+06,,
190.34,1.04E+07,,
190.39,4.06E+07,,
190.43,1.09E+08,,
190.47,2.68E+08,,
190.51,6.04E+08,,
190.56,1.48E+09,,
190.6,2.73E+09,,
190.64,4.62E+09,,
190.68,7.17E+09,,
190.73,1.10E+10,,
190.77,1.40E+10,,
190.81,1.63E+10,,
190.85,1.74E+10,,
190.9,1.67E+10,,
190.94,1.46E+10,,
190.98,1.18E+10,,
191.02,8.64E+09,,
191.07,5.20E+09,,
191.11,3.14E+09,,
191.15,1.73E+09,,
191.19,8.78E+08,,
191.24,3.31E+08,,
191.28,1.38E+08,,
191.32,5.24E+07,,
191.36,1.83E+07,,
191.41,4.32E+06,,
191.45,1.24E+06,,
191.49,3.24E+05,,
191.53,7.76E+04,,
191.58,1.15E+04,,
191.62,2.27E+03,,
191.66,4.09E+02,,
191.7,6.76E+01,,
191.75,6.29E+00,,
191.79,8.52E-01,,
191.83,1.06E-01,,
191.87,1.20E-02,,
191.92,7.02E-04,,
191.96,6.55E-05,,
192,5.60E-06,,
236.52,8.51E-08,,
236.56,6.33E-07,,
236.6,4.45E-06,,
236.64,2.95E-05,,
236.69,2.91E-04,,
236.73,1.70E-03,,
236.77,9.40E-03,,
236.81,4.91E-02,,
236.86,3.58E-01,,
236.9,1.65E+00,,
236.94,7.15E+00,,
236.98,2.94E+01,,
237.03,1.59E+02,,
237.07,5.74E+02,,
237.11,1.96E+03,,
237.15,6.34E+03,,
237.2,2.54E+04,,
237.24,7.21E+04,,
237.28,1.94E+05,,
237.32,4.93E+05,,
237.37,1.46E+06,,
237.41,3.27E+06,,
237.45,6.91E+06,,
237.49,1.38E+07,,
237.54,3.03E+07,,
237.58,5.33E+07,,
237.62,8.86E+07,,
237.66,1.39E+08,,
237.71,2.26E+08,,
237.75,3.13E+08,,
237.79,4.10E+08,,
237.83,5.06E+08,,
237.88,6.10E+08,,
237.92,6.64E+08,,
237.96,6.83E+08,,
238,6.64E+08,,
238.05,5.92E+08,,
238.09,5.06E+08,,
238.13,4.10E+08,,
238.17,3.13E+08,,
238.22,2.07E+08,,
238.26,1.39E+08,,
238.3,8.86E+07,,
238.34,5.33E+07,,
238.39,2.61E+07,,
238.43,1.38E+07,,
238.47,6.91E+06,,
238.51,3.27E+06,,
238.56,1.18E+06,,
238.6,4.93E+05,,
238.64,1.94E+05,,
238.68,7.21E+04,,
238.73,1.94E+04,,
238.77,6.34E+03,,
238.81,1.96E+03,,
238.85,5.74E+02,,
238.9,1.14E+02,,
238.94,2.94E+01,,
238.98,7.15E+00,,
239.02,1.65E+00,,
239.07,2.42E-01,,
239.11,4.91E-02,,
239.15,9.40E-03,,
239.19,1.70E-03,,
239.24,1.85E-04,,
239.28,2.95E-05,,
239.32,4.45E-06,,
239.36,6.33E-07,,
239.41,5.11E-08,,
251.57,1.73E-08,,
251.61,1.10E-07,,
251.65,6.64E-07,,
251.69,3.82E-06,,
251.74,3.17E-05,,
251.78,1.63E-04,,
251.82,7.95E-04,,
251.86,3.69E-03,,
251.91,2.35E-02,,
251.95,9.76E-02,,
251.99,3.86E-01,,
252.03,1.45E+00,,
252.08,7.07E+00,,
252.12,2.38E+01,,
252.16,7.59E+01,,
252.2,2.31E+02,,
252.25,8.63E+02,,
252.29,2.34E+03,,
252.33,6.06E+03,,
252.37,1.49E+04,,
252.42,4.27E+04,,
252.46,9.38E+04,,
252.5,1.96E+05,,
252.54,3.90E+05,,
252.59,8.57E+05,,
252.63,1.52E+06,,
252.67,2.57E+06,,
252.71,4.14E+06,,
252.76,6.98E+06,,
252.8,1.00E+07,,
252.84,1.37E+07,,
252.88,1.78E+07,,
252.93,2.30E+07,,
252.97,2.68E+07,,
253.01,2.96E+07,,
253.05,3.11E+07,,
253.1,3.09E+07,,
253.14,2.90E+07,,
253.18,2.59E+07,,
253.22,2.20E+07,,
253.27,1.68E+07,,
253.31,1.27E+07,,
253.35,9.20E+06,,
253.39,6.32E+06,,
253.44,3.69E+06,,
253.48,2.27E+06,,
253.52,1.33E+06,,
253.56,7.37E+05,,
253.61,3.30E+05,,
253.65,1.64E+05,,
253.69,7.74E+04,,
253.73,3.48E+04,,
253.78,1.19E+04,,
253.82,4.80E+03,,
253.86,1.83E+03,,
253.9,6.67E+02,,
253.95,1.76E+02,,
253.99,5.70E+01,,
254.03,1.76E+01,,
254.07,5.18E+00,,
254.12,1.05E+00,,
254.16,2.75E-01,,
254.2,6.87E-02,,
254.24,1.63E-02,,
254.29,2.53E-03,,
254.33,5.37E-04,,
254.37,1.09E-04,,
254.41,2.09E-05,,
254.46,2.48E-06,,
254.5,4.26E-07,,
254.54,6.96E-08,,
254.58,1.08E-08,,
256.46,3.78E-08,,
256.5,2.38E-07,,
256.54,1.42E-06,,
256.58,8.13E-06,,
256.63,6.71E-05,,
256.67,3.44E-04,,
256.71,1.68E-03,,
256.75,7.82E-03,,
256.8,5.00E-02,,
256.84,2.09E-01,,
256.88,8.32E-01,,
256.92,3.16E+00,,
256.97,1.57E+01,,
257.01,5.33E+01,,
257.05,1.73E+02,,
257.09,5.36E+02,,
257.14,2.05E+03,,
257.18,5.71E+03,,
257.22,1.51E+04,,
257.26,3.81E+04,,
257.31,1.13E+05,,
257.35,2.56E+05,,
257.39,5.53E+05,,
257.43,1.14E+06,,
257.48,2.62E+06,,
257.52,4.83E+06,,
257.56,8.50E+06,,
257.6,1.43E+07,,
257.65,2.54E+07,,
257.69,3.82E+07,,
257.73,5.48E+07,,
257.77,7.49E+07,,
257.82,1.04E+08,,
257.86,1.27E+08,,
257.9,1.48E+08,,
257.94,1.65E+08,,
257.99,1.77E+08,,
258.03,1.77E+08,,
258.07,1.69E+08,,
258.11,1.53E+08,,
258.16,1.27E+08,,
258.2,1.04E+08,,
258.24,8.04E+07,,
258.28,5.96E+07,,
258.33,3.82E+07,,
258.37,2.54E+07,,
258.41,1.61E+07,,
258.45,9.72E+06,,
258.5,4.83E+06,,
258.54,2.62E+06,,
258.58,1.35E+06,,
258.62,6.65E+05,,
258.67,2.56E+05,,
258.71,1.13E+05,,
258.75,4.77E+04,,
258.79,1.91E+04,,
258.84,5.71E+03,,
258.88,2.05E+03,,
258.92,7.05E+02,,
258.96,2.31E+02,,
259.01,5.33E+01,,
259.05,1.57E+01,,
259.09,4.38E+00,,
259.13,1.17E+00,,
259.18,2.09E-01,,
259.22,5.00E-02,,
259.26,1.14E-02,,
259.3,2.48E-03,,
259.35,3.44E-04,,
259.39,6.71E-05,,
259.43,1.25E-05,,
259.47,2.21E-06,,
259.52,2.38E-07,,
259.56,3.78E-08,,
275.12,4.65E-07,,
275.16,2.61E-06,,
275.2,1.40E-05,,
275.25,1.08E-04,,
275.29,5.28E-04,,
275.33,2.48E-03,,
275.37,1.11E-02,,
275.42,6.88E-02,,
275.46,2.82E-01,,
275.5,1.11E+00,,
275.54,4.17E+00,,
275.59,2.06E+01,,
275.63,7.07E+01,,
275.67,2.32E+02,,
275.71,7.33E+02,,
275.76,2.91E+03,,
275.8,8.34E+03,,
275.84,2.30E+04,,
275.88,6.06E+04,,
275.93,1.93E+05,,
275.97,4.63E+05,,
276.01,1.07E+06,,
276.05,2.36E+06,,
276.1,6.00E+06,,
276.14,1.21E+07,,
276.18,2.33E+07,,
276.23,5.00E+07,,
276.27,8.80E+07,,
276.31,1.48E+08,,
276.35,2.40E+08,,
276.4,4.12E+08,,
276.44,6.06E+08,,
276.48,8.56E+08,,
276.52,1.16E+09,,
276.57,1.60E+09,,
276.61,1.97E+09,,
276.65,2.32E+09,,
276.69,2.63E+09,,
276.74,2.90E+09,,
276.78,3.00E+09,,
276.82,2.97E+09,,
276.86,2.81E+09,,
276.91,2.49E+09,,
276.95,2.15E+09,,
276.99,1.78E+09,,
277.03,1.41E+09,,
277.08,1.00E+09,,
277.12,7.24E+08,,
277.16,5.02E+08,,
277.2,3.34E+08,,
277.25,1.90E+08,,
277.29,1.15E+08,,
277.33,6.67E+07,,
277.37,3.72E+07,,
277.42,1.69E+07,,
277.46,8.56E+06,,
277.5,4.16E+06,,
277.54,1.94E+06,,
277.59,7.07E+05,,
277.63,3.00E+05,,
277.67,1.22E+05,,
277.71,4.78E+04,,
277.76,1.39E+04,,
277.8,4.95E+03,,
277.84,1.69E+03,,
277.88,5.52E+02,,
277.93,1.29E+02,,
277.97,3.84E+01,,
278.01,1.10E+01,,
278.05,3.00E+00,,
278.1,5.61E-01,,
278.14,1.40E-01,,
278.18,3.35E-02,,
278.22,7.68E-03,,
278.27,1.15E-03,,
278.31,2.40E-04,,
278.35,4.80E-05,,
278.39,9.23E-06,,
278.44,1.11E-06,,
290.09,2.35E-07,,
290.13,1.18E-06,,
290.17,5.74E-06,,
290.21,2.68E-05,,
290.26,1.74E-04,,
290.3,7.47E-04,,
290.34,3.09E-03,,
290.38,1.23E-02,,
290.43,6.55E-02,,
290.47,2.39E-01,,
290.51,8.42E-01,,
290.55,2.86E+00,,
290.6,1.25E+01,,
290.64,3.89E+01,,
290.68,1.17E+02,,
290.72,3.37E+02,,
290.77,1.21E+03,,
290.81,3.20E+03,,
290.85,8.19E+03,,
290.89,2.02E+04,,
290.94,5.91E+04,,
290.98,1.34E+05,,
291.02,2.92E+05,,
291.06,6.13E+05,,
291.11,1.47E+06,,
291.15,2.84E+06,,
291.19,5.27E+06,,
291.23,9.44E+06,,
291.28,1.85E+07,,
291.32,3.05E+07,,
291.36,4.83E+07,,
291.4,7.38E+07,,
291.45,1.19E+08,,
291.49,1.66E+08,,
291.53,2.25E+08,,
291.57,2.92E+08,,
291.62,3.85E+08,,
291.66,4.61E+08,,
291.7,5.30E+08,,
291.74,5.88E+08,,
291.79,6.35E+08,,
291.83,6.47E+08,,
291.87,6.35E+08,,
291.91,6.00E+08,,
291.96,5.30E+08,,
292,4.61E+08,,
292.04,3.85E+08,,
292.08,3.11E+08,,
292.13,2.25E+08,,
292.17,1.66E+08,,
292.21,1.19E+08,,
292.25,8.15E+07,,
292.3,4.83E+07,,
292.34,3.05E+07,,
292.38,1.85E+07,,
292.42,1.09E+07,,
292.47,5.27E+06,,
292.51,2.84E+06,,
