Wavelength,Spectra,,
249.87,7.49E-10,,
249.91,4.94E-09,,
249.95,3.10E-08,,
249.99,1.85E-07,,
250.04,1.60E-06,,
250.08,8.51E-06,,
250.12,4.30E-05,,
250.16,2.07E-04,,
250.21,1.37E-03,,
250.25,5.88E-03,,
250.29,2.40E-02,,
250.33,9.28E-02,,
250.38,4.70E-01,,
250.42,1.63E+00,,
250.46,5.34E+00,,
250.5,1.67E+01,,
250.55,6.46E+01,,
250.59,1.80E+02,,
250.63,4.78E+02,,
250.67,1.20E+03,,
250.72,3.56E+03,,
250.76,8.00E+03,,
250.8,1.71E+04,,
250.84,3.47E+04,,
250.89,7.85E+04,,
250.93,1.42E+05,,
250.97,2.45E+05,,
251.01,4.02E+05,,
251.06,6.94E+05,,
251.1,1.01E+06,,
251.14,1.41E+06,,
251.18,1.86E+06,,
251.23,2.46E+06,,
251.27,2.90E+06,,
251.31,3.25E+06,,
251.35,3.46E+06,,
251.4,3.49E+06,,
251.44,3.31E+06,,
251.48,2.99E+06,,
251.52,2.57E+06,,
251.57,1.98E+06,,
251.61,1.52E+06,,
251.65,1.11E+06,,
251.69,7.66E+05,,
251.74,4.51E+05,,
251.78,2.79E+05,,
251.82,1.64E+05,,
251.86,9.16E+04,,
251.91,4.16E+04,,
251.95,2.17E+04,,
251.99,1.28E+04,,
252.03,1.17E+04,,
252.08,2.17E+04,,
252.12,4.36E+04,,
252.16,8.76E+04,,
252.2,1.69E+05,,
252.25,3.59E+05,,
252.29,6.20E+05,,
252.33,1.02E+06,,
252.37,1.60E+06,,
252.42,2.62E+06,,
252.46,3.68E+06,,
252.5,4.92E+06,,
252.54,6.26E+06,,
252.59,7.92E+06,,
252.63,9.05E+06,,
252.67,9.85E+06,,
252.71,1.02E+07,,
252.76,1.00E+07,,
252.8,9.34E+06,,
252.84,8.30E+06,,
252.88,7.03E+06,,
252.93,5.35E+06,,
252.97,4.08E+06,,
253.01,2.97E+06,,
253.05,2.06E+06,,
253.1,1.22E+06,,
253.14,7.61E+05,,
253.18,4.53E+05,,
253.22,2.58E+05,,
253.27,1.19E+05,,
253.31,6.08E+04,,
253.35,2.97E+04,,
253.39,1.38E+04,,
253.44,4.96E+03,,
253.48,2.08E+03,,
253.52,8.28E+02,,
253.56,3.15E+02,,
253.61,8.80E+01,,
253.65,3.00E+01,,
253.69,9.78E+00,,
253.73,3.03E+00,,
253.78,6.56E-01,,
253.82,1.84E-01,,
253.86,5.61E-02,,
253.9,4.23E-02,,
253.95,1.55E-01,,
253.99,5.29E-01,,
254.03,1.74E+00,,
254.07,5.48E+00,,
254.12,2.14E+01,,
254.16,6.01E+01,,
254.2,1.61E+02,,
254.24,4.11E+02,,
254.29,1.24E+03,,
254.33,2.82E+03,,
254.37,6.15E+03,,
254.41,1.28E+04,,
254.46,2.98E+04,,
254.5,5.56E+04,,
254.54,9.93E+04,,
254.58,1.70E+05,,
254.63,3.14E+05,,
254.67,4.92E+05,,
254.71,7.46E+05,,
254.75,1.10E+06,,
254.8,1.73E+06,,
254.84,2.42E+06,,
254.88,3.35E+06,,
254.92,4.55E+06,,
254.97,6.52E+06,,
255.01,8.49E+06,,
255.05,1.08E+07,,
255.09,1.33E+07,,
255.14,1.63E+07,,
255.18,1.85E+07,,
255.22,2.00E+07,,
255.26,2.08E+07,,
255.31,2.04E+07,,
255.35,1.91E+07,,
255.39,1.71E+07,,
255.43,1.45E+07,,
255.48,1.11E+07,,
255.52,8.44E+06,,
255.56,6.13E+06,,
255.6,4.24E+06,,
255.65,2.49E+06,,
255.69,1.55E+06,,
255.73,9.11E+05,,
255.77,5.12E+05,,
255.82,2.32E+05,,
255.86,1.17E+05,,
255.9,5.59E+04,,
255.95,2.08E+04,,
255.99,8.90E+03,,
256.03,3.63E+03,,
256.07,1.41E+03,,
256.12,4.04E+02,,
256.16,1.41E+02,,
256.2,4.66E+01,,
256.24,1.47E+01,,
256.29,3.24E+00,,
256.33,9.15E-01,,
256.37,2.46E-01,,
256.41,6.30E-02,,
256.46,1.07E-02,,
256.5,2.45E-03,,
256.54,5.35E-04,,
256.58,1.11E-04,,
256.63,1.46E-05,,
256.67,2.71E-06,,
256.71,4.80E-07,,
256.75,8.09E-08,,
256.8,8.71E-09,,
256.84,3.43E-09,,
256.88,2.02E-08,,
256.92,1.14E-07,,
256.97,9.19E-07,,
257.01,4.64E-06,,
257.05,2.23E-05,,
257.09,1.02E-04,,
257.14,6.41E-04,,
257.18,2.64E-03,,
257.22,1.03E-02,,
257.26,3.86E-02,,
257.31,1.88E-01,,
257.35,6.30E-01,,
257.39,2.01E+00,,
257.43,6.14E+00,,
257.48,2.31E+01,,
257.52,6.33E+01,,
257.56,1.65E+02,,
257.6,4.11E+02,,
257.65,1.20E+03,,
257.69,2.68E+03,,
257.73,5.70E+03,,
257.77,1.16E+04,,
257.82,2.61E+04,,
257.86,4.76E+04,,
257.9,8.26E+04,,
257.94,1.37E+05,,
257.99,2.40E+05,,
258.03,3.56E+05,,
258.07,5.04E+05,,
258.11,6.80E+05,,
258.16,9.25E+05,,
258.2,1.12E+06,,
258.24,1.29E+06,,
258.28,1.42E+06,,
258.33,1.50E+06,,
258.37,1.48E+06,,
258.41,1.40E+06,,
258.45,1.25E+06,,
258.5,1.02E+06,,
258.54,8.25E+05,,
258.58,6.34E+05,,
258.62,4.64E+05,,
258.67,2.94E+05,,
258.71,1.93E+05,,
258.75,1.21E+05,,
258.79,7.25E+04,,
258.84,3.61E+04,,
258.88,2.06E+04,,
258.92,1.35E+04,,
258.96,1.34E+04,,
259.01,2.52E+04,,
259.05,4.95E+04,,
259.09,9.73E+04,,
259.13,1.84E+05,,
259.18,3.84E+05,,
259.22,6.54E+05,,
259.26,1.06E+06,,
259.3,1.65E+06,,
259.35,2.68E+06,,
259.39,3.73E+06,,
259.43,4.96E+06,,
259.47,6.30E+06,,
259.52,7.95E+06,,
259.56,9.08E+06,,
259.6,9.93E+06,,
259.64,1.04E+07,,
259.69,1.04E+07,,
259.73,1.00E+07,,
259.77,9.39E+06,,
259.81,8.67E+06,,
259.86,7.87E+06,,
259.9,7.42E+06,,
259.94,7.17E+06,,
259.98,7.10E+06,,
260.03,7.12E+06,,
260.07,7.11E+06,,
260.11,6.96E+06,,
260.15,6.62E+06,,
260.2,5.90E+06,,
260.24,5.14E+06,,
260.28,4.28E+06,,
260.32,3.41E+06,,
260.37,2.41E+06,,
260.41,1.73E+06,,
260.45,1.18E+06,,
260.49,7.72E+05,,
260.54,4.24E+05,,
260.58,2.49E+05,,
260.62,1.40E+05,,
260.66,7.46E+04,,
260.71,3.19E+04,,
260.75,1.53E+04,,
260.79,7.02E+03,,
260.83,3.07E+03,,
260.88,1.02E+03,,
260.92,4.01E+02,,
260.96,1.50E+02,,
261,5.37E+01,,
261.05,1.39E+01,,
261.09,4.47E+00,,
261.13,1.41E+00,,
261.17,5.67E-01,,
261.22,8.55E-01,,
261.26,2.53E+00,,
261.3,7.76E+00,,
261.34,2.29E+01,,
261.39,8.28E+01,,
261.43,2.20E+02,,
261.47,5.58E+02,,
261.51,1.35E+03,,
261.56,3.82E+03,,
261.6,8.33E+03,,
261.64,1.73E+04,,
261.68,3.44E+04,,
261.73,7.61E+04,,
261.77,1.36E+05,,
261.81,2.32E+05,,
261.85,3.79E+05,,
261.9,6.53E+05,,
