Wavelength,Spectra,,,
169.03,6.59E-11,,,
169.07,1.17E-09,,,
169.12,3.64E-08,,,
169.16,5.04E-07,,,
169.2,6.24E-06,,,
169.24,6.92E-05,,,
169.28,6.87E-04,,,
169.32,6.10E-03,,,
169.36,4.86E-02,,,
169.4,3.46E-01,,,
169.44,2.21E+00,,,
169.48,1.26E+01,,,
169.53,9.52E+01,,,
169.57,4.24E+02,,,
169.61,1.69E+03,,,
169.65,6.02E+03,,,
169.69,1.92E+04,,,
169.73,5.50E+04,,,
169.77,1.41E+05,,,
169.81,3.23E+05,,,
169.85,6.63E+05,,,
169.9,1.39E+06,,,
169.94,2.23E+06,,,
169.98,3.20E+06,,,
170.02,4.10E+06,,,
170.06,4.71E+06,,,
170.1,4.84E+06,,,
170.14,4.45E+06,,,
170.18,3.67E+06,,,
170.22,2.71E+06,,,
170.27,1.58E+06,,,
170.31,9.11E+05,,,
170.35,4.69E+05,,,
170.39,2.16E+05,,,
170.43,8.93E+04,,,
170.47,3.30E+04,,,
170.51,1.09E+04,,,
170.55,3.23E+03,,,
170.59,8.57E+02,,,
170.64,1.40E+02,,,
170.68,2.89E+01,,,
170.72,5.35E+00,,,
170.76,8.86E-01,,,
170.8,1.31E-01,,,
170.84,1.75E-02,,,
170.88,2.08E-03,,,
170.92,2.22E-04,,,
170.96,3.33E-05,,,
171.01,2.45E-04,,,
171.05,2.37E-03,,,
171.09,2.07E-02,,,
171.13,1.62E-01,,,
171.17,1.14E+00,,,
171.21,7.19E+00,,,
171.25,4.07E+01,,,
171.29,2.07E+02,,,
171.33,9.42E+02,,,
171.37,3.85E+03,,,
171.42,1.92E+04,,,
171.46,6.16E+04,,,
171.5,1.77E+05,,,
171.54,4.57E+05,,,
171.58,1.06E+06,,,
171.62,2.20E+06,,,
171.66,4.10E+06,,,
171.7,6.86E+06,,,
171.74,1.03E+07,,,
171.79,1.47E+07,,,
171.83,1.73E+07,,,
171.87,1.83E+07,,,
171.91,1.73E+07,,,
171.95,1.47E+07,,,
171.99,1.12E+07,,,
172.03,7.67E+06,,,
172.07,4.71E+06,,,
172.11,2.60E+06,,,
172.16,1.06E+06,,,
172.2,4.61E+05,,,
172.24,1.91E+05,,,
172.28,1.10E+05,,,
172.32,1.67E+05,,,
172.36,4.16E+05,,,
172.4,1.02E+06,,,
172.44,2.29E+06,,,
172.48,4.59E+06,,,
172.53,9.43E+06,,,
172.57,1.49E+07,,,
172.61,2.11E+07,,,
172.65,2.69E+07,,,
172.69,3.08E+07,,,
172.73,3.17E+07,,,
172.77,2.96E+07,,,
172.81,2.53E+07,,,
172.85,2.02E+07,,,
172.9,1.54E+07,,,
172.94,1.37E+07,,,
172.98,1.39E+07,,,
173.02,1.53E+07,,,
173.06,1.69E+07,,,
173.1,1.83E+07,,,
173.14,1.94E+07,,,
173.18,2.09E+07,,,
173.22,2.37E+07,,,
173.26,2.80E+07,,,
173.31,3.51E+07,,,
173.35,4.07E+07,,,
173.39,4.47E+07,,,
173.43,4.61E+07,,,
173.47,4.45E+07,,,
173.51,4.04E+07,,,
173.55,3.43E+07,,,
173.59,2.74E+07,,,
173.63,2.05E+07,,,
173.68,1.36E+07,,,
173.72,1.02E+07,,,
173.76,8.71E+06,,,
173.8,8.94E+06,,,
173.84,1.02E+07,,,
173.88,1.15E+07,,,
173.92,1.22E+07,,,
173.96,1.19E+07,,,
174,1.07E+07,,,
174.05,8.52E+06,,,
174.09,7.12E+06,,,
174.13,6.55E+06,,,
174.17,6.93E+06,,,
174.21,8.07E+06,,,
174.25,9.54E+06,,,
174.29,1.09E+07,,,
174.33,1.19E+07,,,
174.37,1.26E+07,,,
174.42,1.32E+07,,,
174.46,1.35E+07,,,
174.5,1.37E+07,,,
174.54,1.35E+07,,,
174.58,1.28E+07,,,
174.62,1.16E+07,,,
174.66,1.07E+07,,,
174.7,1.07E+07,,,
174.74,1.23E+07,,,
174.79,1.75E+07,,,
174.83,2.44E+07,,,
174.87,3.37E+07,,,
174.91,4.46E+07,,,
174.95,5.60E+07,,,
174.99,6.61E+07,,,
175.03,7.26E+07,,,
175.07,7.39E+07,,,
175.11,6.98E+07,,,
175.15,6.15E+07,,,
175.2,4.89E+07,,,
175.24,3.99E+07,,,
175.28,3.30E+07,,,
175.32,2.80E+07,,,
175.36,2.43E+07,,,
175.4,2.13E+07,,,
175.44,1.88E+07,,,
175.48,1.70E+07,,,
175.52,1.60E+07,,,
175.57,1.57E+07,,,
175.61,1.54E+07,,,
175.65,1.44E+07,,,
175.69,1.26E+07,,,
175.73,1.01E+07,,,
175.77,7.34E+06,,,
175.81,4.83E+06,,,
175.85,2.87E+06,,,
175.89,1.54E+06,,,
175.94,6.11E+05,,,
175.98,2.59E+05,,,
176.02,9.93E+04,,,
176.06,3.43E+04,,,
176.1,1.07E+04,,,
176.14,3.00E+03,,,
176.18,7.58E+02,,,
176.22,1.73E+02,,,
176.26,3.55E+01,,,
176.31,4.25E+00,,,
176.35,6.91E-01,,,
176.39,1.01E-01,,,
