Wavelength,Spectra,,,
170.32,2.30E-11,,,
170.36,3.61E-10,,,
170.4,5.07E-09,,,
170.45,1.18E-07,,,
170.49,1.30E-06,,,
170.53,1.28E-05,,,
170.57,1.14E-04,,,
170.62,1.49E-03,,,
170.66,1.03E-02,,,
170.7,6.39E-02,,,
170.74,3.55E-01,,,
170.79,2.61E+00,,,
170.83,1.14E+01,,,
170.87,4.43E+01,,,
170.91,1.55E+02,,,
170.96,6.38E+02,,,
171,1.75E+03,,,
171.04,4.30E+03,,,
171.08,9.47E+03,,,
171.13,2.18E+04,,,
171.17,3.76E+04,,,
171.21,5.82E+04,,,
171.25,8.07E+04,,,
171.3,1.04E+05,,,
171.34,1.13E+05,,,
171.38,1.10E+05,,,
171.42,9.60E+04,,,
171.47,6.95E+04,,,
171.51,4.74E+04,,,
171.55,2.90E+04,,,
171.59,1.60E+04,,,
171.64,6.47E+03,,,
171.68,2.78E+03,,,
171.72,1.07E+03,,,
171.76,3.70E+02,,,
171.81,8.41E+01,,,
171.85,2.28E+01,,,
171.89,5.58E+00,,,
171.93,1.60E+00,,,
171.98,3.49E+00,,,
172.02,1.63E+01,,,
172.06,7.13E+01,,,
172.1,2.80E+02,,,
172.15,1.34E+03,,,
172.19,4.13E+03,,,
172.23,1.15E+04,,,
172.27,2.85E+04,,,
172.32,7.68E+04,,,
172.36,1.50E+05,,,
172.4,2.64E+05,,,
172.44,4.17E+05,,,
172.49,6.35E+05,,,
172.53,7.87E+05,,,
172.57,8.76E+05,,,
172.61,8.76E+05,,,
172.66,7.53E+05,,,
172.7,5.91E+05,,,
172.74,4.17E+05,,,
172.78,2.64E+05,,,
172.83,1.28E+05,,,
172.87,6.39E+04,,,
172.91,2.85E+04,,,
172.95,1.15E+04,,,
173,3.14E+03,,,
173.04,9.91E+02,,,
173.08,2.80E+02,,,
173.12,7.13E+01,,,
173.17,1.11E+01,,,
173.21,2.21E+00,,,
173.25,3.96E-01,,,
173.29,6.37E-02,,,
173.34,5.59E-03,,,
173.38,7.07E-04,,,
173.42,8.03E-05,,,
173.46,8.19E-06,,,
173.51,4.06E-07,,,
173.55,3.25E-08,,,
173.59,2.34E-09,,,
173.63,1.51E-10,,,
175.8,1.40E-10,,,
175.85,3.70E-09,,,
175.89,4.53E-08,,,
175.93,5.02E-07,,,
175.97,5.02E-06,,,
176.02,7.72E-05,,,
176.06,6.13E-04,,,
176.1,4.39E-03,,,
176.14,2.84E-02,,,
176.19,2.54E-01,,,
176.23,1.31E+00,,,
176.27,6.06E+00,,,
176.31,2.54E+01,,,
176.36,1.32E+02,,,
176.4,4.38E+02,,,
176.44,1.32E+03,,,
176.48,3.57E+03,,,
176.53,1.08E+04,,,
176.57,2.32E+04,,,
176.61,4.50E+04,,,
176.65,7.90E+04,,,
176.7,1.38E+05,,,
176.74,1.93E+05,,,
176.78,2.43E+05,,,
176.82,2.76E+05,,,
176.87,2.80E+05,,,
176.91,2.53E+05,,,
176.95,2.06E+05,,,
176.99,1.52E+05,,,
177.04,8.95E+04,,,
177.08,5.23E+04,,,
177.12,2.76E+04,,,
177.16,1.32E+04,,,
177.21,4.51E+03,,,
177.25,1.70E+03,,,
177.29,5.82E+02,,,
177.33,1.80E+02,,,
177.38,3.57E+01,,,
177.42,8.75E+00,,,
177.46,1.93E+00,,,
177.5,3.86E-01,,,
177.55,4.46E-02,,,
177.59,7.07E-03,,,
177.63,1.01E-03,,,
177.67,1.31E-04,,,
177.72,8.78E-06,,,
177.76,9.01E-07,,,
177.8,8.35E-08,,,
177.84,6.99E-09,,,
177.89,2.72E-10,,,
177.93,1.81E-11,,,
178.35,8.05E-11,,,
178.4,2.07E-09,,,
178.44,2.48E-08,,,
178.48,2.70E-07,,,
178.52,2.65E-06,,,
178.57,4.02E-05,,,
178.61,3.16E-04,,,
178.65,2.25E-03,,,
178.69,1.45E-02,,,
178.74,1.30E-01,,,
178.78,6.69E-01,,,
178.82,3.12E+00,,,
178.86,1.32E+01,,,
178.91,6.95E+01,,,
178.95,2.35E+02,,,
178.99,7.19E+02,,,
179.03,1.99E+03,,,
179.08,6.19E+03,,,
179.12,1.37E+04,,,
179.16,2.75E+04,,,
179.2,4.99E+04,,,
179.25,9.15E+04,,,
179.29,1.33E+05,,,
179.33,1.75E+05,,,
179.37,2.08E+05,,,
179.42,2.24E+05,,,
179.46,2.14E+05,,,
179.5,1.84E+05,,,
179.54,1.44E+05,,,
179.59,9.15E+04,,,
179.63,5.70E+04,,,
179.67,3.22E+04,,,
179.71,1.65E+04,,,
179.76,6.19E+03,,,
179.8,2.53E+03,,,
179.84,9.36E+02,,,
179.88,3.14E+02,,,
179.93,6.95E+01,,,
179.97,1.86E+01,,,
180.01,4.52E+00,,,
180.05,9.92E-01,,,
180.1,1.30E-01,,,
180.14,2.28E-02,,,
180.18,3.62E-03,,,
180.22,5.21E-04,,,
180.27,4.02E-05,,,
180.31,4.63E-06,,,
180.35,4.82E-07,,,
180.39,4.55E-08,,,
180.44,2.07E-09,,,
180.48,1.56E-10,,,
180.52,1.07E-11,,,
183.97,8.50E-11,,,
184.01,1.08E-09,,,
184.05,1.26E-08,,,
184.09,1.33E-07,,,
184.14,2.23E-06,,,
184.18,1.91E-05,,,
184.22,1.49E-04,,,
184.26,1.06E-03,,,
184.31,1.08E-02,,,
184.35,6.23E-02,,,
184.39,3.27E-01,,,
184.43,1.56E+00,,,
184.48,9.70E+00,,,
184.52,3.76E+01,,,
184.56,1.33E+02,,,
184.6,4.26E+02,,,
184.65,1.61E+03,,,
184.69,4.19E+03,,,
184.73,9.95E+03,,,
184.77,2.15E+04,,,
184.82,4.94E+04,,,
184.86,8.66E+04,,,
184.9,1.38E+05,,,
184.94,2.01E+05,,,
184.99,2.81E+05,,,
185.03,3.31E+05,,,
185.07,3.55E+05,,,
185.11,3.46E+05,,,
185.16,2.95E+05,,,
185.2,2.34E+05,,,
185.24,1.68E+05,,,
185.28,1.11E+05,,,
185.33,5.73E+04,,,
185.37,3.05E+04,,,
185.41,1.48E+04,,,
185.45,6.53E+03,,,
185.5,2.06E+03,,,
185.54,7.38E+02,,,
185.58,2.41E+02,,,
185.62,7.14E+01,,,
185.67,1.37E+01,,,
185.71,3.30E+00,,,
185.75,7.24E-01,,,
185.79,1.44E-01,,,
185.84,1.69E-02,,,
185.88,2.73E-03,,,
185.92,4.03E-04,,,
185.96,5.40E-05,,,
186.01,3.85E-06,,,
186.05,4.18E-07,,,
186.09,4.15E-08,,,
186.13,3.74E-09,,,
186.18,1.62E-10,,,
194.85,1.52E-11,,,
194.89,1.74E-10,,,
194.93,1.83E-09,,,
194.98,3.07E-08,,,
195.02,2.68E-07,,,
195.06,2.15E-06,,,
195.1,1.58E-05,,,
195.15,1.71E-04,,,
195.19,1.05E-03,,,
195.23,5.89E-03,,,
195.27,3.05E-02,,,
195.32,2.12E-01,,,
195.36,9.09E-01,,,
195.4,3.59E+00,,,
195.45,1.78E+01,,,
195.49,5.83E+01,,,
195.53,1.76E+02,,,
195.57,4.87E+02,,,
195.62,1.55E+03,,,
195.66,3.57E+03,,,
195.7,7.54E+03,,,
195.74,1.47E+04,,,
195.79,3.00E+04,,,
195.83,4.85E+04,,,
195.87,7.20E+04,,,
195.91,9.84E+04,,,
195.96,1.29E+05,,,
196,1.47E+05,,,
196.04,1.53E+05,,,
196.08,1.47E+05,,,
196.13,1.24E+05,,,
196.17,9.84E+04,,,
196.21,7.20E+04,,,
196.25,4.85E+04,,,
196.3,2.63E+04,,,
196.34,1.47E+04,,,
196.38,7.54E+03,,,
196.42,3.57E+03,,,
196.47,1.24E+03,,,
196.51,4.87E+02,,,
196.55,1.76E+02,,,
196.59,5.83E+01,,,
196.64,1.31E+01,,,
196.68,3.59E+00,,,
