Wavelength,Spectra,,
394.38,1.82E-10,,
394.42,6.02E-10,,
394.46,1.95E-09,,
394.5,6.17E-09,,
394.55,2.54E-08,,
394.59,7.68E-08,,
394.63,2.28E-07,,
394.67,6.63E-07,,
394.72,2.45E-06,,
394.76,6.79E-06,,
394.8,1.85E-05,,
394.84,4.93E-05,,
394.89,1.63E-04,,
394.93,4.16E-04,,
394.97,1.04E-03,,
395.01,2.54E-03,,
395.06,7.55E-03,,
395.1,1.76E-02,,
395.14,4.04E-02,,
395.18,9.06E-02,,
395.23,2.42E-01,,
395.27,5.18E-01,,
395.31,1.09E+00,,
395.35,2.24E+00,,
395.4,5.37E+00,,
395.44,1.06E+01,,
395.48,2.03E+01,,
395.52,3.83E+01,,
395.57,8.24E+01,,
395.61,1.49E+02,,
395.65,2.63E+02,,
395.69,4.55E+02,,
395.74,8.78E+02,,
395.78,1.45E+03,,
395.82,2.35E+03,,
395.86,3.74E+03,,
395.91,6.47E+03,,
395.95,9.82E+03,,
395.99,1.46E+04,,
396.03,2.13E+04,,
396.08,3.31E+04,,
396.12,4.60E+04,,
396.16,6.27E+04,,
396.2,8.38E+04,,
396.25,1.17E+05,,
396.29,1.49E+05,,
396.33,1.87E+05,,
396.37,2.29E+05,,
396.42,2.87E+05,,
396.46,3.36E+05,,
396.5,3.85E+05,,
396.54,4.33E+05,,
396.59,4.87E+05,,
396.63,5.22E+05,,
396.67,5.50E+05,,
396.71,5.67E+05,,
396.76,5.72E+05,,
396.8,5.63E+05,,
396.84,5.44E+05,,
396.88,5.14E+05,,
396.93,4.66E+05,,
396.97,4.21E+05,,
397.01,3.73E+05,,
397.05,3.23E+05,,
397.1,2.63E+05,,
397.14,2.18E+05,,
397.18,1.77E+05,,
397.22,1.41E+05,,
397.27,1.03E+05,,
397.31,7.81E+04,,
397.35,5.81E+04,,
397.4,3.91E+04,,
397.44,2.78E+04,,
397.48,1.94E+04,,
397.52,1.32E+04,,
397.57,7.99E+03,,
397.61,5.21E+03,,
397.65,3.33E+03,,
397.69,2.09E+03,,
397.74,1.13E+03,,
397.78,6.77E+02,,
397.82,3.97E+02,,
397.86,2.28E+02,,
397.91,1.11E+02,,
397.95,6.09E+01,,
397.99,3.28E+01,,
398.03,1.73E+01,,
398.08,7.54E+00,,
398.12,3.80E+00,,
398.16,1.87E+00,,
398.2,9.06E-01,,
398.25,3.55E-01,,
398.29,1.64E-01,,
398.33,7.42E-02,,
398.37,3.29E-02,,
398.42,1.16E-02,,
398.46,4.90E-03,,
398.5,2.03E-03,,
398.54,8.28E-04,,
398.59,2.61E-04,,
398.63,1.02E-04,,
398.67,3.87E-05,,
398.71,1.44E-05,,
398.76,4.09E-06,,
398.8,1.46E-06,,
398.84,5.09E-07,,
398.88,1.74E-07,,
398.93,4.43E-08,,
398.97,1.45E-08,,
399.01,4.64E-09,,
399.05,1.46E-09,,
399.1,3.32E-10,,
399.14,9.96E-11,,
430.43,2.46E-11,,
430.47,7.46E-11,,
430.51,2.22E-10,,
430.56,8.50E-10,,
430.6,2.44E-09,,
430.64,6.87E-09,,
430.68,1.91E-08,,
430.73,6.65E-08,,
430.77,1.78E-07,,
430.81,4.65E-07,,
430.85,1.20E-06,,
430.9,3.83E-06,,
430.94,9.49E-06,,
430.98,2.32E-05,,
431.02,5.55E-05,,
431.07,1.62E-04,,
431.11,3.73E-04,,
431.15,8.46E-04,,
431.2,2.30E-03,,
431.24,5.02E-03,,
431.28,1.08E-02,,
431.32,2.27E-02,,
431.37,5.64E-02,,
431.41,1.15E-01,,
431.45,2.29E-01,,
431.49,4.49E-01,,
431.54,1.02E+00,,
431.58,1.92E+00,,
431.62,3.57E+00,,
431.66,6.51E+00,,
431.71,1.35E+01,,
431.75,2.37E+01,,
431.79,4.08E+01,,
431.83,6.93E+01,,
431.88,1.31E+02,,
431.92,2.14E+02,,
431.96,3.44E+02,,
432,5.43E+02,,
432.05,9.37E+02,,
432.09,1.42E+03,,
432.13,2.13E+03,,
432.17,3.12E+03,,
432.22,4.92E+03,,
432.26,6.96E+03,,
432.3,9.66E+03,,
432.34,1.32E+04,,
432.39,1.90E+04,,
432.43,2.50E+04,,
432.47,3.23E+04,,
432.51,4.10E+04,,
432.56,5.39E+04,,
432.6,6.59E+04,,
432.64,7.91E+04,,
432.68,9.35E+04,,
432.73,1.12E+05,,
432.77,1.28E+05,,
432.81,1.43E+05,,
432.85,1.57E+05,,
432.9,1.72E+05,,
432.94,1.82E+05,,
432.98,1.89E+05,,
433.02,1.93E+05,,
433.07,1.94E+05,,
433.11,1.90E+05,,
433.15,1.84E+05,,
433.19,1.75E+05,,
433.24,1.60E+05,,
433.28,1.46E+05,,
433.32,1.32E+05,,
433.36,1.16E+05,,
433.41,9.72E+04,,
433.45,8.26E+04,,
433.49,6.91E+04,,
433.53,5.68E+04,,
433.58,4.34E+04,,
433.62,3.43E+04,,
433.66,2.67E+04,,
433.7,2.04E+04,,
433.75,1.42E+04,,
433.79,1.05E+04,,
433.83,7.56E+03,,
433.87,5.38E+03,,
433.92,3.43E+03,,
433.96,2.34E+03,,
434,1.58E+03,,
434.04,1.04E+03,,
434.09,6.07E+02,,
434.13,3.86E+02,,
434.17,2.41E+02,,
434.21,1.48E+02,,
434.26,7.89E+01,,
434.3,4.67E+01,,
434.34,2.72E+01,,
434.38,1.55E+01,,
434.43,7.54E+00,,
434.47,4.15E+00,,
434.51,2.25E+00,,
434.55,1.19E+00,,
434.6,5.30E-01,,
434.64,2.71E-01,,
434.68,1.36E-01,,
434.72,6.75E-02,,
434.77,2.73E-02,,
434.81,1.30E-02,,
434.85,6.09E-03,,
434.89,2.80E-03,,
434.94,1.04E-03,,
434.98,4.59E-04,,
435.02,2.00E-04,,
435.06,8.54E-05,,
435.11,2.89E-05,,
435.15,1.19E-05,,
435.19,4.81E-06,,
435.23,1.91E-06,,
435.28,5.91E-07,,
435.32,2.26E-07,,
435.36,8.52E-08,,
435.4,3.15E-08,,
435.45,8.88E-09,,
435.49,3.16E-09,,
435.53,1.11E-09,,
435.57,3.81E-10,,
435.62,9.82E-11,,
435.66,3.25E-11,,
438.81,2.25E-11,,
438.85,6.67E-11,,
438.89,1.95E-10,,
438.93,5.59E-10,,
438.98,2.04E-09,,
439.02,5.65E-09,,
439.06,1.54E-08,,
439.1,4.12E-08,,
439.15,1.38E-07,,
439.19,3.56E-07,,
439.23,9.03E-07,,
439.27,2.26E-06,,
439.32,6.92E-06,,
439.36,1.67E-05,,
439.4,3.95E-05,,
439.44,9.19E-05,,
439.49,2.58E-04,,
439.53,5.80E-04,,
439.57,1.28E-03,,
439.61,2.78E-03,,
439.66,7.17E-03,,
439.7,1.50E-02,,
439.74,3.09E-02,,
439.78,6.26E-02,,
439.83,1.48E-01,,
439.87,2.89E-01,,
439.91,5.55E-01,,
439.95,1.05E+00,,
440,2.27E+00,,
440.04,4.13E+00,,
440.08,7.40E+00,,
440.12,1.30E+01,,
440.17,2.59E+01,,
440.21,4.39E+01,,
440.25,7.33E+01,,
440.29,1.21E+02,,
440.34,2.19E+02,,
440.38,3.47E+02,,
440.42,5.40E+02,,
440.46,8.28E+02,,
440.51,1.38E+03,,
440.55,2.04E+03,,
440.59,2.96E+03,,
440.63,4.23E+03,,
440.68,6.46E+03,,
440.72,8.90E+03,,
440.76,1.21E+04,,
440.8,1.61E+04,,
440.85,2.25E+04,,
440.89,2.89E+04,,
440.93,3.65E+04,,
440.97,4.54E+04,,
441.02,5.82E+04,,
441.06,6.97E+04,,
441.1,8.21E+04,,
441.14,9.52E+04,,
441.19,1.12E+05,,
441.23,1.25E+05,,
441.27,1.37E+05,,
441.31,1.49E+05,,
441.36,1.60E+05,,
441.4,1.67E+05,,
441.44,1.71E+05,,
441.48,1.72E+05,,
441.53,1.70E+05,,
441.57,1.65E+05,,
441.61,1.58E+05,,
441.65,1.49E+05,,
441.7,1.34E+05,,
441.74,1.22E+05,,
441.78,1.09E+05,,
441.82,9.52E+04,,
441.87,7.90E+04,,
441.91,6.67E+04,,
441.95,5.55E+04,,
441.99,4.54E+04,,
442.04,3.45E+04,,
442.08,2.72E+04,,
442.12,2.11E+04,,
442.16,1.61E+04,,
442.21,1.12E+04,,
442.25,8.23E+03,,
442.29,5.95E+03,,
442.33,4.23E+03,,
442.38,2.70E+03,,
442.42,1.85E+03,,
442.46,1.25E+03,,
442.5,8.28E+02,,
442.55,4.84E+02,,
442.59,3.10E+02,,
442.63,1.95E+02,,
442.67,1.21E+02,,
442.72,6.46E+01,,
442.76,3.85E+01,,
442.8,2.26E+01,,
442.84,1.30E+01,,
442.89,6.40E+00,,
442.93,3.56E+00,,
442.97,1.95E+00,,
443.01,1.05E+00,,
443.06,4.72E-01,,
443.1,2.45E-01,,
443.14,1.25E-01,,
443.18,6.26E-02,,
443.23,2.58E-02,,
443.27,1.25E-02,,
443.31,5.95E-03,,
443.35,2.78E-03,,
443.4,1.05E-03,,
443.44,4.75E-04,,
443.48,2.11E-04,,
443.52,9.19E-05,,
443.57,3.19E-05,,
443.61,1.34E-05,,
443.65,5.54E-06,,
443.69,2.26E-06,,
443.74,7.17E-07,,
443.78,2.81E-07,,
443.82,1.09E-07,,
443.86,4.12E-08,,
443.91,1.20E-08,,
443.95,4.39E-09,,
443.99,1.58E-09,,
444.03,5.59E-10,,
444.08,1.49E-10,,
444.12,5.09E-11,,
447.39,1.37E-10,,
447.44,5.16E-10,,
447.48,1.46E-09,,
447.52,4.09E-09,,
447.56,1.12E-08,,
447.61,3.89E-08,,
447.65,1.03E-07,,
447.69,2.69E-07,,
447.73,6.92E-07,,
447.78,2.20E-06,,
447.82,5.46E-06,,
447.86,1.33E-05,,
447.9,3.20E-05,,
447.95,9.37E-05,,
447.99,2.17E-04,,
448.03,4.96E-04,,
448.07,1.11E-03,,
448.12,3.00E-03,,
448.16,6.50E-03,,
448.2,1.39E-02,,
448.24,2.92E-02,,
448.29,7.21E-02,,
448.33,1.46E-01,,
448.37,2.92E-01,,
448.41,5.73E-01,,
448.46,1.30E+00,,
448.5,2.47E+00,,
448.54,4.61E+00,,
448.58,8.48E+00,,
448.63,1.77E+01,,
448.67,3.14E+01,,
448.71,5.48E+01,,
448.75,9.42E+01,,
448.8,1.81E+02,,
448.84,3.00E+02,,
448.88,4.90E+02,,
448.92,7.87E+02,,
448.97,1.39E+03,,
449.01,2.16E+03,,
449.05,3.29E+03,,
449.09,4.95E+03,,
449.14,8.04E+03,,
449.18,1.17E+04,,
449.22,1.66E+04,,
449.26,2.34E+04,,
449.31,3.49E+04,,
449.35,4.73E+04,,
449.39,6.32E+04,,
449.43,8.29E+04,,
449.48,1.14E+05,,
449.52,1.45E+05,,
449.56,1.80E+05,,
449.6,2.21E+05,,
449.65,2.80E+05,,
449.69,3.32E+05,,
449.73,3.87E+05,,
449.77,4.44E+05,,
449.82,5.16E+05,,
449.86,5.72E+05,,
449.9,6.24E+05,,
449.94,6.70E+05,,
449.99,7.16E+05,,
450.03,7.42E+05,,
450.07,7.57E+05,,
450.11,7.60E+05,,
450.16,7.47E+05,,
450.2,7.24E+05,,
450.24,6.90E+05,,
450.28,6.48E+05,,
450.33,5.86E+05,,
450.37,5.31E+05,,
450.41,4.73E+05,,
450.45,4.15E+05,,
450.5,3.45E+05,,
450.54,2.92E+05,,
450.58,2.44E+05,,
450.62,2.00E+05,,
450.67,1.53E+05,,
450.71,1.21E+05,,
450.75,9.45E+04,,
450.79,7.25E+04,,
450.84,5.10E+04,,
450.88,3.77E+04,,
450.92,2.75E+04,,
450.96,1.98E+04,,
451.01,1.28E+04,,
451.05,8.84E+03,,
451.09,6.03E+03,,
451.13,4.04E+03,,
451.18,2.40E+03,,
451.22,1.56E+03,,
451.26,9.92E+02,,
451.31,5.53E+02,,
451.35,3.40E+02,,
451.39,2.06E+02,,
451.43,1.23E+02,,
451.48,6.29E+01,,
451.52,3.62E+01,,
451.56,2.05E+01,,
451.6,1.14E+01,,
451.65,5.38E+00,,
451.69,2.89E+00,,
451.73,1.53E+00,,
451.77,7.99E-01,,
451.82,3.46E-01,,
451.86,1.74E-01,,
451.9,8.62E-02,,
451.94,4.20E-02,,
451.99,1.67E-02,,
452.03,7.87E-03,,
452.07,3.64E-03,,
452.11,1.66E-03,,
452.16,6.08E-04,,
452.2,2.67E-04,,
452.24,1.16E-04,,
452.28,4.93E-05,,
452.33,1.66E-05,,
452.37,6.83E-06,,
452.41,2.77E-06,,
452.45,1.10E-06,,
452.5,3.41E-07,,
452.54,1.31E-07,,
452.58,4.97E-08,,
452.62,1.85E-08,,
452.67,5.27E-09,,
452.71,1.90E-09,,
452.75,6.71E-10,,
452.79,2.34E-10,,
457.55,1.85E-10,,
457.6,6.70E-10,,
457.64,1.84E-09,,
457.68,4.99E-09,,
457.72,1.33E-08,,
457.77,4.45E-08,,
457.81,1.15E-07,,
457.85,2.92E-07,,
457.89,7.30E-07,,
457.94,2.25E-06,,
457.98,5.44E-06,,
458.02,1.30E-05,,
458.07,3.76E-05,,
458.11,8.66E-05,,
458.15,1.97E-04,,
458.19,4.39E-04,,
