Wavelength,Spectra,,
293.06,4.98E-09,,
293.1,2.52E-08,,
293.15,1.81E-07,,
293.19,8.41E-07,,
293.23,3.77E-06,,
293.27,1.63E-05,,
293.32,9.63E-05,,
293.36,3.83E-04,,
293.4,1.47E-03,,
293.44,5.42E-03,,
293.49,2.64E-02,,
293.53,8.97E-02,,
293.57,2.94E-01,,
293.61,9.29E-01,,
293.66,3.71E+00,,
293.7,1.08E+01,,
293.74,3.03E+01,,
293.78,8.18E+01,,
293.83,2.69E+02,,
293.87,6.69E+02,,
293.91,1.60E+03,,
293.95,3.71E+03,,
294,1.00E+04,,
294.04,2.13E+04,,
294.08,4.37E+04,,
294.12,8.64E+04,,
294.17,1.92E+05,,
294.21,3.49E+05,,
294.25,6.12E+05,,
294.29,1.04E+06,,
294.34,1.89E+06,,
294.38,2.94E+06,,
294.42,4.41E+06,,
294.46,6.38E+06,,
294.51,9.60E+06,,
294.55,1.28E+07,,
294.59,1.64E+07,,
294.63,2.02E+07,,
294.68,2.50E+07,,
294.72,2.85E+07,,
294.76,3.12E+07,,
294.8,3.30E+07,,
294.85,3.35E+07,,
294.89,3.26E+07,,
294.93,3.06E+07,,
294.97,2.77E+07,,
295.02,2.31E+07,,
295.06,1.92E+07,,
295.1,1.54E+07,,
295.14,1.19E+07,,
295.19,8.21E+06,,
295.23,5.84E+06,,
295.27,4.00E+06,,
295.31,2.65E+06,,
295.36,1.50E+06,,
295.4,9.11E+05,,
295.44,5.34E+05,,
295.48,3.02E+05,,
295.53,1.41E+05,,
295.57,7.31E+04,,
295.61,3.67E+04,,
295.65,1.77E+04,,
295.7,6.78E+03,,
295.74,3.02E+03,,
295.78,1.29E+03,,
295.82,5.35E+02,,
295.87,1.68E+02,,
295.91,6.40E+01,,
295.95,2.35E+01,,
295.99,8.30E+00,,
296.04,2.16E+00,,
296.08,7.22E-01,,
296.12,2.97E-01,,
296.16,3.24E-01,,
296.21,1.10E+00,,
296.25,3.31E+00,,
296.29,9.70E+00,,
296.33,2.74E+01,,
296.38,9.56E+01,,
296.42,2.49E+02,,
296.46,6.27E+02,,
296.51,1.89E+03,,
296.55,4.38E+03,,
296.59,9.79E+03,,
296.63,2.11E+04,,
296.68,5.24E+04,,
296.72,1.04E+05,,
296.76,2.00E+05,,
296.8,3.70E+05,,
296.85,7.57E+05,,
296.89,1.29E+06,,
296.93,2.12E+06,,
296.97,3.37E+06,,
297.02,5.69E+06,,
297.06,8.33E+06,,
297.1,1.17E+07,,
297.14,1.60E+07,,
297.19,2.23E+07,,
297.23,2.79E+07,,
297.27,3.38E+07,,
297.31,3.94E+07,,
297.36,4.54E+07,,
297.4,4.88E+07,,
297.44,5.06E+07,,
297.48,5.06E+07,,
297.53,4.81E+07,,
297.57,4.43E+07,,
297.61,3.94E+07,,
297.65,3.39E+07,,
297.7,2.67E+07,,
297.74,2.14E+07,,
297.78,1.67E+07,,
297.82,1.31E+07,,
297.87,1.02E+07,,
297.91,9.31E+06,,
297.95,9.89E+06,,
297.99,1.20E+07,,
298.04,1.69E+07,,
298.08,2.26E+07,,
298.12,2.98E+07,,
298.16,3.84E+07,,
298.21,5.04E+07,,
298.25,6.03E+07,,
298.29,6.96E+07,,
298.33,7.75E+07,,
298.38,8.43E+07,,
298.42,8.66E+07,,
298.46,8.58E+07,,
298.5,8.21E+07,,
298.55,7.38E+07,,
298.59,6.50E+07,,
298.63,5.53E+07,,
298.67,4.54E+07,,
298.72,3.37E+07,,
298.76,2.55E+07,,
298.8,1.87E+07,,
298.84,1.32E+07,,
298.89,8.11E+06,,
298.93,5.34E+06,,
298.97,3.46E+06,,
299.01,2.28E+06,,
299.06,1.55E+06,,
299.1,1.41E+06,,
299.14,1.58E+06,,
299.18,2.03E+06,,
299.23,2.94E+06,,
299.27,3.95E+06,,
299.31,5.20E+06,,
299.35,6.66E+06,,
299.4,8.69E+06,,
299.44,1.04E+07,,
299.48,1.21E+07,,
299.52,1.36E+07,,
299.57,1.51E+07,,
299.61,1.58E+07,,
299.65,1.61E+07,,
299.69,1.58E+07,,
299.74,1.48E+07,,
299.78,1.36E+07,,
299.82,1.21E+07,,
299.86,1.03E+07,,
299.91,8.18E+06,,
299.95,6.57E+06,,
299.99,5.15E+06,,
300.03,3.98E+06,,
300.08,2.92E+06,,
300.12,2.39E+06,,
300.16,2.12E+06,,
300.2,2.10E+06,,
300.25,2.33E+06,,
300.29,2.67E+06,,
300.33,3.10E+06,,
300.37,3.55E+06,,
300.42,4.08E+06,,
300.46,4.39E+06,,
300.5,4.58E+06,,
300.54,4.62E+06,,
300.59,4.44E+06,,
300.63,4.14E+06,,
300.67,3.72E+06,,
300.71,3.23E+06,,
300.76,2.57E+06,,
300.8,2.06E+06,,
300.84,1.59E+06,,
300.88,1.19E+06,,
300.93,7.86E+05,,
300.97,5.42E+05,,
301.01,3.60E+05,,
301.05,2.32E+05,,
301.1,1.27E+05,,
301.14,7.51E+04,,
301.18,4.30E+04,,
301.22,2.39E+04,,
301.27,1.11E+04,,
301.31,6.36E+03,,
301.35,4.62E+03,,
301.39,5.36E+03,,
301.44,1.04E+04,,
301.48,1.97E+04,,
301.52,3.71E+04,,
301.56,6.77E+04,,
301.61,1.37E+05,,
301.65,2.32E+05,,
301.69,3.79E+05,,
301.73,5.97E+05,,
301.78,1.01E+06,,
301.82,1.46E+06,,
301.86,2.06E+06,,
301.9,2.80E+06,,
301.95,3.91E+06,,
301.99,4.91E+06,,
302.03,5.95E+06,,
302.07,6.97E+06,,
302.12,8.08E+06,,
302.16,8.74E+06,,
302.2,9.13E+06,,
302.24,9.21E+06,,
302.29,8.87E+06,,
302.33,8.27E+06,,
302.37,7.44E+06,,
302.41,6.47E+06,,
302.46,5.17E+06,,
302.5,4.15E+06,,
302.54,3.22E+06,,
302.58,2.41E+06,,
302.63,1.60E+06,,
302.67,1.11E+06,,
302.71,7.40E+05,,
302.75,4.78E+05,,
302.8,2.63E+05,,
302.84,1.57E+05,,
302.88,9.04E+04,,
302.92,5.03E+04,,
302.97,2.30E+04,,
303.01,1.18E+04,,
303.05,5.86E+03,,
303.1,2.32E+03,,
303.14,1.07E+03,,
303.18,4.72E+02,,
303.22,2.02E+02,,
303.27,6.68E+01,,
303.31,2.75E+01,,
303.35,1.36E+01,,
303.39,1.34E+01,,
303.44,3.38E+01,,
303.48,8.35E+01,,
303.52,2.04E+02,,
303.56,4.83E+02,,
303.61,1.35E+03,,
303.65,2.97E+03,,
