Wavelength,Spectra,,
210.41,1.20E-05,,
210.45,1.10E-04,,
210.5,1.59E-03,,
210.54,1.24E-02,,
210.58,8.97E-02,,
210.62,6.06E-01,,
210.67,5.97E+00,,
210.71,3.44E+01,,
210.75,1.84E+02,,
210.79,9.18E+02,,
210.84,6.19E+03,,
210.88,2.63E+04,,
210.92,1.04E+05,,
210.96,3.83E+05,,
211.01,1.77E+06,,
211.05,5.54E+06,,
211.09,1.62E+07,,
211.13,4.39E+07,,
211.18,1.39E+08,,
211.22,3.21E+08,,
211.26,6.92E+08,,
211.3,1.39E+09,,
211.35,3.00E+09,,
211.39,5.12E+09,,
211.43,8.15E+09,,
211.47,1.21E+10,,
211.52,1.78E+10,,
211.56,2.25E+10,,
211.6,2.64E+10,,
211.64,2.89E+10,,
211.69,2.92E+10,,
211.73,2.72E+10,,
211.77,2.36E+10,,
211.81,1.90E+10,,
211.86,1.32E+10,,
211.9,9.05E+09,,
211.94,5.79E+09,,
211.98,3.45E+09,,
212.03,1.63E+09,,
212.07,8.32E+08,,
212.11,4.00E+08,,
212.15,1.94E+08,,
212.2,1.21E+08,,
212.24,1.66E+08,,
212.28,3.07E+08,,
212.32,5.78E+08,,
212.37,1.18E+09,,
212.41,1.94E+09,,
212.45,2.96E+09,,
212.49,4.22E+09,,
212.54,5.95E+09,,
212.58,7.23E+09,,
212.62,8.18E+09,,
212.66,8.62E+09,,
212.71,8.34E+09,,
212.75,7.50E+09,,
212.79,6.29E+09,,
212.83,4.91E+09,,
212.88,3.26E+09,,
212.92,2.17E+09,,
212.96,1.35E+09,,
213,7.78E+08,,
213.05,3.55E+08,,
213.09,1.75E+08,,
213.13,8.03E+07,,
213.17,3.44E+07,,
213.22,1.08E+07,,
213.26,3.93E+06,,
213.3,1.34E+06,,
213.34,4.23E+05,,
213.39,9.10E+04,,
213.43,2.46E+04,,
213.47,6.19E+03,,
213.51,1.45E+03,,
213.56,2.14E+02,,
213.6,4.29E+01,,
213.64,7.98E+00,,
213.68,1.39E+00,,
213.73,1.41E-01,,
213.77,2.08E-02,,
213.81,2.87E-03,,
213.85,3.69E-04,,
213.9,2.57E-05,,
213.94,2.82E-06,,
217.26,1.55E-06,,
217.3,1.34E-05,,
217.34,1.09E-04,,
217.38,8.25E-04,,
217.43,9.45E-03,,
217.47,6.17E-02,,
217.51,3.76E-01,,
217.55,2.15E+00,,
217.6,1.72E+01,,
217.64,8.46E+01,,
217.68,3.88E+02,,
217.72,1.67E+03,,
217.77,9.37E+03,,
217.81,3.46E+04,,
217.85,1.19E+05,,
217.89,3.86E+05,,
217.94,1.52E+06,,
217.98,4.22E+06,,
218.02,1.10E+07,,
218.06,2.66E+07,,
218.11,7.35E+07,,
218.15,1.54E+08,,
218.19,3.00E+08,,
218.23,5.48E+08,,
218.28,1.06E+09,,
218.32,1.67E+09,,
218.36,2.45E+09,,
218.4,3.37E+09,,
218.45,4.56E+09,,
218.49,5.39E+09,,
218.53,5.96E+09,,
218.57,6.16E+09,,
218.62,5.85E+09,,
218.66,5.20E+09,,
218.7,4.33E+09,,
218.74,3.37E+09,,
218.79,2.24E+09,,
218.83,1.50E+09,,
218.87,9.37E+08,,
218.91,5.48E+08,,
218.96,2.55E+08,,
219,1.29E+08,,
219.04,6.05E+07,,
219.08,2.66E+07,,
219.13,8.69E+06,,
219.17,3.29E+06,,
219.21,1.17E+06,,
219.25,3.86E+05,,
219.3,8.82E+04,,
219.34,2.51E+04,,
219.38,6.69E+03,,
219.42,1.67E+03,,
219.47,2.67E+02,,
219.51,5.72E+01,,
219.55,1.15E+01,,
219.59,2.15E+00,,
219.64,2.41E-01,,
219.68,3.88E-02,,
219.72,5.85E-03,,
219.76,8.25E-04,,
219.81,6.49E-05,,
219.85,7.86E-06,,
219.89,8.92E-07,,
221.12,2.97E-06,,
221.17,4.15E-05,,
221.21,3.18E-04,,
221.25,2.29E-03,,
221.29,1.54E-02,,
221.34,1.53E-01,,
221.38,8.90E-01,,
221.42,4.86E+00,,
221.46,2.49E+01,,
221.51,1.75E+02,,
221.55,7.74E+02,,
221.59,3.21E+03,,
221.63,1.25E+04,,
221.68,6.23E+04,,
221.72,2.09E+05,,
221.76,6.60E+05,,
221.8,1.95E+06,,
221.85,6.89E+06,,
221.89,1.76E+07,,
221.93,4.22E+07,,
221.97,9.46E+07,,
222.02,2.37E+08,,
222.06,4.60E+08,,
222.1,8.37E+08,,
222.14,1.43E+09,,
222.19,2.54E+09,,
222.23,3.74E+09,,
222.27,5.17E+09,,
222.32,7.07E+09,,
222.36,8.45E+09,,
222.4,9.46E+09,,
222.44,9.93E+09,,
222.49,9.64E+09,,
222.53,8.75E+09,,
222.57,7.44E+09,,
222.61,5.93E+09,,
222.66,4.08E+09,,
222.7,2.82E+09,,
222.74,1.82E+09,,
222.78,1.10E+09,,
222.83,5.38E+08,,
222.87,2.82E+08,,
222.91,1.38E+08,,
222.95,6.37E+07,,
223,2.20E+07,,
223.04,8.77E+06,,
223.08,3.27E+06,,
223.12,1.14E+06,,
223.17,2.81E+05,,
223.21,8.48E+04,,
223.25,2.40E+04,,
223.29,6.39E+03,,
223.34,1.11E+03,,
223.38,2.55E+02,,
223.42,5.50E+01,,
223.46,1.11E+01,,
223.51,1.37E+00,,
223.55,2.39E-01,,
223.59,3.91E-02,,
