Wavelength,Spectra,,
201.31,1.14E-05,,
201.35,1.23E-04,,
201.4,2.16E-03,,
201.44,1.96E-02,,
201.48,1.64E-01,,
201.52,1.27E+00,,
201.57,1.47E+01,,
201.61,9.57E+01,,
201.65,5.76E+02,,
201.69,3.20E+03,,
201.74,2.45E+04,,
201.78,1.14E+05,,
201.82,4.94E+05,,
201.86,1.97E+06,,
201.91,9.97E+06,,
201.95,3.34E+07,,
201.99,1.04E+08,,
202.03,2.97E+08,,
202.08,9.92E+08,,
202.12,2.39E+09,,
202.16,5.30E+09,,
202.21,1.29E+10,,
202.25,2.41E+10,,
202.29,4.16E+10,,
202.33,6.64E+10,,
202.38,1.07E+11,,
202.42,1.43E+11,,
202.46,1.77E+11,,
202.5,2.03E+11,,
202.55,2.16E+11,,
202.59,2.08E+11,,
202.63,1.85E+11,,
202.67,1.52E+11,,
202.72,1.07E+11,,
202.76,7.38E+10,,
202.8,4.71E+10,,
202.84,2.78E+10,,
202.89,1.29E+10,,
202.93,6.40E+09,,
202.97,2.93E+09,,
203.01,1.24E+09,,
203.06,3.81E+08,,
203.1,1.36E+08,,
203.14,4.47E+07,,
203.18,1.36E+07,,
203.23,2.75E+06,,
203.27,7.03E+05,,
203.31,1.66E+05,,
203.35,3.63E+04,,
203.4,4.86E+03,,
203.44,8.91E+02,,
203.48,1.51E+02,,
203.52,2.37E+01,,
203.57,2.10E+00,,
203.61,2.76E-01,,
203.65,3.36E-02,,
203.69,3.78E-03,,
203.74,2.21E-04,,
203.78,2.09E-05,,
204.97,3.88E-05,,
205.01,3.78E-04,,
205.05,3.42E-03,,
205.1,4.82E-02,,
205.14,3.68E-01,,
205.18,2.60E+00,,
205.22,1.71E+01,,
205.27,1.61E+02,,
205.31,8.95E+02,,
205.35,4.60E+03,,
205.39,2.19E+04,,
205.44,1.39E+05,,
205.48,5.59E+05,,
205.52,2.09E+06,,
205.56,7.22E+06,,
205.61,3.07E+07,,
205.65,8.96E+07,,
205.69,2.43E+08,,
205.73,6.11E+08,,
205.78,1.74E+09,,
205.82,3.69E+09,,
205.86,7.27E+09,,
205.9,1.33E+10,,
205.95,2.54E+10,,
205.99,3.91E+10,,
206.03,5.59E+10,,
206.07,7.41E+10,,
206.12,9.49E+10,,
206.16,1.06E+11,,
206.2,1.10E+11,,
206.24,1.07E+11,,
206.29,9.15E+10,,
206.33,7.46E+10,,
206.37,5.65E+10,,
206.41,3.97E+10,,
206.46,2.31E+10,,
206.5,1.38E+10,,
206.54,7.73E+09,,
206.58,4.05E+09,,
206.63,1.65E+09,,
206.67,7.60E+08,,
206.71,3.33E+08,,
206.75,1.40E+08,,
206.8,4.50E+07,,
206.84,1.75E+07,,
206.88,6.60E+06,,
206.92,2.39E+06,,
206.97,6.31E+05,,
207.01,2.05E+05,,
207.05,6.29E+04,,
207.09,1.81E+04,,
207.14,3.47E+03,,
207.18,8.56E+02,,
207.22,1.97E+02,,
207.26,4.20E+01,,
207.31,5.49E+00,,
207.35,9.93E-01,,
207.39,1.67E-01,,
207.43,2.60E-02,,
207.48,2.29E-03,,
207.52,3.01E-04,,
207.56,3.67E-05,,
207.6,4.16E-06,,
207.65,2.46E-07,,
208.71,8.30E-08,,
208.75,8.16E-07,,
208.8,1.28E-05,,
208.84,1.07E-04,,
208.88,8.33E-04,,
208.92,6.01E-03,,
208.97,6.43E-02,,
209.01,3.95E-01,,
209.05,2.25E+00,,
209.09,1.20E+01,,
209.14,8.69E+01,,
209.18,3.92E+02,,
209.22,1.64E+03,,
209.26,6.40E+03,,
209.31,3.17E+04,,
209.35,1.05E+05,,
209.39,3.23E+05,,
209.43,9.25E+05,,
209.48,3.11E+06,,
209.52,7.57E+06,,
209.56,1.71E+07,,
209.6,3.61E+07,,
209.65,8.25E+07,,
209.69,1.48E+08,,
209.73,2.45E+08,,
209.77,3.80E+08,,
209.82,5.92E+08,,
209.86,7.80E+08,,
209.9,9.56E+08,,
209.94,1.09E+09,,
209.99,1.17E+09,,
210.03,1.15E+09,,
210.07,1.06E+09,,
210.11,9.14E+08,,
210.16,7.05E+08,,
210.2,5.42E+08,,
210.24,4.00E+08,,
210.28,2.85E+08,,
