Wavelength,Spectra
170.11,2.34E+04
170.15,4.04E+04
170.19,6.23E+04
170.23,8.63E+04
170.28,1.11E+05
170.32,1.20E+05
170.36,1.16E+05
170.4,1.01E+05
170.45,7.21E+04
170.49,4.88E+04
170.53,2.96E+04
170.57,1.61E+04
170.62,6.41E+03
170.66,2.72E+03
170.7,1.03E+03
170.74,3.54E+02
170.79,9.23E+01
170.83,6.68E+01
170.87,1.38E+02
170.91,3.48E+02
170.96,9.82E+02
171,2.00E+03
171.04,3.64E+03
171.08,5.94E+03
171.13,9.42E+03
171.17,1.20E+04
171.21,1.38E+04
171.25,1.42E+04
171.3,1.26E+04
171.34,1.01E+04
171.38,7.29E+03
171.42,4.71E+03
171.47,2.34E+03
171.51,1.18E+03
171.55,5.37E+02
171.59,2.18E+02
171.64,6.08E+01
171.68,1.94E+01
171.72,5.91E+00
171.76,3.09E+00
171.81,8.84E+00
171.85,2.83E+01
171.89,8.30E+01
171.93,2.19E+02
171.98,6.33E+02
172.02,1.31E+03
172.06,2.44E+03
172.1,4.07E+03
172.15,6.63E+03
172.19,8.68E+03
172.23,1.02E+04
172.27,1.08E+04
172.32,9.90E+03
172.36,8.20E+03
172.4,6.10E+03
172.44,4.07E+03
172.49,2.11E+03
172.53,1.10E+03
172.57,5.19E+02
172.61,2.19E+02
172.66,6.40E+01
172.7,2.12E+01
172.74,6.30E+00
172.78,1.68E+00
172.83,2.77E-01
172.87,5.81E-02
172.91,1.09E-02
172.95,1.84E-03
173,1.71E-04
173.04,2.27E-05
173.08,2.70E-06
173.12,2.88E-07
173.17,1.51E-08
173.21,1.26E-09
173.25,9.50E-11
173.29,6.41E-12
174.36,1.78E-09
174.4,2.73E-08
174.44,3.77E-07
174.48,4.70E-06
174.53,9.49E-05
174.57,9.35E-04
174.61,8.30E-03
174.65,6.64E-02
174.7,7.72E-01
174.74,4.89E+00
174.78,2.79E+01
174.82,1.43E+02
174.87,9.60E+02
174.91,3.91E+03
174.95,1.43E+04
174.99,4.74E+04
175.04,1.82E+05
175.08,4.77E+05
175.12,1.13E+06
175.17,2.84E+06
175.21,5.30E+06
175.25,8.92E+06
175.29,1.35E+07
175.34,1.96E+07
175.38,2.36E+07
175.42,2.55E+07
175.46,2.49E+07
175.51,2.09E+07
175.55,1.63E+07
175.59,1.19E+07
175.63,8.62E+06
175.68,7.11E+06
175.72,8.13E+06
175.76,1.08E+07
175.8,1.44E+07
175.85,1.86E+07
175.89,2.05E+07
175.93,2.05E+07
175.97,1.85E+07
176.02,1.41E+07
176.06,1.01E+07
176.1,6.61E+06
176.14,4.11E+06
176.19,2.57E+06
176.23,2.56E+06
176.27,3.48E+06
176.31,5.14E+06
176.36,7.77E+06
176.4,9.76E+06
176.44,1.11E+07
176.48,1.14E+07
176.53,1.02E+07
176.57,8.29E+06
176.61,6.09E+06
176.65,4.05E+06
176.7,2.11E+06
176.74,1.16E+06
176.78,6.76E+05
176.82,6.28E+05
176.87,1.27E+06
176.91,2.61E+06
176.95,5.04E+06
176.99,8.89E+06
177.04,1.58E+07
177.08,2.25E+07
177.12,2.94E+07
177.16,3.54E+07
177.21,4.06E+07
177.25,4.26E+07
177.29,4.28E+07
177.33,4.13E+07
177.38,3.74E+07
177.42,3.27E+07
177.46,2.69E+07
177.5,2.11E+07
177.55,1.57E+07
177.59,1.54E+07
177.63,2.17E+07
177.67,3.80E+07
177.72,7.83E+07
177.76,1.29E+08
177.8,1.92E+08
177.84,2.60E+08
177.89,3.30E+08
177.93,3.56E+08
177.97,3.48E+08
178.01,3.07E+08
178.06,2.30E+08
178.1,1.65E+08
178.14,1.11E+08
178.18,7.27E+07
178.23,4.69E+07
178.27,3.82E+07
178.31,3.43E+07
178.35,3.13E+07
178.4,2.61E+07
178.44,2.06E+07
178.48,1.49E+07
178.52,1.01E+07
178.57,6.68E+06
178.61,7.64E+06
178.65,1.44E+07
178.69,3.13E+07
178.74,7.74E+07
178.78,1.44E+08
178.82,2.44E+08
178.86,3.73E+08
178.91,5.51E+08
178.95,6.75E+08
178.99,7.52E+08
179.03,7.66E+08
179.08,7.05E+08
179.12,6.28E+08
179.16,5.62E+08
179.2,5.34E+08
179.25,5.52E+08
179.29,5.87E+08
179.33,6.08E+08
179.37,5.91E+08
179.42,5.10E+08
179.46,4.13E+08
179.5,3.15E+08
179.54,2.40E+08
179.59,2.01E+08
179.63,2.17E+08
179.67,2.67E+08
179.71,3.34E+08
179.76,4.10E+08
179.8,4.45E+08
179.84,4.48E+08
179.88,4.21E+08
179.93,3.58E+08
179.97,2.97E+08
180.01,2.36E+08
180.05,1.79E+08
180.1,1.19E+08
180.14,8.26E+07
180.18,5.87E+07
180.22,4.96E+07
180.27,6.25E+07
180.31,9.39E+07
180.35,1.43E+08
180.39,2.04E+08
180.44,2.80E+08
180.48,3.25E+08
180.52,3.41E+08
180.56,3.25E+08
180.61,2.66E+08
180.65,2.03E+08
180.69,1.40E+08
180.73,8.81E+07
180.78,4.28E+07
180.82,2.15E+07
180.86,9.81E+06
180.9,4.06E+06
180.95,1.17E+06
180.99,3.88E+05
181.03,1.16E+05
181.07,3.17E+04
181.12,5.43E+03
181.16,1.19E+03
181.2,2.34E+02
181.24,4.20E+01
181.29,4.27E+00
181.33,6.15E-01
181.37,8.01E-02
181.41,9.46E-03
181.46,5.71E-04
181.5,5.41E-05
181.54,4.64E-06
181.58,3.62E-07
182.1,5.89E-09
182.14,7.38E-08
182.18,8.39E-07
182.22,8.68E-06
182.27,1.41E-04
182.31,1.18E-03
182.35,8.92E-03
182.39,6.15E-02
182.44,6.02E-01
182.48,3.35E+00
182.52,1.69E+01
182.56,7.79E+01
182.61,4.59E+02
182.65,1.70E+03
182.69,5.74E+03
182.73,1.76E+04
182.78,6.25E+04
182.82,1.55E+05
182.86,3.48E+05
182.9,7.11E+05
182.95,1.52E+06
182.99,2.51E+06
183.03,3.76E+06
183.07,5.13E+06
183.12,6.61E+06
183.16,7.27E+06
183.2,7.27E+06
183.24,6.61E+06
183.29,5.13E+06
183.33,3.76E+06
183.37,2.51E+06
183.41,1.52E+06
183.46,7.11E+05
183.5,3.48E+05
183.54,1.55E+05
183.58,6.25E+04
