wavelength,CR210LA,CR240LA,CR300LA,CR460LA,CR570CP,CR440Y,CR700Y,CR1000Y,HR660Y
180,0,0,0,0,0,0,0,0,0
180.0333333,0,0,0,0,0,0,0,0,0
180.0666667,0,0,0,0,0,0,0,0,0
180.1,0,0,0,0,0,0,0,0,0
180.1333333,0,0,0,0,0,0,0,0,0
180.1666667,0,0,0,0,0,0,0,0,0
180.2,0,0,0,0,0,0,0,0,0
180.2333333,0,0,0,0,0,0,0,0,0
180.2666667,0,0,0,0,0,0,0,0,0
180.3,0,0,0,0,0,0,0,0,0
180.3333333,0,0,0,0,0,0,0,0,0
180.3666667,0,0,0,0,0,0,0,0,0
180.4,0,0,0,0,0,0,0,0,0
180.4333333,0,0,0,0,0,0,0,0,0
180.4666667,0,0,0,0,0,0,0,0,0
180.5,0,0,0,0,0,0,0,0,0
180.5333333,0,0,0,0,0,0,0,0,0
180.5666667,0,0,0,0,0,0,0,0,0
180.6,0,0,0,0,0,0,0,0,0
180.6333333,0,0,0,0,0,0,0,0,0
180.6666667,0,0,0,0,0,0,0,0,0
180.7,0,0,0,0,0,0,0,0,0
180.7333333,0,0,0,0,0,0,0,0,0
180.7666667,0,0,0,0,0,0,0,0,0
180.8,0,0,0,0,0,0,0,0,0
180.8333333,0,0,0,0,0,0,0,0,0
180.8666667,0,0,0,0,0,0,0,0,0
180.9,0,0,0,0,0,0,0,0,0
180.9333333,0,0,0,0,0,0,0,0,0
180.9666667,0,0,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,0,0
181.0333333,0,0,0,0,0,0,0,0,0
181.0666667,0,0,0,0,0,0,0,0,0
181.1,0,0,0,0,0,0,0,0,0
181.1333333,0,0,0,0,0,0,0,0,0
181.1666667,0,0,0,0,0,0,0,0,0
181.2,0,0,0,0,0,0,0,0,0
181.2333333,0,0,0,0,0,0,0,0,0
181.2666667,0,0,0,0,0,0,0,0,0
181.3,0,0,0,0,0,0,0,0,0
181.3333333,0,0,0,0,0,0,0,0,0
181.3666667,0,0,0,0,0,0,0,0,0
181.4,0,0,0,0,0,0,0,0,0
181.4333333,0,0,0,0,0,0,0,0,0
181.4666667,0,0,0,0,0,0,0,0,0
181.5,0,0,0,0,0,0,0,0,0
181.5333333,0,0,0,0,0,0,0,0,0
181.5666667,0,0,0,0,0,0,0,0,0
181.6,0,0,0,0,0,0,0,0,0
181.6333333,0,0,0,0,0,0,0,0,0
181.6666667,0,0,0,0,0,0,0,0,0
181.7,0,0,0,0,0,0,0,0,0
181.7333333,0,0,0,0,0,0,0,0,0
181.7666667,0,0,0,0,0,0,0,0,0
181.8,0,0,0,0,0,0,0,0,0
181.8333333,0,0,0,0,0,0,0,0,0
181.8666667,0,0,0,0,0,0,0,0,0
181.9,0,0,0,0,0,0,0,0,0
181.9333333,0,0,0,0,0,0,0,0,0
181.9666667,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0
182.0333333,0,0,0,0,0,0,0,0,0
182.0666667,0,0,0,0,0,0,0,0,0
182.1,0,0,0,0,0,0,0,0,0
182.1333333,0,0,0,0,0,0,0,0,0
182.1666667,0,0,0,0,0,0,0,0,0
182.2,0,0,0,0,0,0,0,0,0
182.2333333,0,0,0,0,0,0,0,0,0
182.2666667,0,0,0,0,0,0,0,0,0
182.3,0,0,0,0,0,0,0,0,0
182.3333333,0,0,0,0,0,0,0,0,0
182.3666667,0,0,0,0,0,0,0,0,0
182.4,0,0,0,0,0,0,0,0,0
182.4333333,0,0,0,0,0,0,0,0,0
182.4666667,0,0,0,0,0,0,0,0,0
182.5,0,0,0,0,0,0,0,0,0
182.5333333,0,0,0,0,0,0,0,0,0
182.5666667,0,0,0,0,0,0,0,0,0
182.6,0,0,0,0,0,0,0,0,0
182.6333333,0,0,0,0,0,0,0,0,0
182.6666667,0,0,0,0,0,0,0,0,0
182.7,0,0,0,0,0,0,0,0,0
182.7333333,0,0,0,0,0,0,0,0,0
182.7666667,0,0,0,0,0,0,0,0,0
182.8,0,0,0,0,0,0,0,0,0
182.8333333,0,0,0,0,0,0,0,0,0
182.8666667,0,0,0,0,0,0,0,0,0
182.9,0,0,0,0,0,0,0,0,0
182.9333333,0,0,0,0,0,0,0,0,0
182.9666667,0,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0
183.0333333,0,0,0,0,0,0,0,0,0
183.0666667,0,0,0,0,0,0,0,0,0
183.1,0,0,0,0,0,0,0,0,0
183.1333333,0,0,0,0,0,0,0,0,0
183.1666667,0,0,0,0,0,0,0,0,0
183.2,0,0,0,0,0,0,0,0,0
183.2333333,0,0,0,0,0,0,0,0,0
183.2666667,0,0,0,0,0,0,0,0,0
183.3,0,0,0,0,0,0,0,0,0
183.3333333,0,0,0,0,0,0,0,0,0
183.3666667,0,0,0,0,0,0,0,0,0
183.4,0,0,0,0,0,0,0,0,0
183.4333333,0,0,0,0,0,0,0,0,0
183.4666667,0,0,0,0,0,0,0,0,0
183.5,0,0,0,0,0,0,0,0,0
183.5333333,0,0,0,0,0,0,0,0,0
183.5666667,0,0,0,0,0,0,0,0,0
