Wavelength,Intensity,,,,,,,,,,,,,,,,,,,,,,,,
  200,1.24E+07,,,,,,,,,,,,,,,,,,,,,,,,
  200.9,1.61E+07,,,,,,,,,,,,,,,,,,,,,,,,
  201.9,1.95E+07,,,,,,,,,,,,,,,,,,,,,,,,
  202.8,2.15E+07,,,,,,,,,,,,,,,,,,,,,,,,
  203.8,2.22E+07,,,,,,,,,,,,,,,,,,,,,,,,
  204.7,2.17E+07,,,,,,,,,,,,,,,,,,,,,,,,
  205.7,2.09E+07,,,,,,,,,,,,,,,,,,,,,,,,
  206.6,2.09E+07,,,,,,,,,,,,,,,,,,,,,,,,
  207.5,2.29E+07,,,,,,,,,,,,,,,,,,,,,,,,
  208.5,2.86E+07,,,,,,,,,,,,,,,,,,,,,,,,
  209.4,3.76E+07,,,,,,,,,,,,,,,,,,,,,,,,
  210.4,5.14E+07,,,,,,,,,,,,,,,,,,,,,,,,
  211.3,6.61E+07,,,,,,,,,,,,,,,,,,,,,,,,
  212.3,8.25E+07,,,,,,,,,,,,,,,,,,,,,,,,
  213.2,9.53E+07,,,,,,,,,,,,,,,,,,,,,,,,
  214.2,1.06E+08,,,,,,,,,,,,,,,,,,,,,,,,
  215.1,1.12E+08,,,,,,,,,,,,,,,,,,,,,,,,
  216,1.16E+08,,,,,,,,,,,,,,,,,,,,,,,,
  217,1.18E+08,,,,,,,,,,,,,,,,,,,,,,,,
  217.9,1.19E+08,,,,,,,,,,,,,,,,,,,,,,,,
  218.9,1.21E+08,,,,,,,,,,,,,,,,,,,,,,,,
  219.8,1.21E+08,,,,,,,,,,,,,,,,,,,,,,,,
  220.8,1.21E+08,,,,,,,,,,,,,,,,,,,,,,,,
  221.7,1.21E+08,,,,,,,,,,,,,,,,,,,,,,,,
  222.6,1.21E+08,,,,,,,,,,,,,,,,,,,,,,,,
  223.6,1.23E+08,,,,,,,,,,,,,,,,,,,,,,,,
  224.5,1.26E+08,,,,,,,,,,,,,,,,,,,,,,,,
  225.5,1.28E+08,,,,,,,,,,,,,,,,,,,,,,,,
  226.4,1.26E+08,,,,,,,,,,,,,,,,,,,,,,,,
  227.4,1.17E+08,,,,,,,,,,,,,,,,,,,,,,,,
  228.3,1.05E+08,,,,,,,,,,,,,,,,,,,,,,,,
  229.2,9.10E+07,,,,,,,,,,,,,,,,,,,,,,,,
  230.2,7.88E+07,,,,,,,,,,,,,,,,,,,,,,,,
  231.1,7.48E+07,,,,,,,,,,,,,,,,,,,,,,,,
  232.1,8.13E+07,,,,,,,,,,,,,,,,,,,,,,,,
  233,9.72E+07,,,,,,,,,,,,,,,,,,,,,,,,
  234,1.23E+08,,,,,,,,,,,,,,,,,,,,,,,,
  234.9,1.49E+08,,,,,,,,,,,,,,,,,,,,,,,,
  235.8,1.71E+08,,,,,,,,,,,,,,,,,,,,,,,,
  236.8,1.86E+08,,,,,,,,,,,,,,,,,,,,,,,,
  237.7,1.86E+08,,,,,,,,,,,,,,,,,,,,,,,,
  238.7,1.73E+08,,,,,,,,,,,,,,,,,,,,,,,,
  239.6,1.51E+08,,,,,,,,,,,,,,,,,,,,,,,,
  240.6,1.22E+08,,,,,,,,,,,,,,,,,,,,,,,,
  241.5,9.44E+07,,,,,,,,,,,,,,,,,,,,,,,,
  242.5,6.85E+07,,,,,,,,,,,,,,,,,,,,,,,,
  243.4,5.07E+07,,,,,,,,,,,,,,,,,,,,,,,,
  244.3,3.88E+07,,,,,,,,,,,,,,,,,,,,,,,,
  245.3,3.19E+07,,,,,,,,,,,,,,,,,,,,,,,,
  246.2,3.03E+07,,,,,,,,,,,,,,,,,,,,,,,,
  247.2,3.25E+07,,,,,,,,,,,,,,,,,,,,,,,,
  248.1,3.71E+07,,,,,,,,,,,,,,,,,,,,,,,,
  249.1,4.41E+07,,,,,,,,,,,,,,,,,,,,,,,,
  250,5.15E+07,,,,,,,,,,,,,,,,,,,,,,,,
  250.9,5.93E+07,,,,,,,,,,,,,,,,,,,,,,,,
  251.9,6.83E+07,,,,,,,,,,,,,,,,,,,,,,,,
  252.8,7.65E+07,,,,,,,,,,,,,,,,,,,,,,,,
  253.8,8.54E+07,,,,,,,,,,,,,,,,,,,,,,,,
  254.7,9.30E+07,,,,,,,,,,,,,,,,,,,,,,,,
  255.7,1.00E+08,,,,,,,,,,,,,,,,,,,,,,,,
  256.6,1.04E+08,,,,,,,,,,,,,,,,,,,,,,,,
  257.5,1.06E+08,,,,,,,,,,,,,,,,,,,,,,,,
  258.5,1.03E+08,,,,,,,,,,,,,,,,,,,,,,,,
  259.4,9.79E+07,,,,,,,,,,,,,,,,,,,,,,,,
  260.4,8.90E+07,,,,,,,,,,,,,,,,,,,,,,,,
  261.3,7.97E+07,,,,,,,,,,,,,,,,,,,,,,,,
  262.3,6.91E+07,,,,,,,,,,,,,,,,,,,,,,,,
  263.2,6.00E+07,,,,,,,,,,,,,,,,,,,,,,,,
  264.2,5.11E+07,,,,,,,,,,,,,,,,,,,,,,,,
  265.1,4.41E+07,,,,,,,,,,,,,,,,,,,,,,,,
  266,3.80E+07,,,,,,,,,,,,,,,,,,,,,,,,
  267,3.22E+07,,,,,,,,,,,,,,,,,,,,,,,,
  267.9,2.79E+07,,,,,,,,,,,,,,,,,,,,,,,,
  268.9,2.43E+07,,,,,,,,,,,,,,,,,,,,,,,,
  269.8,2.24E+07,,,,,,,,,,,,,,,,,,,,,,,,
  270.8,2.16E+07,,,,,,,,,,,,,,,,,,,,,,,,
  271.7,2.20E+07,,,,,,,,,,,,,,,,,,,,,,,,
  272.6,2.34E+07,,,,,,,,,,,,,,,,,,,,,,,,
  273.6,2.55E+07,,,,,,,,,,,,,,,,,,,,,,,,
  274.5,2.77E+07,,,,,,,,,,,,,,,,,,,,,,,,
  275.5,3.01E+07,,,,,,,,,,,,,,,,,,,,,,,,
  276.4,3.19E+07,,,,,,,,,,,,,,,,,,,,,,,,
  277.4,3.35E+07,,,,,,,,,,,,,,,,,,,,,,,,
  278.3,3.43E+07,,,,,,,,,,,,,,,,,,,,,,,,
  279.2,3.43E+07,,,,,,,,,,,,,,,,,,,,,,,,
  280.2,3.34E+07,,,,,,,,,,,,,,,,,,,,,,,,
  281.1,3.17E+07,,,,,,,,,,,,,,,,,,,,,,,,
  282.1,2.91E+07,,,,,,,,,,,,,,,,,,,,,,,,
