Wavelength,Spectra
198.8,1.64E-08
198.85,3.10E-07
198.89,2.97E-06
198.93,2.63E-05
198.97,2.14E-04
199.02,2.65E-03
199.06,1.81E-02
199.1,1.14E-01
199.14,6.61E-01
199.19,5.33E+00
199.23,2.59E+01
199.27,1.16E+02
199.31,4.80E+02
199.36,2.53E+03
199.4,8.74E+03
199.44,2.79E+04
199.48,8.21E+04
199.53,2.83E+05
199.57,6.96E+05
199.61,1.58E+06
199.65,3.31E+06
199.7,7.47E+06
199.74,1.31E+07
199.78,2.11E+07
199.82,3.15E+07
199.87,4.64E+07
199.91,5.79E+07
199.95,6.66E+07
199.99,7.07E+07
200.04,6.81E+07
200.08,6.04E+07
200.12,4.94E+07
200.16,3.74E+07
200.21,2.35E+07
200.25,1.49E+07
200.29,8.66E+06
200.33,4.66E+06
200.38,1.92E+06
200.42,8.61E+05
200.46,3.57E+05
200.5,1.37E+05
200.55,3.68E+04
200.59,1.18E+04
200.63,3.48E+03
200.67,9.47E+02
200.72,1.67E+02
200.76,3.79E+01
200.8,7.97E+00
200.84,1.55E+00
200.89,1.78E-01
200.93,2.88E-02
200.97,4.31E-03
201.01,5.95E-04
201.06,4.47E-05
201.1,5.16E-06
201.14,5.49E-07
201.18,5.39E-08
204.33,3.38E-06
204.37,3.34E-05
204.42,5.26E-04
204.46,4.39E-03
204.5,3.39E-02
204.54,2.43E-01
204.59,2.56E+00
204.63,1.55E+01
204.67,8.66E+01
204.71,4.49E+02
204.76,3.17E+03
204.8,1.39E+04
204.84,5.63E+04
204.88,2.12E+05
204.93,9.98E+05
204.97,3.17E+06
205.01,9.32E+06
205.05,2.54E+07
205.1,8.01E+07
205.14,1.84E+08
205.18,3.93E+08
205.22,7.77E+08
205.27,1.64E+09
205.31,2.73E+09
205.35,4.22E+09
205.39,6.05E+09
205.44,8.52E+09
205.48,1.03E+10
205.52,1.15E+10
205.56,1.20E+10
205.61,1.13E+10
205.65,9.91E+09
205.69,8.08E+09
205.73,6.16E+09
205.78,4.11E+09
205.82,3.00E+09
205.86,2.49E+09
205.9,2.58E+09
205.95,3.47E+09
205.99,4.65E+09
206.03,6.03E+09
206.07,7.38E+09
206.12,8.63E+09
206.16,9.04E+09
206.2,8.88E+09
206.24,8.26E+09
206.29,7.19E+09
