Wavelength,Spectra
170.11,1.10E-07
170.15,1.16E-06
170.19,1.09E-05
170.23,9.22E-05
170.28,1.14E-03
170.32,7.52E-03
170.36,4.45E-02
170.4,2.36E-01
170.45,1.63E+00
170.49,6.77E+00
170.53,2.52E+01
170.57,8.40E+01
170.62,3.24E+02
170.66,8.45E+02
170.7,1.97E+03
170.74,4.13E+03
170.79,8.92E+03
170.83,1.46E+04
170.87,2.14E+04
170.91,2.81E+04
170.96,3.40E+04
171,3.49E+04
171.04,3.22E+04
171.08,2.65E+04
171.13,1.79E+04
171.17,1.16E+04
171.21,6.69E+03
171.25,3.47E+03
171.3,1.31E+03
171.34,5.31E+02
171.38,1.93E+02
171.42,6.42E+01
171.47,2.09E+01
171.51,3.00E+01
171.55,8.38E+01
171.59,2.32E+02
171.64,7.21E+02
171.68,1.58E+03
171.72,3.11E+03
171.76,5.50E+03
171.81,9.62E+03
171.85,1.34E+04
171.89,1.67E+04
171.93,1.90E+04
171.98,1.96E+04
172.02,1.86E+04
172.06,1.71E+04
172.1,1.59E+04
172.15,1.51E+04
172.19,1.49E+04
172.23,1.45E+04
172.27,1.35E+04
172.32,1.14E+04
172.36,9.40E+03
172.4,7.43E+03
172.44,5.73E+03
172.49,4.03E+03
172.53,2.93E+03
172.57,2.03E+03
172.61,1.32E+03
172.66,6.80E+02
172.7,3.60E+02
172.74,1.73E+02
172.78,7.46E+01
172.83,2.25E+01
172.87,7.67E+00
172.91,2.35E+00
172.95,6.45E-01
173,1.10E-01
173.04,2.38E-02
173.08,4.61E-03
173.12,8.03E-04
173.17,7.76E-05
173.21,1.06E-05
173.25,1.30E-06
173.29,1.57E-07
173.34,2.60E-07
173.38,2.31E-06
173.42,1.90E-05
173.46,1.41E-04
173.51,1.49E-03
173.55,8.70E-03
173.59,4.58E-02
173.63,2.17E-01
173.68,1.31E+00
173.72,4.89E+00
173.76,1.64E+01
173.8,4.97E+01
173.85,1.71E+02
173.89,4.09E+02
173.93,8.78E+02
173.97,1.70E+03
174.02,3.33E+03
174.06,5.08E+03
174.1,6.97E+03
174.14,8.61E+03
174.19,9.66E+03
174.23,9.41E+03
174.27,8.25E+03
174.31,6.51E+03
174.36,4.17E+03
174.4,2.60E+03
174.44,1.48E+03
174.48,9.15E+02
174.53,1.97E+03
174.57,9.13E+03
174.61,4.32E+04
174.65,1.86E+05
174.7,9.94E+05
174.74,3.38E+06
174.78,1.04E+07
174.82,2.87E+07
174.87,8.83E+07
174.91,1.93E+08
174.95,3.80E+08
174.99,6.74E+08
175.04,1.19E+09
175.08,1.67E+09
175.12,2.12E+09
175.17,2.45E+09
175.21,2.45E+09
175.25,2.21E+09
175.29,1.79E+09
175.34,1.19E+09
175.38,7.66E+08
175.42,4.43E+08
175.46,2.31E+08
175.51,8.83E+07
175.55,3.64E+07
175.59,1.35E+07
175.63,4.52E+06
175.68,9.94E+05
175.72,2.63E+05
175.76,6.29E+04
175.8,1.39E+04
175.85,2.63E+03
175.89,1.80E+03
175.93,2.27E+03
175.97,2.96E+03
176.02,3.65E+03
176.06,3.84E+03
176.1,3.65E+03
176.14,3.12E+03
176.19,2.23E+03
176.23,1.51E+03
176.27,9.25E+02
176.31,5.11E+02
176.36,2.11E+02
176.4,9.42E+01
176.44,4.46E+01
176.48,4.25E+01
176.53,1.29E+02
176.57,3.61E+02
176.61,9.26E+02
176.65,2.15E+03
176.7,5.34E+03
176.74,9.86E+03
176.78,1.64E+04
176.82,2.47E+04
176.87,3.57E+04
176.91,4.27E+04
176.95,4.61E+04
176.99,4.49E+04
177.04,3.77E+04
177.08,2.92E+04
177.12,2.04E+04
177.16,1.29E+04
177.21,6.29E+03
177.25,3.15E+03
177.29,1.43E+03
177.33,5.84E+02
177.38,1.66E+02
177.42,5.38E+01
177.46,1.58E+01
177.5,4.18E+00
177.55,6.89E-01
177.59,1.48E-01
177.63,4.22E-02
177.67,7.47E-02
177.72,4.27E-01
177.76,1.62E+00
177.8,5.56E+00
177.84,1.73E+01
177.89,6.18E+01
177.93,1.53E+02
177.97,3.42E+02
178.01,6.92E+02
178.06,1.45E+03
