Wavelength,Spectra
170.11,1.23E+08
170.15,1.24E+08
170.19,1.29E+08
170.23,1.41E+08
170.28,1.70E+08
170.32,1.99E+08
170.36,2.25E+08
170.4,2.40E+08
170.45,2.33E+08
170.49,2.06E+08
170.53,1.65E+08
170.57,1.20E+08
170.62,6.92E+07
170.66,3.96E+07
170.7,2.03E+07
170.74,9.38E+06
170.79,3.06E+06
170.83,1.10E+06
170.87,3.56E+05
170.91,1.03E+05
170.96,1.87E+04
171,4.23E+03
171.04,8.57E+02
171.08,1.55E+02
171.13,1.58E+01
171.17,2.23E+00
171.21,2.83E-01
171.25,3.21E-02
171.3,1.81E-03
171.34,1.61E-04
171.38,1.28E-05
171.42,9.07E-07
171.47,2.85E-08
175.93,6.18E-08
175.97,8.58E-07
176.02,1.99E-05
176.06,2.20E-04
176.1,2.19E-03
176.14,1.97E-02
176.19,2.66E-01
176.23,1.90E+00
176.27,1.23E+01
176.31,7.14E+01
176.36,5.60E+02
176.4,2.59E+03
176.44,1.08E+04
176.48,4.09E+04
176.53,1.86E+05
176.57,5.59E+05
176.61,1.51E+06
176.65,3.70E+06
176.7,9.79E+06
176.74,1.90E+07
176.78,3.34E+07
176.82,5.29E+07
176.87,8.13E+07
176.91,1.02E+08
176.95,1.16E+08
176.99,1.19E+08
177.04,1.07E+08
177.08,8.70E+07
177.12,6.40E+07
177.16,4.26E+07
177.21,2.21E+07
177.25,1.18E+07
177.29,5.90E+06
177.33,3.24E+06
177.38,3.08E+06
177.42,5.04E+06
177.46,8.87E+06
177.5,1.46E+07
177.55,2.39E+07
177.59,3.15E+07
177.63,3.76E+07
177.67,4.06E+07
177.72,3.87E+07
177.76,3.33E+07
177.8,2.58E+07
177.84,1.81E+07
177.89,1.01E+07
177.93,5.63E+06
177.97,2.85E+06
178.01,1.32E+06
178.06,4.70E+05
178.1,2.37E+05
178.14,1.79E+05
178.18,1.94E+05
178.23,2.37E+05
178.27,2.60E+05
178.31,2.60E+05
178.35,2.35E+05
178.4,1.82E+05
178.44,1.36E+05
178.48,9.78E+04
178.52,7.49E+04
178.57,7.02E+04
178.61,8.19E+04
178.65,1.01E+05
178.69,1.20E+05
178.74,1.32E+05
178.78,1.29E+05
178.82,1.13E+05
178.86,9.04E+04
178.91,5.92E+04
178.95,3.77E+04
178.99,2.18E+04
179.03,1.14E+04
179.08,4.37E+03
179.12,1.82E+03
179.16,6.85E+02
179.2,2.33E+02
179.25,5.28E+01
179.29,1.44E+01
179.33,3.53E+00
179.37,7.87E-01
179.42,1.05E-01
179.46,1.87E-02
179.5,3.22E-03
179.54,7.71E-04
179.59,4.90E-04
179.63,5.27E-04
